sep=;
Session;Time (s);Rounds;Agreement;Discounted;Approval;Min. utility;Max. utility;Distance to pareto;Distance to Nash;Social welfare;Agent name 1;Agent name 2;Agent name 3;Agent utility 1;Agent utility 2;Agent utility 3
1;6.591;151;Yes;No;3;0.57759;0.89510;0.03468;0.89603;2.36778;class negotiator.group10.Group10@472880938;class negotiator.group11.Group11@2020431066;class negotiator.group12.Group12@1373499898;0.89510;0.57759;0.89510
2;1.500;74;Yes;No;3;0.78629;0.81622;0.02679;0.47858;2.41874;class negotiator.group10.Group10@1250411039;class negotiator.group12.Group12@383362931;class negotiator.group11.Group11@729840317;0.81622;0.78629;0.81622
3;4.014;141;Yes;No;3;0.38444;1.00000;0.00000;0.00000;2.38444;class negotiator.group12.Group12@446804452;class negotiator.group10.Group10@1839594852;class negotiator.group11.Group11@748611705;1.00000;0.38444;1.00000
4;0.317;25;Yes;No;3;0.62650;0.85698;0.06214;0.82563;2.34046;class negotiator.group12.Group12@2144359765;class negotiator.group11.Group11@1184006401;class negotiator.group10.Group10@1012108505;0.85698;0.62650;0.85698
5;8.649;165;Yes;No;3;0.71931;0.85538;0.00000;0.39239;2.43008;class negotiator.group11.Group11@208567139;class negotiator.group12.Group12@694593269;class negotiator.group10.Group10@307966991;0.85538;0.71931;0.85538
6;0.835;48;Yes;No;3;0.78773;0.80352;0.04475;0.48975;2.39476;class negotiator.group11.Group11@1955222309;class negotiator.group10.Group10@626580969;class negotiator.group12.Group12@1834024742;0.80352;0.78773;0.80352
1;3.008;118;Yes;No;3;0.38444;1.00000;0.00000;1.12243;2.38444;class negotiator.group10.Group10@439957701;class negotiator.group11.Group11@582884086;class negotiator.group12.Group12@1859919435;1.00000;0.38444;1.00000
2;0.651;34;Yes;No;3;0.78982;0.87383;0.00000;0.57259;2.45347;class negotiator.group10.Group10@912316675;class negotiator.group12.Group12@273117145;class negotiator.group11.Group11@1107302376;0.78982;0.87383;0.78982
3;3.991;141;Yes;No;3;0.38444;1.00000;0.00000;0.00000;2.38444;class negotiator.group12.Group12@109863554;class negotiator.group10.Group10@1788299305;class negotiator.group11.Group11@1912779370;1.00000;0.38444;1.00000
4;0.219;18;Yes;No;3;0.63249;0.90072;0.00000;0.87872;2.43393;class negotiator.group12.Group12@1988221709;class negotiator.group11.Group11@1196715843;class negotiator.group10.Group10@2018819146;0.90072;0.63249;0.90072
5;10.005;179;Yes;No;3;0.53896;0.88339;0.07012;0.22600;2.30573;class negotiator.group11.Group11@1425328374;class negotiator.group12.Group12@313899533;class negotiator.group10.Group10@1489614099;0.88339;0.53896;0.88339
