sep=;
Session;Time (s);Rounds;Agreement;Discounted;Approval;Min. utility;Max. utility;Distance to pareto;Distance to Nash;Social welfare;Agent name 1;Agent name 2;Agent name 3;Agent utility 1;Agent utility 2;Agent utility 3
1;0.261;77;Yes;No;3;0.68296;0.97533;0.00000;0.16178;2.37729;class negotiator.group3.Group3@374106418;class negotiator.group4.Group4@1921932557;class negotiator.group12.Group12@1618950972;0.68296;0.97533;0.71900
2;0.160;83;Yes;No;3;0.64253;0.91883;0.00000;0.19903;2.29299;class negotiator.group3.Group3@470516818;class negotiator.group12.Group12@941371872;class negotiator.group4.Group4@1125025255;0.64253;0.73163;0.91883
3;0.282;126;Yes;No;3;0.63532;0.90303;0.00000;0.19582;2.27010;class negotiator.group12.Group12@1647043513;class negotiator.group3.Group3@796113161;class negotiator.group4.Group4@1450776117;0.63532;0.73175;0.90303
4;0.200;70;Yes;No;3;0.72797;0.91764;0.00000;0.10697;2.37760;class negotiator.group12.Group12@1991847791;class negotiator.group4.Group4@2010733901;class negotiator.group3.Group3@1602004915;0.73199;0.91764;0.72797
5;0.200;78;Yes;No;3;0.65931;0.90720;0.00000;0.23817;2.36363;class negotiator.group4.Group4@1084480901;class negotiator.group12.Group12@1176791018;class negotiator.group3.Group3@2250656;0.90720;0.79712;0.65931
6;0.356;117;Yes;No;3;0.63950;0.86661;0.06138;0.27124;2.21275;class negotiator.group4.Group4@1265135150;class negotiator.group3.Group3@890877103;class negotiator.group12.Group12@715483237;0.86661;0.70664;0.63950
1;0.270;76;Yes;No;3;0.66529;0.95066;0.00000;0.12190;2.40232;class negotiator.group3.Group3@2037096675;class negotiator.group4.Group4@152032604;class negotiator.group12.Group12@1853919145;0.66529;0.95066;0.78637
2;0.177;83;Yes;No;3;0.64253;0.91883;0.00000;0.19903;2.29299;class negotiator.group3.Group3@384318494;class negotiator.group12.Group12@1757602129;class negotiator.group4.Group4@1381417618;0.64253;0.73163;0.91883
3;0.310;127;Yes;No;3;0.63532;0.90303;0.00000;0.19582;2.27010;class negotiator.group12.Group12@70690145;class negotiator.group3.Group3@530810224;class negotiator.group4.Group4@680365130;0.63532;0.73175;0.90303
4;0.203;70;Yes;No;3;0.72797;0.91764;0.00000;0.10697;2.37760;class negotiator.group12.Group12@395674180;class negotiator.group4.Group4@1486572148;class negotiator.group3.Group3@993342238;0.73199;0.91764;0.72797
