sep=;
Session;Time (s);Rounds;Agreement;Discounted;Approval;Min. utility;Max. utility;Distance to pareto;Distance to Nash;Social welfare;Agent name 1;Agent name 2;Agent name 3;Agent utility 1;Agent utility 2;Agent utility 3
1;0.109;47;Yes;No;3;0.78854;0.95798;0.00000;0.13096;2.59016;class negotiator.group7.Group7@1229839835;class negotiator.group8.Group8@388004470;class negotiator.group12.Group12@1430774998;0.95798;0.84364;0.78854
2;0.064;54;Yes;No;3;0.78854;0.95798;0.00000;0.13096;2.59016;class negotiator.group7.Group7@1257293457;class negotiator.group12.Group12@92045319;class negotiator.group8.Group8@817450593;0.95798;0.84364;0.78854
3;0.104;58;Yes;No;3;0.77799;0.96229;0.00000;0.12356;2.54238;class negotiator.group12.Group12@1439226692;class negotiator.group7.Group7@1974696283;class negotiator.group8.Group8@1508147643;0.80210;0.96229;0.77799
4;0.199;95;Yes;No;3;0.67057;1.00000;0.00000;0.31418;2.34627;class negotiator.group12.Group12@1517615844;class negotiator.group8.Group8@906214689;class negotiator.group7.Group7@796253499;0.67570;0.67057;1.00000
5;0.142;99;Yes;No;3;0.67057;1.00000;0.00000;0.31418;2.34627;class negotiator.group8.Group8@128240923;class negotiator.group12.Group12@1419094920;class negotiator.group7.Group7@774936858;0.67570;0.67057;1.00000
6;0.104;57;Yes;No;3;0.77799;0.96229;0.00000;0.12356;2.54238;class negotiator.group8.Group8@2022936998;class negotiator.group7.Group7@541026082;class negotiator.group12.Group12@579598776;0.80210;0.96229;0.77799
1;0.095;52;Yes;No;3;0.78854;0.95798;0.00000;0.13096;2.59016;class negotiator.group7.Group7@161211023;class negotiator.group8.Group8@1496784694;class negotiator.group12.Group12@836911100;0.95798;0.84364;0.78854
2;0.076;56;Yes;No;3;0.78854;0.95798;0.00000;0.13096;2.59016;class negotiator.group7.Group7@2094453497;class negotiator.group12.Group12@2075466102;class negotiator.group8.Group8@781898093;0.95798;0.84364;0.78854
3;0.115;65;Yes;No;3;0.77799;0.96229;0.00000;0.12356;2.54238;class negotiator.group12.Group12@1517368342;class negotiator.group7.Group7@1041415869;class negotiator.group8.Group8@1084787233;0.80210;0.96229;0.77799
4;0.252;93;Yes;No;3;0.67057;1.00000;0.00000;0.31418;2.34627;class negotiator.group12.Group12@2030345648;class negotiator.group8.Group8@504155106;class negotiator.group7.Group7@1511879127;0.67570;0.67057;1.00000
5;0.181;97;Yes;No;3;0.67057;1.00000;0.00000;0.31418;2.34627;class negotiator.group8.Group8@655843931;class negotiator.group12.Group12@1882871913;class negotiator.group7.Group7@109219599;0.67570;0.67057;1.00000
6;0.150;67;Yes;No;3;0.77799;0.96229;0.00000;0.12356;2.54238;class negotiator.group8.Group8@627939957;class negotiator.group7.Group7@1052215941;class negotiator.group12.Group12@65487342;0.80210;0.96229;0.77799
1;0.174;48;Yes;No;3;0.78854;0.95798;0.00000;0.13096;2.59016;class negotiator.group7.Group7@102254670;class negotiator.group8.Group8@607321090;class negotiator.group12.Group12@255785439;0.95798;0.84364;0.78854
2;0.071;69;Yes;No;3;0.78854;0.95798;0.00000;0.13096;2.59016;class negotiator.group7.Group7@1871095626;class negotiator.group12.Group12@1901143161;class negotiator.group8.Group8@103923214;0.95798;0.84364;0.78854
3;0.108;58;Yes;No;3;0.77799;0.96229;0.00000;0.12356;2.54238;class negotiator.group12.Group12@1516743923;class negotiator.group7.Group7@1284223971;class negotiator.group8.Group8@1741628247;0.80210;0.96229;0.77799
4;0.194;93;Yes;No;3;0.67057;1.00000;0.00000;0.31418;2.34627;class negotiator.group12.Group12@1343838719;class negotiator.group8.Group8@811834734;class negotiator.group7.Group7@1542764947;0.67570;0.67057;1.00000
5;0.145;97;Yes;No;3;0.67057;1.00000;0.00000;0.31418;2.34627;class negotiator.group8.Group8@1617461267;class negotiator.group12.Group12@1823510743;class negotiator.group7.Group7@1005931264;0.67570;0.67057;1.00000
6;0.113;62;Yes;No;3;0.77799;0.96229;0.00000;0.12356;2.54238;class negotiator.group8.Group8@144799331;class negotiator.group7.Group7@543384066;class negotiator.group12.Group12@1555530218;0.80210;0.96229;0.77799
