sep=;
Session;Time (s);Rounds;Agreement;Discounted;Approval;Min. utility;Max. utility;Distance to pareto;Distance to Nash;Social welfare;Agent name 1;Agent name 2;Agent name 3;Agent utility 1;Agent utility 2;Agent utility 3
1;0,687;47;Yes;No;3;0,73750;0,78219;0,08083;0,23416;2,26188;class negotiator.group1.Group1@5123599;class negotiator.group11.Group11@243908726;class negotiator.group12.Group12@179717503;0,73750;0,78219;0,74220
2;0,245;21;Yes;No;3;0,75837;0,80821;0,00000;0,49113;2,36742;class negotiator.group1.Group1@1337248333;class negotiator.group12.Group12@1048292322;class negotiator.group11.Group11@2125547051;0,80083;0,75837;0,80821
3;0,632;46;Yes;No;3;0,58417;0,91032;0,00000;0,21180;2,15901;class negotiator.group12.Group12@1184135487;class negotiator.group1.Group1@798700802;class negotiator.group11.Group11@1289535400;0,58417;0,66452;0,91032
4;0,366;30;Yes;No;3;0,45213;0,85167;0,00000;0,60804;2,06877;class negotiator.group12.Group12@942159878;class negotiator.group11.Group11@1569780669;class negotiator.group1.Group1@735440424;0,85167;0,45213;0,76498
5;0,086;14;Yes;No;3;0,67750;0,86288;0,00000;0,68201;2,37616;class negotiator.group11.Group11@48051461;class negotiator.group12.Group12@2077021520;class negotiator.group1.Group1@555474063;0,67750;0,83578;0,86288
6;0,100;15;Yes;No;3;0,67750;0,86288;0,00000;0,68201;2,37616;class negotiator.group11.Group11@624677418;class negotiator.group1.Group1@1319480981;class negotiator.group12.Group12@1398707268;0,67750;0,83578;0,86288
1;0,347;31;Yes;No;3;0,48970;0,76917;0,10372;0,53788;1,97344;class negotiator.group1.Group1@744412420;class negotiator.group11.Group11@1469052967;class negotiator.group12.Group12@876422469;0,76917;0,48970;0,71457
2;0,405;31;Yes;No;3;0,62369;0,81833;0,00000;0,46182;2,18272;class negotiator.group1.Group1@333867826;class negotiator.group12.Group12@1238002367;class negotiator.group11.Group11@1638727009;0,81833;0,62369;0,74070
3;0,599;49;Yes;No;3;0,51750;0,83172;0,10455;0,16406;1,99619;class negotiator.group12.Group12@1013381916;class negotiator.group1.Group1@486127705;class negotiator.group11.Group11@117225195;0,51750;0,64697;0,83172
4;0,379;31;Yes;No;3;0,70583;0,78149;0,06602;0,30635;2,25660;class negotiator.group12.Group12@4002976;class negotiator.group11.Group11@193507744;class negotiator.group1.Group1@1516436472;0,70583;0,76928;0,78149
5;0,138;17;Yes;No;3;0,67750;0,86288;0,00000;0,68201;2,37616;class negotiator.group11.Group11@961168817;class negotiator.group12.Group12@1362812460;class negotiator.group1.Group1@527523866;0,67750;0,83578;0,86288
6;0,263;23;Yes;No;3;0,53500;0,84937;0,05998;0,73424;2,11423;class negotiator.group11.Group11@1375855927;class negotiator.group1.Group1@965563659;class negotiator.group12.Group12@1052845992;0,53500;0,84937;0,72986
1;0,482;41;Yes;No;3;0,52999;0,71833;0,17188;0,47660;1,88527;class negotiator.group1.Group1@707064282;class negotiator.group11.Group11@2010218996;class negotiator.group12.Group12@614971144;0,71833;0,52999;0,63695
2;0,184;20;Yes;No;3;0,75837;0,80821;0,00000;0,49113;2,36742;class negotiator.group1.Group1@334248019;class negotiator.group12.Group12@508277205;class negotiator.group11.Group11@1710116297;0,80083;0,75837;0,80821
3;0,536;48;Yes;No;3;0,54583;0,81357;0,09988;0,15955;2,02849;class negotiator.group12.Group12@2087233931;class negotiator.group1.Group1@238303477;class negotiator.group11.Group11@1303574015;0,54583;0,66909;0,81357
4;0,400;34;Yes;No;3;0,52255;0,72585;0,19654;0,49769;1,89840;class negotiator.group12.Group12@1512401285;class negotiator.group11.Group11@1673045947;class negotiator.group1.Group1@1281673385;0,65000;0,52255;0,72585
5;0,098;14;Yes;No;3;0,67750;0,86288;0,00000;0,68201;2,37616;class negotiator.group11.Group11@371446231;class negotiator.group12.Group12@1740372951;class negotiator.group1.Group1@1100488164;0,67750;0,83578;0,86288
6;0,334;25;Yes;No;3;0,64583;0,89986;0,06832;0,70420;2,22577;class negotiator.group11.Group11@735294718;class negotiator.group1.Group1@594965818;class negotiator.group12.Group12@455825344;0,64583;0,89986;0,68008
1;0,502;39;Yes;No;3;0,61203;0,97619;0,00000;0,07263;2,30988;class negotiator.group1.Group1@450698876;class negotiator.group11.Group11@740244893;class negotiator.group12.Group12@1011892865;0,72167;0,97619;0,61203
2;0,206;21;Yes;No;3;0,69241;0,85649;0,00000;0,63612;2,39723;class negotiator.group1.Group1@2105841564;class negotiator.group12.Group12@265836718;class negotiator.group11.Group11@1526624029;0,84833;0,85649;0,69241
3;0,287;31;Yes;No;3;0,58466;0,75636;0,12287;0,59077;2,09602;class negotiator.group12.Group12@1686399625;class negotiator.group1.Group1@1030040050;class negotiator.group11.Group11@1882524632;0,75500;0,75636;0,58466
4;0,228;22;Yes;No;3;0,57034;0,84410;0,00000;0,52735;2,23610;class negotiator.group12.Group12@1494881348;class negotiator.group11.Group11@512617932;class negotiator.group1.Group1@171146582;0,82167;0,57034;0,84410
5;0,098;15;Yes;No;3;0,67750;0,86288;0,00000;0,68201;2,37616;class negotiator.group11.Group11@1375783939;class negotiator.group12.Group12@1529961011;class negotiator.group1.Group1@715341588;0,67750;0,83578;0,86288
6;0,215;21;Yes;No;3;0,70917;0,87605;0,00000;0,66501;2,33131;class negotiator.group11.Group11@996880091;class negotiator.group1.Group1@1876925793;class negotiator.group12.Group12@1055826539;0,70917;0,87605;0,74609
1;0,488;34;Yes;No;3;0,65164;0,95238;0,00000;0,10314;2,32568;class negotiator.group1.Group1@226910525;class negotiator.group11.Group11@1878625184;class negotiator.group12.Group12@2094933931;0,72167;0,95238;0,65164
2;0,474;36;Yes;No;3;0,56809;0,89417;0,00000;0,52105;2,16610;class negotiator.group1.Group1@929574817;class negotiator.group12.Group12@165228536;class negotiator.group11.Group11@719192552;0,89417;0,56809;0,70384
3;0,548;48;Yes;No;3;0,53000;0,83533;0,09257;0,15460;2,03310;class negotiator.group12.Group12@665880679;class negotiator.group1.Group1@1372831255;class negotiator.group11.Group11@297139514;0,53000;0,66777;0,83533
4;0,256;24;Yes;No;3;0,65654;0,75197;0,10703;0,38380;2,10768;class negotiator.group12.Group12@1262387109;class negotiator.group11.Group11@1752048917;class negotiator.group1.Group1@612437257;0,69917;0,65654;0,75197
5;0,237;23;Yes;No;3;0,72500;0,84506;0,00000;0,63606;2,38404;class negotiator.group11.Group11@451111054;class negotiator.group12.Group12@572059424;class negotiator.group1.Group1@994521339;0,72500;0,81397;0,84506
6;0,199;20;Yes;No;3;0,70917;0,87605;0,00000;0,66501;2,33131;class negotiator.group11.Group11@386042847;class negotiator.group1.Group1@371472041;class negotiator.group12.Group12@1931520674;0,70917;0,87605;0,74609
1;0,650;48;Yes;No;3;0,57093;0,65500;0,24004;0,40620;1,80354;class negotiator.group1.Group1@1902288085;class negotiator.group11.Group11@1916648789;class negotiator.group12.Group12@1159421125;0,65500;0,57761;0,57093
2;0,212;27;Yes;No;3;0,61106;0,81833;0,05063;0,59229;2,16195;class negotiator.group1.Group1@865635198;class negotiator.group12.Group12@1450786284;class negotiator.group11.Group11@1228010851;0,81833;0,73255;0,61106
3;0,296;26;Yes;No;3;0,67417;0,82981;0,09084;0,54555;2,18015;class negotiator.group12.Group12@1456694772;class negotiator.group1.Group1@568837931;class negotiator.group11.Group11@1055787174;0,67417;0,82981;0,67618
4;0,211;22;Yes;No;3;0,58681;0,83417;0,00000;0,51243;2,25348;class negotiator.group12.Group12@2016569589;class negotiator.group11.Group11@897797826;class negotiator.group1.Group1@708975046;0,83417;0,58681;0,83249
