sep=;
Session;Time (s);Rounds;Agreement;Discounted;Approval;Min. utility;Max. utility;Distance to pareto;Distance to Nash;Social welfare;Agent name 1;Agent name 2;Agent name 3;Agent utility 1;Agent utility 2;Agent utility 3
1;0,223;21;Yes;No;3;0,78187;0,81342;0,03117;0,70909;2,40871;class negotiator.group1.Group1@540050982;class negotiator.group11.Group11@787967056;class negotiator.group12.Group12@717811030;0,81342;0,78187;0,81342
2;0,681;43;Yes;No;3;0,51212;0,87439;0,08867;0,21876;2,26090;class negotiator.group1.Group1@1875535467;class negotiator.group12.Group12@1274010626;class negotiator.group11.Group11@1592765635;0,87439;0,51212;0,87439
3;0,530;50;Yes;No;3;0,47188;0,63943;0,31537;0,72903;1,58319;class negotiator.group12.Group12@857753621;class negotiator.group1.Group1@266705188;class negotiator.group11.Group11@987712278;0,47188;0,63943;0,47188
4;0,021;7;Yes;No;3;0,58201;0,89790;0,02965;0,89746;2,37781;class negotiator.group12.Group12@435511610;class negotiator.group11.Group11@673506033;class negotiator.group1.Group1@195781224;0,89790;0,58201;0,89790
5;0,245;21;Yes;No;3;0,71931;0,85538;0,00000;0,39239;2,43008;class negotiator.group11.Group11@1265377264;class negotiator.group12.Group12@2032294678;class negotiator.group1.Group1@1990073769;0,85538;0,71931;0,85538
6;0,106;14;Yes;No;3;0,78701;0,86941;0,00594;0,57090;2,44344;class negotiator.group11.Group11@645302576;class negotiator.group1.Group1@231637393;class negotiator.group12.Group12@1725927893;0,78701;0,86941;0,78701
1;0,191;21;Yes;No;3;0,78187;0,81342;0,03117;0,70909;2,40871;class negotiator.group1.Group1@1613409266;class negotiator.group11.Group11@1921487310;class negotiator.group12.Group12@188498950;0,81342;0,78187;0,81342
2;0,394;30;Yes;No;3;0,63177;0,88179;0,02679;0,29854;2,39535;class negotiator.group1.Group1@293027213;class negotiator.group12.Group12@607609194;class negotiator.group11.Group11@1794153923;0,88179;0,63177;0,88179
3;0,540;50;Yes;No;3;0,55844;0,68520;0,28949;0,41692;1,92884;class negotiator.group12.Group12@59111663;class negotiator.group1.Group1@724973127;class negotiator.group11.Group11@873807482;0,68520;0,55844;0,68520
4;0,010;5;Yes;No;3;0,62136;0,87749;0,03468;0,85387;2,37634;class negotiator.group12.Group12@1524999102;class negotiator.group11.Group11@1988852365;class negotiator.group1.Group1@1821765141;0,87749;0,62136;0,87749
5;0,300;21;Yes;No;3;0,71931;0,85538;0,00000;0,39239;2,43008;class negotiator.group11.Group11@1911483155;class negotiator.group12.Group12@115433155;class negotiator.group1.Group1@722670464;0,85538;0,71931;0,85538
6;0,144;16;Yes;No;3;0,78701;0,86941;0,00594;0,57090;2,44344;class negotiator.group11.Group11@1748346289;class negotiator.group1.Group1@1845849559;class negotiator.group12.Group12@1646141842;0,78701;0,86941;0,78701
1;0,185;22;Yes;No;3;0,61844;0,82363;0,10993;0,78772;2,26570;class negotiator.group1.Group1@1369612610;class negotiator.group11.Group11@343903978;class negotiator.group12.Group12@1372664423;0,82363;0,61844;0,82363
2;0,609;42;Yes;No;3;0,63321;0,86908;0,04475;0,31010;2,37137;class negotiator.group1.Group1@1120963454;class negotiator.group12.Group12@113019607;class negotiator.group11.Group11@1851546676;0,86908;0,63321;0,86908
3;0,466;47;Yes;No;3;0,74324;0,85276;0,00000;0,32061;2,44875;class negotiator.group12.Group12@910559634;class negotiator.group1.Group1@1888218975;class negotiator.group11.Group11@310585771;0,85276;0,74324;0,85276
4;0,011;6;Yes;No;3;0,53454;0,87226;0,08473;0,88944;2,27906;class negotiator.group12.Group12@506620467;class negotiator.group11.Group11@415169278;class negotiator.group1.Group1@937430945;0,87226;0,53454;0,87226
5;0,236;21;Yes;No;3;0,71931;0,85538;0,00000;0,39239;2,43008;class negotiator.group11.Group11@1009104519;class negotiator.group12.Group12@835395778;class negotiator.group1.Group1@1590514959;0,85538;0,71931;0,85538
6;0,107;14;Yes;No;3;0,78701;0,86941;0,00594;0,57090;2,44344;class negotiator.group11.Group11@1768412272;class negotiator.group1.Group1@2028459605;class negotiator.group12.Group12@281162939;0,78701;0,86941;0,78701
1;0,155;18;Yes;No;3;0,76441;0,81622;0,03504;0,71840;2,39685;class negotiator.group1.Group1@605257345;class negotiator.group11.Group11@1929443879;class negotiator.group12.Group12@898883436;0,81622;0,76441;0,81622
2;0,520;36;Yes;No;3;0,63321;0,86908;0,04475;0,31010;2,37137;class negotiator.group1.Group1@888488585;class negotiator.group12.Group12@187549152;class negotiator.group11.Group11@2139670368;0,86908;0,63321;0,86908
3;0,454;47;Yes;No;3;0,67554;0,86418;0,03923;0,25570;2,40391;class negotiator.group12.Group12@1422593858;class negotiator.group1.Group1@1244986968;class negotiator.group11.Group11@802365499;0,86418;0,67554;0,86418
4;0,007;5;Yes;No;3;0,55570;0,89510;0,04657;0,90655;2,34589;class negotiator.group12.Group12@383340902;class negotiator.group11.Group11@451210720;class negotiator.group1.Group1@2001671898;0,89510;0,55570;0,89510
5;0,246;21;Yes;No;3;0,71931;0,85538;0,00000;0,39239;2,43008;class negotiator.group11.Group11@1093350128;class negotiator.group12.Group12@488970706;class negotiator.group1.Group1@546532475;0,85538;0,71931;0,85538
6;0,142;15;Yes;No;3;0,78701;0,86941;0,00594;0,57090;2,44344;class negotiator.group11.Group11@795166581;class negotiator.group1.Group1@927030491;class negotiator.group12.Group12@35600488;0,78701;0,86941;0,78701
