sep=;
Session;Time (s);Rounds;Agreement;Discounted;Approval;Min. utility;Max. utility;Distance to pareto;Distance to Nash;Social welfare;Agent name 1;Agent name 2;Agent name 3;Agent utility 1;Agent utility 2;Agent utility 3
1;0,179;33;Yes;No;3;0,57087;0,71667;0,15408;0,37284;1,92521;class negotiator.group2.Group2@365703833;class negotiator.group8.Group8@453762640;class negotiator.group12.Group12@523524585;0,71667;0,57087;0,63767
2;0,190;31;Yes;No;3;0,59626;0,74250;0,12790;0,22835;2,07865;class negotiator.group2.Group2@1513542763;class negotiator.group12.Group12@781876558;class negotiator.group8.Group8@1797705619;0,74250;0,73989;0,59626
3;0,112;21;Yes;No;3;0,72167;0,89253;0,00000;0,07479;2,34868;class negotiator.group12.Group12@1449146383;class negotiator.group2.Group2@974727972;class negotiator.group8.Group8@1192509732;0,72167;0,89253;0,73449
4;0,191;31;Yes;No;3;0,63243;0,78429;0,08034;0,30974;2,14006;class negotiator.group12.Group12@445862914;class negotiator.group8.Group8@1298446111;class negotiator.group2.Group2@1045951900;0,72333;0,63243;0,78429
5;0,167;29;Yes;No;3;0,64417;0,88090;0,02437;0,34503;2,18426;class negotiator.group8.Group8@1529843219;class negotiator.group12.Group12@1537012272;class negotiator.group2.Group2@858290707;0,64417;0,65919;0,88090
6;0,115;23;Yes;No;3;0,69000;0,85225;0,00000;0,18084;2,39353;class negotiator.group8.Group8@844268287;class negotiator.group2.Group2@355126704;class negotiator.group12.Group12@689680471;0,69000;0,85225;0,85128
1;0,135;24;Yes;No;3;0,68493;0,88167;0,00000;0,26211;2,28329;class negotiator.group2.Group2@1494462341;class negotiator.group8.Group8@2146470690;class negotiator.group12.Group12@1022660129;0,88167;0,68493;0,71669
2;0,183;32;Yes;No;3;0,62114;0,73858;0,15640;0,33880;2,00388;class negotiator.group2.Group2@1217992928;class negotiator.group12.Group12@213051889;class negotiator.group8.Group8@2011220702;0,64417;0,62114;0,73858
3;0,152;24;Yes;No;3;0,73750;0,83346;0,00000;0,15904;2,40141;class negotiator.group12.Group12@1878902661;class negotiator.group2.Group2@1872993410;class negotiator.group8.Group8@1950686694;0,73750;0,83045;0,83346
4;0,192;31;Yes;No;3;0,66622;0,80333;0,07893;0,29028;2,16455;class negotiator.group12.Group12@92442506;class negotiator.group8.Group8@71479632;class negotiator.group2.Group2@2012637910;0,69500;0,66622;0,80333
5;0,157;28;Yes;No;3;0,63000;0,77661;0,09803;0,21726;2,13369;class negotiator.group8.Group8@729867235;class negotiator.group12.Group12@988796870;class negotiator.group2.Group2@733358586;0,63000;0,77661;0,72707
6;0,110;23;Yes;No;3;0,69000;0,85225;0,00000;0,18084;2,39353;class negotiator.group8.Group8@1876051584;class negotiator.group2.Group2@1138831202;class negotiator.group12.Group12@133464383;0,69000;0,85225;0,85128
