sep=;
Session;Time (s);Rounds;Agreement;Discounted;Approval;Min. utility;Max. utility;Distance to pareto;Distance to Nash;Social welfare;Agent name 1;Agent name 2;Agent name 3;Agent utility 1;Agent utility 2;Agent utility 3
1;0,163;28;Yes;No;3;0,66955;0,82045;0,07012;0,16145;2,31044;class negotiator.group2.Group2@1611193679;class negotiator.group8.Group8@1859075902;class negotiator.group12.Group12@1794160191;0,82045;0,66955;0,82045
2;0,163;27;Yes;No;3;0,67626;0,89192;0,00000;0,18021;2,46010;class negotiator.group2.Group2@804402437;class negotiator.group12.Group12@162952977;class negotiator.group8.Group8@513253334;0,89192;0,67626;0,89192
3;0,043;28;Yes;No;3;0,65368;0,80322;0,14617;0,24575;2,11057;class negotiator.group12.Group12@1899594613;class negotiator.group2.Group2@1339935306;class negotiator.group8.Group8@1978212959;0,65368;0,80322;0,65368
4;0,032;24;Yes;No;3;0,70818;0,83216;0,03468;0,12287;2,37249;class negotiator.group12.Group12@1470265883;class negotiator.group8.Group8@1782409649;class negotiator.group2.Group2@1267953958;0,83216;0,70818;0,83216
5;0,131;24;Yes;No;3;0,78629;0,81622;0,02679;0,04674;2,41874;class negotiator.group8.Group8@2010405329;class negotiator.group12.Group12@862099346;class negotiator.group2.Group2@848494766;0,81622;0,78629;0,81622
6;0,127;19;Yes;No;3;0,75048;0,91246;0,00000;0,13486;2,41342;class negotiator.group8.Group8@1650019739;class negotiator.group2.Group2@924224208;class negotiator.group12.Group12@284120487;0,75048;0,91246;0,75048
1;0,146;25;Yes;No;3;0,66513;0,86869;0,03468;0,17614;2,40251;class negotiator.group2.Group2@978563428;class negotiator.group8.Group8@315495968;class negotiator.group12.Group12@286084771;0,86869;0,66513;0,86869
2;0,128;23;Yes;No;3;0,78629;0,81622;0,02679;0,04674;2,41874;class negotiator.group2.Group2@2066047816;class negotiator.group12.Group12@1549411801;class negotiator.group8.Group8@1053251428;0,81622;0,78629;0,81622
3;0,026;26;Yes;No;3;0,66528;0,76387;0,18750;0,23741;2,09443;class negotiator.group12.Group12@1170505289;class negotiator.group2.Group2@363555482;class negotiator.group8.Group8@416477467;0,66528;0,76387;0,66528
4;0,033;31;Yes;No;3;0,62172;0,68175;0,26423;0,29245;1,98522;class negotiator.group12.Group12@480966930;class negotiator.group8.Group8@2063268600;class negotiator.group2.Group2@877375623;0,68175;0,62172;0,68175
5;0,131;24;Yes;No;3;0,78629;0,81622;0,02679;0,04674;2,41874;class negotiator.group8.Group8@1000260924;class negotiator.group12.Group12@1891096884;class negotiator.group2.Group2@1563939040;0,81622;0,78629;0,81622
6;0,100;19;Yes;No;3;0,75048;0,91246;0,00000;0,13486;2,41342;class negotiator.group8.Group8@881957961;class negotiator.group2.Group2@2037057730;class negotiator.group12.Group12@928710818;0,75048;0,91246;0,75048
1;0,220;22;Yes;No;3;0,70818;0,83216;0,03468;0,12287;2,37249;class negotiator.group2.Group2@1409836665;class negotiator.group8.Group8@1824775013;class negotiator.group12.Group12@1305469735;0,83216;0,70818;0,83216
2;0,277;30;Yes;No;3;0,63213;0,71751;0,21358;0,25130;2,06716;class negotiator.group2.Group2@578724908;class negotiator.group12.Group12@902964660;class negotiator.group8.Group8@1203292312;0,71751;0,63213;0,71751
3;0,032;24;Yes;No;3;0,75048;0,91246;0,00000;0,13486;2,41342;class negotiator.group12.Group12@1969016211;class negotiator.group2.Group2@575953104;class negotiator.group8.Group8@101656235;0,75048;0,91246;0,75048
4;0,036;27;Yes;No;3;0,66664;0,80883;0,08432;0,16600;2,28429;class negotiator.group12.Group12@124961530;class negotiator.group8.Group8@349284306;class negotiator.group2.Group2@348389184;0,80883;0,66664;0,80883
5;0,135;24;Yes;No;3;0,78629;0,81622;0,02679;0,04674;2,41874;class negotiator.group8.Group8@1795602701;class negotiator.group12.Group12@2062734213;class negotiator.group2.Group2@1661207614;0,81622;0,78629;0,81622
6;0,106;19;Yes;No;3;0,75048;0,91246;0,00000;0,13486;2,41342;class negotiator.group8.Group8@1748422369;class negotiator.group2.Group2@908516411;class negotiator.group12.Group12@1520721793;0,75048;0,91246;0,75048
1;0,130;24;Yes;No;3;0,66513;0,86869;0,03468;0,17614;2,40251;class negotiator.group2.Group2@432178463;class negotiator.group8.Group8@1197277440;class negotiator.group12.Group12@1192942292;0,86869;0,66513;0,86869
2;0,158;29;Yes;No;3;0,76441;0,81622;0,03504;0,06790;2,39685;class negotiator.group2.Group2@1060822497;class negotiator.group12.Group12@853364068;class negotiator.group8.Group8@497491774;0,81622;0,76441;0,81622
3;0,031;24;Yes;No;3;0,75048;0,91246;0,00000;0,13486;2,41342;class negotiator.group12.Group12@217754148;class negotiator.group2.Group2@1707522959;class negotiator.group8.Group8@1034447934;0,75048;0,91246;0,75048
4;0,031;24;Yes;No;3;0,66513;0,86869;0,03468;0,17614;2,40251;class negotiator.group12.Group12@416533082;class negotiator.group8.Group8@1092745454;class negotiator.group2.Group2@292239750;0,86869;0,66513;0,86869
5;0,129;24;Yes;No;3;0,78629;0,81622;0,02679;0,04674;2,41874;class negotiator.group8.Group8@1868332553;class negotiator.group12.Group12@1776019618;class negotiator.group2.Group2@670272511;0,81622;0,78629;0,81622
6;0,101;19;Yes;No;3;0,75048;0,91246;0,00000;0,13486;2,41342;class negotiator.group8.Group8@1872507278;class negotiator.group2.Group2@1673307714;class negotiator.group12.Group12@1435819119;0,75048;0,91246;0,75048
1;0,163;28;Yes;No;3;0,62650;0,90803;0,00000;0,23468;2,44256;class negotiator.group2.Group2@1845692753;class negotiator.group8.Group8@1620923742;class negotiator.group12.Group12@1712681401;0,90803;0,62650;0,90803
2;0,190;34;Yes;No;3;0,67069;0,71296;0,22921;0,24969;2,05433;class negotiator.group2.Group2@361873072;class negotiator.group12.Group12@1672377554;class negotiator.group8.Group8@1771301468;0,67069;0,71296;0,67069
3;0,031;26;Yes;No;3;0,66528;0,76387;0,18750;0,23741;2,09443;class negotiator.group12.Group12@608618094;class negotiator.group2.Group2@1018861672;class negotiator.group8.Group8@748839881;0,66528;0,76387;0,66528
4;0,035;30;Yes;No;3;0,60098;0,82643;0,10968;0,22980;2,25384;class negotiator.group12.Group12@1519762699;class negotiator.group8.Group8@1223849345;class negotiator.group2.Group2@551804207;0,82643;0,60098;0,82643
5;0,125;24;Yes;No;3;0,78629;0,81622;0,02679;0,04674;2,41874;class negotiator.group8.Group8@534793937;class negotiator.group12.Group12@1751827907;class negotiator.group2.Group2@871361330;0,81622;0,78629;0,81622
6;0,105;19;Yes;No;3;0,75048;0,91246;0,00000;0,13486;2,41342;class negotiator.group8.Group8@232477381;class negotiator.group2.Group2@282071913;class negotiator.group12.Group12@782927981;0,75048;0,91246;0,75048
1;0,131;23;Yes;No;3;0,70818;0,83216;0,03468;0,12287;2,37249;class negotiator.group2.Group2@1657815281;class negotiator.group8.Group8@902458132;class negotiator.group12.Group12@621899167;0,83216;0,70818;0,83216
2;0,132;23;Yes;No;3;0,78629;0,81622;0,02679;0,04674;2,41874;class negotiator.group2.Group2@1602379952;class negotiator.group12.Group12@1060467833;class negotiator.group8.Group8@1497442880;0,81622;0,78629;0,81622
3;0,050;30;Yes;No;3;0,62674;0,71586;0,20833;0,30478;1,96935;class negotiator.group12.Group12@2006112610;class negotiator.group2.Group2@995733696;class negotiator.group8.Group8@794533230;0,62674;0,71586;0,62674
4;0,033;27;Yes;No;3;0,62136;0,87749;0,03468;0,22156;2,37634;class negotiator.group12.Group12@2140713455;class negotiator.group8.Group8@505425591;class negotiator.group2.Group2@1745441283;0,87749;0,62136;0,87749
5;0,126;24;Yes;No;3;0,78629;0,81622;0,02679;0,04674;2,41874;class negotiator.group8.Group8@466223745;class negotiator.group12.Group12@560455646;class negotiator.group2.Group2@1051527379;0,81622;0,78629;0,81622
6;0,102;19;Yes;No;3;0,75048;0,91246;0,00000;0,13486;2,41342;class negotiator.group8.Group8@471260239;class negotiator.group2.Group2@1468205894;class negotiator.group12.Group12@1216722759;0,75048;0,91246;0,75048
1;0,135;24;Yes;No;3;0,66513;0,86869;0,03468;0,17614;2,40251;class negotiator.group2.Group2@507041044;class negotiator.group8.Group8@879138360;class negotiator.group12.Group12@2079355593;0,86869;0,66513;0,86869
2;0,128;25;Yes;No;3;0,67866;0,82079;0,06361;0,15232;2,32024;class negotiator.group2.Group2@506121599;class negotiator.group12.Group12@1189231579;class negotiator.group8.Group8@1177920105;0,82079;0,67866;0,82079
3;0,041;29;Yes;No;3;0,65368;0,80322;0,14617;0,24575;2,11057;class negotiator.group12.Group12@1051453020;class negotiator.group2.Group2@1981978051;class negotiator.group8.Group8@566842431;0,65368;0,80322;0,65368
4;0,033;24;Yes;No;3;0,66513;0,86869;0,03468;0,17614;2,40251;class negotiator.group12.Group12@1250204805;class negotiator.group8.Group8@729549455;class negotiator.group2.Group2@1225920174;0,86869;0,66513;0,86869
5;0,121;24;Yes;No;3;0,78629;0,81622;0,02679;0,04674;2,41874;class negotiator.group8.Group8@571593503;class negotiator.group12.Group12@1277105004;class negotiator.group2.Group2@133976082;0,81622;0,78629;0,81622
6;0,111;19;Yes;No;3;0,75048;0,91246;0,00000;0,13486;2,41342;class negotiator.group8.Group8@1589791037;class negotiator.group2.Group2@1919410385;class negotiator.group12.Group12@1188501890;0,75048;0,91246;0,75048
1;0,127;24;Yes;No;3;0,66513;0,86869;0,03468;0,17614;2,40251;class negotiator.group2.Group2@592358794;class negotiator.group8.Group8@1871287167;class negotiator.group12.Group12@581273399;0,86869;0,66513;0,86869
2;0,124;23;Yes;No;3;0,78629;0,81622;0,02679;0,04674;2,41874;class negotiator.group2.Group2@1547731432;class negotiator.group12.Group12@179590423;class negotiator.group8.Group8@688209237;0,81622;0,78629;0,81622
3;0,031;28;Yes;No;3;0,67018;0,72154;0,22214;0,24640;2,06190;class negotiator.group12.Group12@655858557;class negotiator.group2.Group2@2130706870;class negotiator.group8.Group8@1463087020;0,67018;0,72154;0,67018
4;0,033;26;Yes;No;3;0,67830;0,82992;0,05457;0,15256;2,33815;class negotiator.group12.Group12@1474006922;class negotiator.group8.Group8@1275865727;class negotiator.group2.Group2@872321017;0,82992;0,67830;0,82992
5;0,143;24;Yes;No;3;0,78629;0,81622;0,02679;0,04674;2,41874;class negotiator.group8.Group8@1137135525;class negotiator.group12.Group12@1214988168;class negotiator.group2.Group2@1704573736;0,81622;0,78629;0,81622
6;0,109;19;Yes;No;3;0,75048;0,91246;0,00000;0,13486;2,41342;class negotiator.group8.Group8@585064741;class negotiator.group2.Group2@1528608956;class negotiator.group12.Group12@1251629864;0,75048;0,91246;0,75048
1;0,121;25;Yes;No;3;0,71693;0,79058;0,09167;0,12458;2,29810;class negotiator.group2.Group2@1660086696;class negotiator.group8.Group8@1006467738;class negotiator.group12.Group12@94039041;0,79058;0,71693;0,79058
2;0,188;34;Yes;No;3;0,59707;0,64446;0,32237;0,34755;1,88599;class negotiator.group2.Group2@490845313;class negotiator.group12.Group12@1745596712;class negotiator.group8.Group8@947011353;0,64446;0,59707;0,64446
3;0,029;28;Yes;No;3;0,65457;0,76272;0,18021;0,25229;2,07187;class negotiator.group12.Group12@1784293106;class negotiator.group2.Group2@2049925764;class negotiator.group8.Group8@1335369240;0,65457;0,76272;0,65457
4;0,028;27;Yes;No;3;0,66441;0,84096;0,05857;0,16765;2,34632;class negotiator.group12.Group12@1723558405;class negotiator.group8.Group8@1575857558;class negotiator.group2.Group2@1557647341;0,84096;0,66441;0,84096
5;0,125;24;Yes;No;3;0,78629;0,81622;0,02679;0,04674;2,41874;class negotiator.group8.Group8@1395679921;class negotiator.group12.Group12@1860616592;class negotiator.group2.Group2@1591169223;0,81622;0,78629;0,81622
6;0,097;19;Yes;No;3;0,75048;0,91246;0,00000;0,13486;2,41342;class negotiator.group8.Group8@1008550999;class negotiator.group2.Group2@1827183759;class negotiator.group12.Group12@878328515;0,75048;0,91246;0,75048
1;0,141;23;Yes;No;3;0,70818;0,83216;0,03468;0,12287;2,37249;class negotiator.group2.Group2@1349453287;class negotiator.group8.Group8@101108801;class negotiator.group12.Group12@773989610;0,83216;0,70818;0,83216
2;0,176;31;Yes;No;3;0,66696;0,66991;0,26513;0,27694;2,00382;class negotiator.group2.Group2@1263243215;class negotiator.group12.Group12@1663298428;class negotiator.group8.Group8@1400330141;0,66696;0,66991;0,66696
3;0,038;28;Yes;No;3;0,65368;0,80322;0,14617;0,24575;2,11057;class negotiator.group12.Group12@1817001069;class negotiator.group2.Group2@2079319004;class negotiator.group8.Group8@124493782;0,65368;0,80322;0,65368
4;0,029;23;Yes;No;3;0,70818;0,83216;0,03468;0,12287;2,37249;class negotiator.group12.Group12@1858730777;class negotiator.group8.Group8@1809980665;class negotiator.group2.Group2@1863836506;0,83216;0,70818;0,83216
5;0,122;24;Yes;No;3;0,78629;0,81622;0,02679;0,04674;2,41874;class negotiator.group8.Group8@878269505;class negotiator.group12.Group12@367616224;class negotiator.group2.Group2@1855435632;0,81622;0,78629;0,81622
6;0,104;19;Yes;No;3;0,75048;0,91246;0,00000;0,13486;2,41342;class negotiator.group8.Group8@1045070027;class negotiator.group2.Group2@1087320095;class negotiator.group12.Group12@511682182;0,75048;0,91246;0,75048
