sep=;
Session;Time (s);Rounds;Agreement;Discounted;Approval;Min. utility;Max. utility;Distance to pareto;Distance to Nash;Social welfare;Agent name 1;Agent name 2;Agent name 3;Agent utility 1;Agent utility 2;Agent utility 3
1;0,104;13;Yes;No;3;0,74631;1,00000;0,00000;0,48979;2,61536;class negotiator.group3.Group3@1650913240;class negotiator.group11.Group11@1822498276;class negotiator.group12.Group12@1755219112;0,86905;0,74631;1,00000
2;0,060;12;Yes;No;3;0,80952;0,98195;0,00000;0,10766;2,62567;class negotiator.group3.Group3@765204447;class negotiator.group12.Group12@2026976667;class negotiator.group11.Group11@477845848;0,80952;0,83419;0,98195
3;0,094;15;Yes;No;3;0,80594;0,96428;0,00000;0,15264;2,66691;class negotiator.group12.Group12@14427579;class negotiator.group3.Group3@1303636112;class negotiator.group11.Group11@1019179344;0,96428;0,80594;0,89668
4;0,083;13;Yes;No;3;0,80594;0,96428;0,00000;0,47822;2,66691;class negotiator.group12.Group12@2059951622;class negotiator.group11.Group11@467160345;class negotiator.group3.Group3@1241371034;0,96428;0,80594;0,89668
5;0,042;9;Yes;No;3;0,76190;0,88882;0,01411;0,42499;2,51536;class negotiator.group11.Group11@235867140;class negotiator.group12.Group12@915364781;class negotiator.group3.Group3@1877375200;0,76190;0,86463;0,88882
6;0,026;7;Yes;No;3;0,71429;0,95345;0,00000;0,48929;2,54602;class negotiator.group11.Group11@1219495303;class negotiator.group3.Group3@1051283385;class negotiator.group12.Group12@1916217842;0,71429;0,95345;0,87829
1;0,094;13;Yes;No;3;0,74631;1,00000;0,00000;0,48979;2,61536;class negotiator.group3.Group3@776629804;class negotiator.group11.Group11@1713298015;class negotiator.group12.Group12@314475938;0,86905;0,74631;1,00000
2;0,086;13;Yes;No;3;0,80501;0,95238;0,01411;0,15058;2,64655;class negotiator.group3.Group3@1502430910;class negotiator.group12.Group12@608925869;class negotiator.group11.Group11@873955929;0,95238;0,80501;0,88916
3;0,072;13;Yes;No;3;0,80594;0,96428;0,00000;0,15264;2,66691;class negotiator.group12.Group12@1382187756;class negotiator.group3.Group3@1642698408;class negotiator.group11.Group11@513283112;0,96428;0,80594;0,89668
4;0,070;13;Yes;No;3;0,80594;0,96428;0,00000;0,47822;2,66691;class negotiator.group12.Group12@370497768;class negotiator.group11.Group11@1353112868;class negotiator.group3.Group3@2102877518;0,96428;0,80594;0,89668
