sep=;
Session;Time (s);Rounds;Agreement;Discounted;Approval;Min. utility;Max. utility;Distance to pareto;Distance to Nash;Social welfare;Agent name 1;Agent name 2;Agent name 3;Agent utility 1;Agent utility 2;Agent utility 3
1;0.189;31;Yes;No;3;0.65164;0.95238;0.00000;0.09453;2.32568;class negotiator.group2.Group2@1203286827;class negotiator.group7.Group7@788197590;class negotiator.group12.Group12@1557760434;0.72167;0.95238;0.65164
2;0.216;46;Yes;No;3;0.61520;0.91144;0.03450;0.39445;2.17081;class negotiator.group2.Group2@385005979;class negotiator.group12.Group12@427260642;class negotiator.group7.Group7@1931778173;0.64417;0.61520;0.91144
3;0.196;39;Yes;No;3;0.46845;0.98317;0.00000;0.58055;2.00245;class negotiator.group12.Group12@1918325323;class negotiator.group2.Group2@1121711250;class negotiator.group7.Group7@1989525384;0.55083;0.46845;0.98317
4;0.167;34;Yes;No;3;0.65164;0.95238;0.00000;0.09453;2.32568;class negotiator.group12.Group12@1796694559;class negotiator.group7.Group7@1277892646;class negotiator.group2.Group2@557747675;0.72167;0.95238;0.65164
5;0.220;44;Yes;No;3;0.49465;0.97500;0.00000;0.48526;2.08197;class negotiator.group7.Group7@1543497682;class negotiator.group12.Group12@2110569261;class negotiator.group2.Group2@202688481;0.97500;0.49465;0.61232
6;0.209;41;Yes;No;3;0.46849;0.96667;0.04831;0.51549;2.00772;class negotiator.group7.Group7@1885139744;class negotiator.group2.Group2@1717433217;class negotiator.group12.Group12@572378792;0.96667;0.46849;0.57257
1;0.223;34;Yes;No;3;0.62363;0.95971;0.00000;0.12474;2.29251;class negotiator.group2.Group2@1174166549;class negotiator.group7.Group7@989956760;class negotiator.group12.Group12@1647452011;0.70917;0.95971;0.62363
2;0.281;46;Yes;No;3;0.50944;0.92300;0.05880;0.49179;2.06244;class negotiator.group2.Group2@392349184;class negotiator.group12.Group12@1437939198;class negotiator.group7.Group7@1810621095;0.63000;0.50944;0.92300
3;0.229;40;Yes;No;3;0.45692;0.95144;0.03393;0.57479;1.96253;class negotiator.group12.Group12@3559837;class negotiator.group2.Group2@1848121990;class negotiator.group7.Group7@182815722;0.55417;0.45692;0.95144
4;0.184;35;Yes;No;3;0.65164;0.95238;0.00000;0.09453;2.32568;class negotiator.group12.Group12@27875691;class negotiator.group7.Group7@355303591;class negotiator.group2.Group2@1582915277;0.72167;0.95238;0.65164
5;0.279;47;Yes;No;3;0.75837;0.80821;0.00000;0.19343;2.36742;class negotiator.group7.Group7@761513395;class negotiator.group12.Group12@1900577292;class negotiator.group2.Group2@1330781166;0.80083;0.75837;0.80821
6;0.198;41;Yes;No;3;0.49465;0.97500;0.00000;0.48526;2.08197;class negotiator.group7.Group7@167984217;class negotiator.group2.Group2@1517222961;class negotiator.group12.Group12@745481049;0.97500;0.49465;0.61232
1;0.204;31;Yes;No;3;0.65164;0.95238;0.00000;0.09453;2.32568;class negotiator.group2.Group2@618705785;class negotiator.group7.Group7@472309721;class negotiator.group12.Group12@1009921535;0.72167;0.95238;0.65164
2;0.200;42;Yes;No;3;0.58083;0.95256;0.00000;0.44991;2.13706;class negotiator.group2.Group2@40492857;class negotiator.group12.Group12@1958615147;class negotiator.group7.Group7@1815434413;0.58083;0.60367;0.95256
