sep=;
Session;Time (s);Rounds;Agreement;Discounted;Approval;Min. utility;Max. utility;Distance to pareto;Distance to Nash;Social welfare;Agent name 1;Agent name 2;Agent name 3;Agent utility 1;Agent utility 2;Agent utility 3
1;0.060;8;Yes;No;3;0.85609;0.89335;0.02961;0.04224;2.61848;class negotiator.group3.Group3@547892365;class negotiator.group8.Group8@17100219;class negotiator.group12.Group12@1788055682;0.86905;0.89335;0.85609
2;0.094;13;Yes;No;3;0.80501;0.95238;0.01411;0.10132;2.64655;class negotiator.group3.Group3@2113174903;class negotiator.group12.Group12@1046040635;class negotiator.group8.Group8@1503818103;0.95238;0.80501;0.88916
3;0.148;29;Yes;No;3;0.64847;0.68544;0.28248;0.39862;1.98868;class negotiator.group12.Group12@935815578;class negotiator.group3.Group3@82188818;class negotiator.group8.Group8@515479105;0.65476;0.68544;0.64847
4;0.060;11;Yes;No;3;0.83423;0.90939;0.00000;0.06695;2.60076;class negotiator.group12.Group12@1534479084;class negotiator.group8.Group8@858847965;class negotiator.group3.Group3@1420156268;0.85714;0.90939;0.83423
5;0.065;13;Yes;No;3;0.80501;0.95238;0.01411;0.10132;2.64655;class negotiator.group8.Group8@1433143518;class negotiator.group12.Group12@666522274;class negotiator.group3.Group3@965156366;0.95238;0.80501;0.88916
6;0.041;8;Yes;No;3;0.87864;0.90476;0.00000;0.00000;2.67722;class negotiator.group8.Group8@1279763283;class negotiator.group3.Group3@1932772676;class negotiator.group12.Group12@1272721010;0.90476;0.89382;0.87864
1;0.057;8;Yes;No;3;0.85609;0.89335;0.02961;0.04224;2.61848;class negotiator.group3.Group3@1684890950;class negotiator.group8.Group8@1242827308;class negotiator.group12.Group12@1772614834;0.86905;0.89335;0.85609
2;0.092;12;Yes;No;3;0.79762;0.97444;0.01411;0.15597;2.60531;class negotiator.group3.Group3@296880207;class negotiator.group12.Group12@1061127068;class negotiator.group8.Group8@1658427188;0.79762;0.83326;0.97444
3;0.068;12;Yes;No;3;0.80594;0.96428;0.00000;0.10766;2.66691;class negotiator.group12.Group12@1558521101;class negotiator.group3.Group3@1206102048;class negotiator.group8.Group8@858976703;0.96428;0.80594;0.89668
4;0.048;9;Yes;No;3;0.87112;0.89289;0.01411;0.01411;2.65686;class negotiator.group12.Group12@1436372187;class negotiator.group8.Group8@1243670982;class negotiator.group3.Group3@919858223;0.89286;0.89289;0.87112
5;0.064;13;Yes;No;3;0.80501;0.95238;0.01411;0.10132;2.64655;class negotiator.group8.Group8@2069456383;class negotiator.group12.Group12@708282269;class negotiator.group3.Group3@598239762;0.95238;0.80501;0.88916
6;0.031;8;Yes;No;3;0.87864;0.90476;0.00000;0.00000;2.67722;class negotiator.group8.Group8@97244680;class negotiator.group3.Group3@156281393;class negotiator.group12.Group12@248871870;0.90476;0.89382;0.87864
1;0.076;12;Yes;No;3;0.79762;0.92403;0.01411;0.13374;2.52615;class negotiator.group3.Group3@1638858381;class negotiator.group8.Group8@667553045;class negotiator.group12.Group12@1109455387;0.79762;0.92403;0.80451
2;0.084;12;Yes;No;3;0.79762;0.97444;0.01411;0.15597;2.60531;class negotiator.group3.Group3@1394791734;class negotiator.group12.Group12@333182686;class negotiator.group8.Group8@1311535873;0.79762;0.83326;0.97444
3;0.068;12;Yes;No;3;0.80594;0.96428;0.00000;0.10766;2.66691;class negotiator.group12.Group12@1211264703;class negotiator.group3.Group3@1728373408;class negotiator.group8.Group8@1908058934;0.96428;0.80594;0.89668
4;0.123;14;Yes;No;3;0.82255;0.85714;0.06812;0.09348;2.51584;class negotiator.group12.Group12@373203087;class negotiator.group8.Group8@1772033969;class negotiator.group3.Group3@1271700387;0.85714;0.83615;0.82255
5;0.060;13;Yes;No;3;0.80501;0.95238;0.01411;0.10132;2.64655;class negotiator.group8.Group8@568334796;class negotiator.group12.Group12@2143138163;class negotiator.group3.Group3@2127378057;0.95238;0.80501;0.88916
6;0.026;8;Yes;No;3;0.87864;0.90476;0.00000;0.00000;2.67722;class negotiator.group8.Group8@1387765096;class negotiator.group3.Group3@348078405;class negotiator.group12.Group12@408298407;0.90476;0.89382;0.87864
1;0.066;11;Yes;No;3;0.80952;0.92496;0.00000;0.12032;2.54651;class negotiator.group3.Group3@1061074284;class negotiator.group8.Group8@771286500;class negotiator.group12.Group12@800912208;0.80952;0.92496;0.81203
2;0.078;13;Yes;No;3;0.80501;0.95238;0.01411;0.10132;2.64655;class negotiator.group3.Group3@1000385192;class negotiator.group12.Group12@824449581;class negotiator.group8.Group8@959617423;0.95238;0.80501;0.88916
3;0.069;12;Yes;No;3;0.80594;0.96428;0.00000;0.10766;2.66691;class negotiator.group12.Group12@687839391;class negotiator.group3.Group3@612172736;class negotiator.group8.Group8@193021175;0.96428;0.80594;0.89668
4;0.074;16;Yes;No;3;0.80594;0.96428;0.00000;0.10766;2.66691;class negotiator.group12.Group12@358202124;class negotiator.group8.Group8@906435527;class negotiator.group3.Group3@212910471;0.96428;0.80594;0.89668
5;0.054;13;Yes;No;3;0.80501;0.95238;0.01411;0.10132;2.64655;class negotiator.group8.Group8@678530195;class negotiator.group12.Group12@918821795;class negotiator.group3.Group3@83002988;0.95238;0.80501;0.88916
6;0.030;8;Yes;No;3;0.87864;0.90476;0.00000;0.00000;2.67722;class negotiator.group8.Group8@1317943856;class negotiator.group3.Group3@1536052634;class negotiator.group12.Group12@1535699051;0.90476;0.89382;0.87864
1;0.085;14;Yes;No;3;0.83423;0.90939;0.00000;0.06695;2.60076;class negotiator.group3.Group3@2035480511;class negotiator.group8.Group8@906451667;class negotiator.group12.Group12@484175451;0.85714;0.90939;0.83423
2;0.089;13;Yes;No;3;0.80501;0.95238;0.01411;0.10132;2.64655;class negotiator.group3.Group3@721266474;class negotiator.group12.Group12@1927924850;class negotiator.group8.Group8@1399688014;0.95238;0.80501;0.88916
3;0.090;19;Yes;No;3;0.76095;0.94808;0.01411;0.17761;2.51855;class negotiator.group12.Group12@970793831;class negotiator.group3.Group3@1698651358;class negotiator.group8.Group8@585770688;0.80952;0.76095;0.94808
4;0.066;12;Yes;No;3;0.81920;0.90916;0.02816;0.09418;2.56168;class negotiator.group12.Group12@982915368;class negotiator.group8.Group8@1414377252;class negotiator.group3.Group3@941985721;0.83333;0.90916;0.81920
5;0.056;13;Yes;No;3;0.80501;0.95238;0.01411;0.10132;2.64655;class negotiator.group8.Group8@555941420;class negotiator.group12.Group12@6097843;class negotiator.group3.Group3@1554715892;0.95238;0.80501;0.88916
6;0.030;8;Yes;No;3;0.87864;0.90476;0.00000;0.00000;2.67722;class negotiator.group8.Group8@1676463795;class negotiator.group3.Group3@1341553925;class negotiator.group12.Group12@1066007622;0.90476;0.89382;0.87864
1;0.098;14;Yes;No;3;0.76190;0.93755;0.00000;0.16069;2.54921;class negotiator.group3.Group3@2081519680;class negotiator.group8.Group8@1592652130;class negotiator.group12.Group12@1468172702;0.76190;0.84976;0.93755
2;0.092;13;Yes;No;3;0.80501;0.95238;0.01411;0.10132;2.64655;class negotiator.group3.Group3@985065775;class negotiator.group12.Group12@1049045702;class negotiator.group8.Group8@470371644;0.95238;0.80501;0.88916
3;0.076;12;Yes;No;3;0.80594;0.96428;0.00000;0.10766;2.66691;class negotiator.group12.Group12@648916101;class negotiator.group3.Group3@1410950041;class negotiator.group8.Group8@1322908913;0.96428;0.80594;0.89668
4;0.104;19;Yes;No;3;0.78571;0.96692;0.02816;0.15984;2.58659;class negotiator.group12.Group12@949286944;class negotiator.group8.Group8@1009654245;class negotiator.group3.Group3@1990600768;0.78571;0.83396;0.96692
5;0.062;13;Yes;No;3;0.80501;0.95238;0.01411;0.10132;2.64655;class negotiator.group8.Group8@379371163;class negotiator.group12.Group12@212188598;class negotiator.group3.Group3@1430912566;0.95238;0.80501;0.88916
6;0.059;8;Yes;No;3;0.87864;0.90476;0.00000;0.00000;2.67722;class negotiator.group8.Group8@1825617656;class negotiator.group3.Group3@2057079703;class negotiator.group12.Group12@999335268;0.90476;0.89382;0.87864
1;0.045;8;Yes;No;3;0.87864;0.90476;0.00000;0.00000;2.67722;class negotiator.group3.Group3@1645355282;class negotiator.group8.Group8@339302155;class negotiator.group12.Group12@1082236300;0.90476;0.89382;0.87864
2;0.073;13;Yes;No;3;0.80501;0.95238;0.01411;0.10132;2.64655;class negotiator.group3.Group3@2106487657;class negotiator.group12.Group12@322646757;class negotiator.group8.Group8@327836224;0.95238;0.80501;0.88916
3;0.067;13;Yes;No;3;0.80594;0.96428;0.00000;0.10766;2.66691;class negotiator.group12.Group12@1647862213;class negotiator.group3.Group3@1671102179;class negotiator.group8.Group8@1423186987;0.96428;0.80594;0.89668
4;0.089;18;Yes;No;3;0.78571;0.92473;0.02816;0.14763;2.50743;class negotiator.group12.Group12@1430753456;class negotiator.group8.Group8@1298939533;class negotiator.group3.Group3@2105459376;0.78571;0.92473;0.79699
5;0.063;13;Yes;No;3;0.80501;0.95238;0.01411;0.10132;2.64655;class negotiator.group8.Group8@220197166;class negotiator.group12.Group12@739445181;class negotiator.group3.Group3@367291878;0.95238;0.80501;0.88916
6;0.030;8;Yes;No;3;0.87864;0.90476;0.00000;0.00000;2.67722;class negotiator.group8.Group8@356455427;class negotiator.group3.Group3@1614470106;class negotiator.group12.Group12@943191697;0.90476;0.89382;0.87864
1;0.070;13;Yes;No;3;0.78571;0.92473;0.02816;0.14763;2.50743;class negotiator.group3.Group3@1646052972;class negotiator.group8.Group8@1327959750;class negotiator.group12.Group12@221974979;0.78571;0.92473;0.79699
2;0.084;13;Yes;No;3;0.80501;0.95238;0.01411;0.10132;2.64655;class negotiator.group3.Group3@554377214;class negotiator.group12.Group12@1633775012;class negotiator.group8.Group8@1130716142;0.95238;0.80501;0.88916
3;0.091;13;Yes;No;3;0.80594;0.96428;0.00000;0.10766;2.66691;class negotiator.group12.Group12@581293855;class negotiator.group3.Group3@902710782;class negotiator.group8.Group8@2035630666;0.96428;0.80594;0.89668
4;0.145;24;Yes;No;3;0.58703;1.00000;0.00000;0.37201;2.27040;class negotiator.group12.Group12@1282623105;class negotiator.group8.Group8@605677149;class negotiator.group3.Group3@543356463;1.00000;0.68337;0.58703
5;0.069;13;Yes;No;3;0.80501;0.95238;0.01411;0.10132;2.64655;class negotiator.group8.Group8@626783154;class negotiator.group12.Group12@937180743;class negotiator.group3.Group3@1551680503;0.95238;0.80501;0.88916
6;0.034;8;Yes;No;3;0.87864;0.90476;0.00000;0.00000;2.67722;class negotiator.group8.Group8@52804753;class negotiator.group3.Group3@578737460;class negotiator.group12.Group12@887052957;0.90476;0.89382;0.87864
1;0.061;9;Yes;No;3;0.83423;0.90939;0.00000;0.06695;2.60076;class negotiator.group3.Group3@1613051821;class negotiator.group8.Group8@728395819;class negotiator.group12.Group12@1491742033;0.85714;0.90939;0.83423
2;0.105;13;Yes;No;3;0.80501;0.95238;0.01411;0.10132;2.64655;class negotiator.group3.Group3@1984253553;class negotiator.group12.Group12@1075911008;class negotiator.group8.Group8@1024003716;0.95238;0.80501;0.88916
3;0.083;16;Yes;No;3;0.80571;0.94048;0.02816;0.09512;2.62783;class negotiator.group12.Group12@496507754;class negotiator.group3.Group3@1831852883;class negotiator.group8.Group8@1625841189;0.94048;0.80571;0.88165
4;0.069;13;Yes;No;3;0.81920;0.90916;0.02816;0.09418;2.56168;class negotiator.group12.Group12@1875001270;class negotiator.group8.Group8@971308812;class negotiator.group3.Group3@1764002437;0.83333;0.90916;0.81920
5;0.065;13;Yes;No;3;0.80501;0.95238;0.01411;0.10132;2.64655;class negotiator.group8.Group8@1577211824;class negotiator.group12.Group12@1808471047;class negotiator.group3.Group3@1636830938;0.95238;0.80501;0.88916
6;0.033;8;Yes;No;3;0.87864;0.90476;0.00000;0.00000;2.67722;class negotiator.group8.Group8@1396043129;class negotiator.group3.Group3@2038025628;class negotiator.group12.Group12@732560146;0.90476;0.89382;0.87864
1;0.043;8;Yes;No;3;0.87112;0.89289;0.01411;0.01411;2.65686;class negotiator.group3.Group3@614625571;class negotiator.group8.Group8@615629727;class negotiator.group12.Group12@312610443;0.89286;0.89289;0.87112
2;0.077;13;Yes;No;3;0.80501;0.95238;0.01411;0.10132;2.64655;class negotiator.group3.Group3@1298714939;class negotiator.group12.Group12@478191665;class negotiator.group8.Group8@1083506581;0.95238;0.80501;0.88916
3;0.103;23;Yes;No;3;0.70094;0.85219;0.09161;0.21790;2.33884;class negotiator.group12.Group12@677693206;class negotiator.group3.Group3@1883933201;class negotiator.group8.Group8@766417839;0.78571;0.85219;0.70094
4;0.064;12;Yes;No;3;0.81168;0.90892;0.01998;0.10796;2.54203;class negotiator.group12.Group12@577705367;class negotiator.group8.Group8@720535082;class negotiator.group3.Group3@372837741;0.82143;0.90892;0.81168
5;0.054;13;Yes;No;3;0.80501;0.95238;0.01411;0.10132;2.64655;class negotiator.group8.Group8@205494465;class negotiator.group12.Group12@591768879;class negotiator.group3.Group3@862780096;0.95238;0.80501;0.88916
6;0.032;8;Yes;No;3;0.87864;0.90476;0.00000;0.00000;2.67722;class negotiator.group8.Group8@935488928;class negotiator.group3.Group3@1034633209;class negotiator.group12.Group12@905253904;0.90476;0.89382;0.87864
