sep=;
Session;Time (s);Rounds;Agreement;Discounted;Approval;Min. utility;Max. utility;Distance to pareto;Distance to Nash;Social welfare;Agent name 1;Agent name 2;Agent name 3;Agent utility 1;Agent utility 2;Agent utility 3
1;0,456;35;Yes;No;3;0,59323;0,96699;0,00000;0,24936;2,32754;class negotiator.group1.Group1@1639434557;class negotiator.group10.Group10@1703432659;class negotiator.group12.Group12@545964806;0,76733;0,96699;0,59323
2;0,480;33;Yes;No;3;0,65536;0,76971;0,10755;0,22121;2,15014;class negotiator.group1.Group1@291538514;class negotiator.group12.Group12@918637412;class negotiator.group10.Group10@1084570697;0,76971;0,72507;0,65536
3;0,288;30;Yes;No;3;0,62893;0,82182;0,09397;0,14727;2,20129;class negotiator.group12.Group12@300144123;class negotiator.group1.Group1@767895240;class negotiator.group10.Group10@1156251725;0,62893;0,82182;0,75054
4;0,140;27;Yes;No;3;0,67488;0,86432;0,05334;0,18178;2,24782;class negotiator.group12.Group12@1806016856;class negotiator.group10.Group10@1876044162;class negotiator.group1.Group1@1940366685;0,67488;0,70862;0,86432
5;0,115;26;Yes;No;3;0,73943;0,84349;0,00000;0,13176;2,33906;class negotiator.group10.Group10@1712986688;class negotiator.group12.Group12@410689848;class negotiator.group1.Group1@1446601255;0,75614;0,73943;0,84349
6;0,086;20;Yes;No;3;0,74571;0,87691;0,00000;0,08050;2,39635;class negotiator.group10.Group10@1586053035;class negotiator.group1.Group1@322381347;class negotiator.group12.Group12@235030072;0,77372;0,87691;0,74571
1;0,498;36;Yes;No;3;0,70894;0,84780;0,00000;0,16031;2,36992;class negotiator.group1.Group1@1321609191;class negotiator.group10.Group10@1693062690;class negotiator.group12.Group12@2017832705;0,84780;0,81317;0,70894
2;0,212;30;Yes;No;3;0,54934;0,82863;0,13627;0,34039;2,05949;class negotiator.group1.Group1@2012142884;class negotiator.group12.Group12@1132568317;class negotiator.group10.Group10@375987243;0,82863;0,68152;0,54934
3;0,085;22;Yes;No;3;0,73938;0,88692;0,02835;0,07499;2,37589;class negotiator.group12.Group12@1578656703;class negotiator.group1.Group1@295790839;class negotiator.group10.Group10@1333245612;0,73938;0,88692;0,74960
4;0,831;44;Yes;No;3;0,76464;0,80203;0,00000;0,10983;2,34259;class negotiator.group12.Group12@2035191107;class negotiator.group10.Group10@1664267341;class negotiator.group1.Group1@293780561;0,77592;0,76464;0,80203
5;0,095;26;Yes;No;3;0,70922;0,86043;0,00000;0,09038;2,36731;class negotiator.group10.Group10@1213614338;class negotiator.group12.Group12@1051729049;class negotiator.group1.Group1@978607914;0,70922;0,79766;0,86043
6;0,112;26;Yes;No;3;0,76734;0,84619;0,00000;0,06744;2,39464;class negotiator.group10.Group10@2054577018;class negotiator.group1.Group1@1142740089;class negotiator.group12.Group12@1546223327;0,78111;0,84619;0,76734
1;0,563;38;Yes;No;3;0,65873;0,83551;0,05210;0,17650;2,30135;class negotiator.group1.Group1@70237445;class negotiator.group10.Group10@640814821;class negotiator.group12.Group12@830100346;0,80712;0,83551;0,65873
2;0,469;36;Yes;No;3;0,54934;0,82863;0,13627;0,34039;2,05949;class negotiator.group1.Group1@1350935029;class negotiator.group12.Group12@1719060518;class negotiator.group10.Group10@99923473;0,82863;0,68152;0,54934
3;0,104;24;Yes;No;3;0,73488;0,82779;0,03733;0,10196;2,34482;class negotiator.group12.Group12@251446294;class negotiator.group1.Group1@1587223063;class negotiator.group10.Group10@2130672619;0,78215;0,82779;0,73488
4;0,767;43;Yes;No;3;0,70283;0,88773;0,04633;0,12421;2,29850;class negotiator.group12.Group12@1059389486;class negotiator.group10.Group10@963178111;class negotiator.group1.Group1@1011739290;0,70283;0,88773;0,70794
5;0,618;39;Yes;No;3;0,69802;0,78954;0,03919;0,18771;2,24407;class negotiator.group10.Group10@1897952099;class negotiator.group12.Group12@256204846;class negotiator.group1.Group1@1544508006;0,78954;0,69802;0,75650
6;0,309;31;Yes;No;3;0,66128;0,79881;0,14142;0,16864;2,15611;class negotiator.group10.Group10@1375044260;class negotiator.group1.Group1@1964367012;class negotiator.group12.Group12@1395604482;0,66128;0,79881;0,69602
1;0,734;39;Yes;No;3;0,59503;0,83170;0,06727;0,23597;2,22861;class negotiator.group1.Group1@1878614648;class negotiator.group10.Group10@877818847;class negotiator.group12.Group12@515343995;0,80188;0,83170;0,59503
2;0,619;33;Yes;No;3;0,58612;0,75454;0,13627;0,26640;2,08592;class negotiator.group1.Group1@163516361;class negotiator.group12.Group12@777279914;class negotiator.group10.Group10@217224773;0,75454;0,74526;0,58612
3;0,144;24;Yes;No;3;0,74571;0,87691;0,00000;0,08050;2,39635;class negotiator.group12.Group12@1518422580;class negotiator.group1.Group1@1444200903;class negotiator.group10.Group10@1313613310;0,77372;0,87691;0,74571
4;0,684;35;Yes;No;3;0,62597;0,75255;0,11947;0,27076;2,03058;class negotiator.group12.Group12@999742846;class negotiator.group10.Group10@1274820914;class negotiator.group1.Group1@1680901734;0,65205;0,62597;0,75255
5;0,602;33;Yes;No;3;0,67796;0,76414;0,07729;0,14120;2,20160;class negotiator.group10.Group10@903673614;class negotiator.group12.Group12@524512558;class negotiator.group1.Group1@2132855574;0,67796;0,76414;0,75951
6;0,115;24;Yes;No;3;0,68711;0,91854;0,00000;0,14779;2,38975;class negotiator.group10.Group10@1894116633;class negotiator.group1.Group1@1951122486;class negotiator.group12.Group12@231393746;0,78409;0,91854;0,68711
1;0,835;41;Yes;No;3;0,70702;0,90993;0,00000;0,06095;2,42107;class negotiator.group1.Group1@1747429817;class negotiator.group10.Group10@1114090239;class negotiator.group12.Group12@423128888;0,70702;0,90993;0,80412
2;0,385;32;Yes;No;3;0,64552;0,83282;0,09078;0,25602;2,18205;class negotiator.group1.Group1@1398171182;class negotiator.group12.Group12@748228329;class negotiator.group10.Group10@1979905517;0,83282;0,70372;0,64552
3;0,136;27;Yes;No;3;0,72568;0,84700;0,04633;0,09879;2,31725;class negotiator.group12.Group12@1531492450;class negotiator.group1.Group1@1069685668;class negotiator.group10.Group10@1577987116;0,74456;0,84700;0,72568
4;0,823;40;Yes;No;3;0,53000;0,83874;0,05920;0,24232;2,13508;class negotiator.group12.Group12@90238908;class negotiator.group10.Group10@709942159;class negotiator.group1.Group1@84995493;0,53000;0,76633;0,83874
5;0,112;25;Yes;No;3;0,73392;0,82366;0,00000;0,13964;2,34088;class negotiator.group10.Group10@850881318;class negotiator.group12.Group12@504840796;class negotiator.group1.Group1@476641790;0,78331;0,73392;0,82366
6;0,566;35;Yes;No;3;0,61895;0,82452;0,16754;0,22262;2,09008;class negotiator.group10.Group10@1722345864;class negotiator.group1.Group1@1107903139;class negotiator.group12.Group12@435549205;0,61895;0,82452;0,64660
1;0,537;35;Yes;No;3;0,63431;0,76777;0,09808;0,26387;2,10521;class negotiator.group1.Group1@761417139;class negotiator.group10.Group10@636882662;class negotiator.group12.Group12@328536849;0,76777;0,63431;0,70313
2;0,697;40;Yes;No;3;0,58425;0,81200;0,15476;0,33720;2,03470;class negotiator.group1.Group1@406737363;class negotiator.group12.Group12@229309708;class negotiator.group10.Group10@916224563;0,81200;0,63845;0,58425
3;0,304;31;Yes;No;3;0,53979;0,77759;0,19968;0,30454;1,99690;class negotiator.group12.Group12@258069030;class negotiator.group1.Group1@1442384987;class negotiator.group10.Group10@14793013;0,67952;0,77759;0,53979
4;0,422;32;Yes;No;3;0,61346;0,87422;0,05920;0,23456;2,17256;class negotiator.group12.Group12@959431810;class negotiator.group10.Group10@615091240;class negotiator.group1.Group1@688697753;0,61346;0,68488;0,87422
5;0,426;33;Yes;No;3;0,63113;0,80685;0,09879;0,19887;2,14753;class negotiator.group10.Group10@551164536;class negotiator.group12.Group12@1215961735;class negotiator.group1.Group1@70707816;0,63113;0,70955;0,80685
6;0,143;26;Yes;No;3;0,74571;0,87691;0,00000;0,08050;2,39635;class negotiator.group10.Group10@633786910;class negotiator.group1.Group1@1039157763;class negotiator.group12.Group12@245793407;0,77372;0,87691;0,74571
1;0,685;38;Yes;No;3;0,63431;0,76777;0,09808;0,26387;2,10521;class negotiator.group1.Group1@816404274;class negotiator.group10.Group10@263627638;class negotiator.group12.Group12@892960133;0,76777;0,63431;0,70313
2;0,330;33;Yes;No;3;0,56917;0,80146;0,08331;0,27118;2,15671;class negotiator.group1.Group1@222710398;class negotiator.group12.Group12@936506803;class negotiator.group10.Group10@1232761753;0,80146;0,78608;0,56917
3;0,240;31;Yes;No;3;0,62678;0,81900;0,16453;0,22608;2,09190;class negotiator.group12.Group12@1710525092;class negotiator.group1.Group1@1563465668;class negotiator.group10.Group10@1196216640;0,64612;0,81900;0,62678
4;0,107;24;Yes;No;3;0,70922;0,86043;0,00000;0,09038;2,36731;class negotiator.group12.Group12@757634787;class negotiator.group10.Group10@1962912309;class negotiator.group1.Group1@1427682107;0,70922;0,79766;0,86043
