sep=;
Session;Time (s);Rounds;Agreement;Discounted;Approval;Min. utility;Max. utility;Distance to pareto;Distance to Nash;Social welfare;Agent name 1;Agent name 2;Agent name 3;Agent utility 1;Agent utility 2;Agent utility 3
1;0,033;13;Yes;No;3;0,70489;0,88529;0,00000;0,32965;2,43911;class negotiator.group1.Group1@553245036;class negotiator.group11.Group11@775824131;class negotiator.group12.Group12@704754204;0,88529;0,70489;0,84893
2;0,033;13;Yes;No;3;0,63766;0,95784;0,00000;0,53575;2,54178;class negotiator.group1.Group1@1862478136;class negotiator.group12.Group12@31440653;class negotiator.group11.Group11@1587978766;0,94628;0,95784;0,63766
3;0,007;3;Yes;No;3;0,78873;0,92352;0,00000;0,39745;2,61009;class negotiator.group12.Group12@2039507604;class negotiator.group1.Group1@254596727;class negotiator.group11.Group11@1945577288;0,89784;0,92352;0,78873
4;0,042;13;Yes;No;3;0,85582;0,88581;0,00000;0,18959;2,60043;class negotiator.group12.Group12@405429738;class negotiator.group11.Group11@1653883057;class negotiator.group1.Group1@191016442;0,85582;0,88581;0,85880
5;0,155;32;Yes;No;3;0,78854;0,95798;0,00000;0,08999;2,59016;class negotiator.group11.Group11@1105532601;class negotiator.group12.Group12@199935586;class negotiator.group1.Group1@1262198374;0,95798;0,84364;0,78854
6;0,160;24;Yes;No;3;0,75674;0,81148;0,09820;0,23221;2,34009;class negotiator.group11.Group11@1437132678;class negotiator.group1.Group1@1007776596;class negotiator.group12.Group12@1637186402;0,81148;0,75674;0,77187
1;0,085;13;Yes;No;3;0,76716;0,86935;0,00000;0,28340;2,48706;class negotiator.group1.Group1@1992954264;class negotiator.group11.Group11@1691110416;class negotiator.group12.Group12@1408243726;0,85054;0,76716;0,86935
2;0,036;11;Yes;No;3;0,65223;0,83959;0,13641;0,40905;2,30099;class negotiator.group1.Group1@427042681;class negotiator.group12.Group12@1066709790;class negotiator.group11.Group11@960414768;0,80917;0,83959;0,65223
3;0,007;3;Yes;No;3;0,78873;0,92352;0,00000;0,39745;2,61009;class negotiator.group12.Group12@1784515441;class negotiator.group1.Group1@1386886828;class negotiator.group11.Group11@1220309924;0,89784;0,92352;0,78873
4;0,075;14;Yes;No;3;0,85582;0,88581;0,00000;0,18959;2,60043;class negotiator.group12.Group12@132915655;class negotiator.group11.Group11@32253000;class negotiator.group1.Group1@49311119;0,85582;0,88581;0,85880
5;0,244;42;Yes;No;3;0,68588;0,83448;0,12673;0,25663;2,25476;class negotiator.group11.Group11@695869222;class negotiator.group12.Group12@1342108119;class negotiator.group1.Group1@793788932;0,83448;0,68588;0,73440
6;0,110;22;Yes;No;3;0,79041;0,86954;0,00000;0,26064;2,50698;class negotiator.group11.Group11@776855156;class negotiator.group1.Group1@1471641524;class negotiator.group12.Group12@1879000284;0,79041;0,84703;0,86954
1;0,038;13;Yes;No;3;0,76716;0,86935;0,00000;0,28340;2,48706;class negotiator.group1.Group1@1116891973;class negotiator.group11.Group11@40674077;class negotiator.group12.Group12@1854570035;0,85054;0,76716;0,86935
2;0,022;9;Yes;No;3;0,78873;0,92352;0,00000;0,39745;2,61009;class negotiator.group1.Group1@2076581530;class negotiator.group12.Group12@719297252;class negotiator.group11.Group11@1305260265;0,89784;0,92352;0,78873
3;0,009;3;Yes;No;3;0,78873;0,92352;0,00000;0,39745;2,61009;class negotiator.group12.Group12@1879716997;class negotiator.group1.Group1@997443280;class negotiator.group11.Group11@1831695328;0,89784;0,92352;0,78873
4;0,030;7;Yes;No;3;0,85582;0,88581;0,00000;0,18959;2,60043;class negotiator.group12.Group12@1171180884;class negotiator.group11.Group11@1682007924;class negotiator.group1.Group1@1101101162;0,85582;0,88581;0,85880
5;0,138;19;Yes;No;3;0,76716;0,86935;0,00000;0,24113;2,48706;class negotiator.group11.Group11@1192604109;class negotiator.group12.Group12@1946316822;class negotiator.group1.Group1@462934821;0,85054;0,76716;0,86935
6;0,181;29;Yes;No;3;0,64285;0,84618;0,14745;0,18925;2,29016;class negotiator.group11.Group11@1371511317;class negotiator.group1.Group1@1003409974;class negotiator.group12.Group12@1554745241;0,84618;0,80114;0,64285
1;0,049;14;Yes;No;3;0,76716;0,86935;0,00000;0,28340;2,48706;class negotiator.group1.Group1@2030074322;class negotiator.group11.Group11@1422015445;class negotiator.group12.Group12@424676377;0,85054;0,76716;0,86935
2;0,017;6;Yes;No;3;0,63766;0,95784;0,00000;0,53575;2,54178;class negotiator.group1.Group1@432523237;class negotiator.group12.Group12@1676932070;class negotiator.group11.Group11@648704222;0,94628;0,95784;0,63766
3;0,006;3;Yes;No;3;0,78873;0,92352;0,00000;0,39745;2,61009;class negotiator.group12.Group12@1065582806;class negotiator.group1.Group1@417108012;class negotiator.group11.Group11@1682713618;0,89784;0,92352;0,78873
4;0,025;12;Yes;No;3;0,85582;0,88581;0,00000;0,18959;2,60043;class negotiator.group12.Group12@286624965;class negotiator.group11.Group11@850606849;class negotiator.group1.Group1@1318228107;0,85582;0,88581;0,85880
5;0,177;36;Yes;No;3;0,79928;0,89256;0,00000;0,15467;2,49672;class negotiator.group11.Group11@1270548983;class negotiator.group12.Group12@1987434465;class negotiator.group1.Group1@1572180253;0,89256;0,80487;0,79928
6;0,036;13;Yes;No;3;0,85582;0,88581;0,00000;0,20125;2,60043;class negotiator.group11.Group11@125388008;class negotiator.group1.Group1@337514817;class negotiator.group12.Group12@1284245244;0,85582;0,88581;0,85880
1;0,041;13;Yes;No;3;0,76716;0,86935;0,00000;0,28340;2,48706;class negotiator.group1.Group1@1027623689;class negotiator.group11.Group11@1884489293;class negotiator.group12.Group12@337876255;0,85054;0,76716;0,86935
2;0,033;13;Yes;No;3;0,68603;0,97096;0,07373;0,45678;2,47885;class negotiator.group1.Group1@951372417;class negotiator.group12.Group12@118740637;class negotiator.group11.Group11@1864026460;0,97096;0,82186;0,68603
3;0,007;3;Yes;No;3;0,78873;0,92352;0,00000;0,39745;2,61009;class negotiator.group12.Group12@1738093261;class negotiator.group1.Group1@2045185149;class negotiator.group11.Group11@1616485090;0,89784;0,92352;0,78873
4;0,071;18;Yes;No;3;0,74838;0,93961;0,00000;0,31497;2,49732;class negotiator.group12.Group12@1496379292;class negotiator.group11.Group11@1997648173;class negotiator.group1.Group1@919920470;0,74838;0,80932;0,93961
5;0,157;32;Yes;No;3;0,74538;0,86352;0,07373;0,19863;2,37574;class negotiator.group11.Group11@452386276;class negotiator.group12.Group12@1147440425;class negotiator.group1.Group1@1040630865;0,86352;0,74538;0,76684
6;0,156;28;Yes;No;3;0,70335;0,77641;0,15987;0,32934;2,23032;class negotiator.group11.Group11@783848104;class negotiator.group1.Group1@42824550;class negotiator.group12.Group12@1658895323;0,70335;0,75056;0,77641
1;0,070;13;Yes;No;3;0,76716;0,86935;0,00000;0,28340;2,48706;class negotiator.group1.Group1@1783422874;class negotiator.group11.Group11@9125289;class negotiator.group12.Group12@1777625245;0,85054;0,76716;0,86935
2;0,024;8;Yes;No;3;0,64734;0,86792;0,09890;0,44021;2,36601;class negotiator.group1.Group1@246233115;class negotiator.group12.Group12@43091547;class negotiator.group11.Group11@1538164181;0,86792;0,85075;0,64734
3;0,006;3;Yes;No;3;0,78873;0,92352;0,00000;0,39745;2,61009;class negotiator.group12.Group12@299151037;class negotiator.group1.Group1@1994269052;class negotiator.group11.Group11@2020856482;0,89784;0,92352;0,78873
