sep=;
Session;Time (s);Rounds;Agreement;Discounted;Approval;Min. utility;Max. utility;Distance to pareto;Distance to Nash;Social welfare;Agent name 1;Agent name 2;Agent name 3;Agent utility 1;Agent utility 2;Agent utility 3
1;0,089;34;Yes;No;3;0,64337;0,79678;0,00000;0,20312;2,13182;class negotiator.group6.Group6@1104442805;class negotiator.group8.Group8@1326679039;class negotiator.group12.Group12@1261182661;0,79678;0,69167;0,64337
2;0,080;39;Yes;No;3;0,46056;0,81086;0,00000;0,38425;1,99036;class negotiator.group6.Group6@237930948;class negotiator.group12.Group12@1823816809;class negotiator.group8.Group8@1072318075;0,81086;0,71894;0,46056
3;0,105;36;Yes;No;3;0,56765;0,84700;0,03036;0,32572;2,01571;class negotiator.group12.Group12@345746805;class negotiator.group6.Group6@1845589643;class negotiator.group8.Group8@731011414;0,56765;0,84700;0,60106
4;0,090;28;Yes;No;3;0,65161;0,81582;0,03668;0,07688;2,15050;class negotiator.group12.Group12@1176898497;class negotiator.group8.Group8@262137461;class negotiator.group6.Group6@1783589923;0,65161;0,68306;0,81582
5;0,178;40;Yes;No;3;0,53028;0,93076;0,00000;0,18386;2,15663;class negotiator.group8.Group8@1395572949;class negotiator.group12.Group12@631284082;class negotiator.group6.Group6@1434208253;0,69558;0,53028;0,93076
6;0,097;31;Yes;No;3;0,56111;0,73625;0,08752;0,20543;2,02111;class negotiator.group8.Group8@1153636101;class negotiator.group6.Group6@1632522016;class negotiator.group12.Group12@1103485258;0,56111;0,73625;0,72375
1;0,070;28;Yes;No;3;0,63675;0,85799;0,00000;0,22039;2,15793;class negotiator.group6.Group6@1982938400;class negotiator.group8.Group8@714500060;class negotiator.group12.Group12@967973601;0,85799;0,63675;0,66320
2;0,058;36;Yes;No;3;0,57413;0,89343;0,00000;0,31217;2,10453;class negotiator.group6.Group6@1456642836;class negotiator.group12.Group12@695563475;class negotiator.group8.Group8@809787046;0,89343;0,63697;0,57413
3;0,116;36;Yes;No;3;0,56765;0,84700;0,03036;0,32572;2,01571;class negotiator.group12.Group12@428359517;class negotiator.group6.Group6@1530924355;class negotiator.group8.Group8@1494296852;0,56765;0,84700;0,60106
4;0,077;28;Yes;No;3;0,65161;0,81582;0,03668;0,07688;2,15050;class negotiator.group12.Group12@1261633022;class negotiator.group8.Group8@320356626;class negotiator.group6.Group6@1223257127;0,65161;0,68306;0,81582
5;0,080;32;Yes;No;3;0,60611;0,84959;0,00000;0,07950;2,19199;class negotiator.group8.Group8@408991143;class negotiator.group12.Group12@1155626584;class negotiator.group6.Group6@362852103;0,73629;0,60611;0,84959
6;0,081;31;Yes;No;3;0,56111;0,73625;0,08752;0,20543;2,02111;class negotiator.group8.Group8@371941824;class negotiator.group6.Group6@192623407;class negotiator.group12.Group12@1156044718;0,56111;0,73625;0,72375
1;0,080;34;Yes;No;3;0,59582;0,79798;0,00000;0,24948;2,09992;class negotiator.group6.Group6@1420787874;class negotiator.group8.Group8@424136342;class negotiator.group12.Group12@1266119898;0,79798;0,70612;0,59582
2;0,071;39;Yes;No;3;0,49116;0,82315;0,04088;0,35621;1,98428;class negotiator.group6.Group6@836206781;class negotiator.group12.Group12@425045173;class negotiator.group8.Group8@1052897911;0,82315;0,66997;0,49116
3;0,155;36;Yes;No;3;0,56765;0,84700;0,03036;0,32572;2,01571;class negotiator.group12.Group12@1323335889;class negotiator.group6.Group6@1128211416;class negotiator.group8.Group8@2000359182;0,56765;0,84700;0,60106
4;0,059;28;Yes;No;3;0,65161;0,81582;0,03668;0,07688;2,15050;class negotiator.group12.Group12@1180174804;class negotiator.group8.Group8@208994246;class negotiator.group6.Group6@913259635;0,65161;0,68306;0,81582
5;0,086;40;Yes;No;3;0,53028;0,93076;0,00000;0,18386;2,15663;class negotiator.group8.Group8@419628751;class negotiator.group12.Group12@521386642;class negotiator.group6.Group6@875756665;0,69558;0,53028;0,93076
6;0,066;31;Yes;No;3;0,56111;0,73625;0,08752;0,20543;2,02111;class negotiator.group8.Group8@2079441448;class negotiator.group6.Group6@2059769575;class negotiator.group12.Group12@2021680135;0,56111;0,73625;0,72375
1;0,054;32;Yes;No;3;0,57935;0,88067;0,00000;0,21725;2,18161;class negotiator.group6.Group6@1534234202;class negotiator.group8.Group8@786950046;class negotiator.group12.Group12@2017672715;0,88067;0,57935;0,72160
2;0,053;35;Yes;No;3;0,58634;0,82552;0,01363;0,26656;2,09012;class negotiator.group6.Group6@60349784;class negotiator.group12.Group12@1280807727;class negotiator.group8.Group8@1570592300;0,82552;0,67827;0,58634
3;0,116;36;Yes;No;3;0,56765;0,84700;0,03036;0,32572;2,01571;class negotiator.group12.Group12@1020233970;class negotiator.group6.Group6@2046357550;class negotiator.group8.Group8@164022997;0,56765;0,84700;0,60106
