sep=;
Session;Time (s);Rounds;Agreement;Discounted;Approval;Min. utility;Max. utility;Distance to pareto;Distance to Nash;Social welfare;Agent name 1;Agent name 2;Agent name 3;Agent utility 1;Agent utility 2;Agent utility 3
1;1.102;48;Yes;No;3;0.55784;0.75673;0.07067;0.11358;2.04434;class negotiator.group10.Group10@489517981;class negotiator.group11.Group11@318855010;class negotiator.group12.Group12@1024453805;0.55784;0.75673;0.72977
2;0.210;27;Yes;No;3;0.62678;0.71002;0.08319;0.38283;1.98180;class negotiator.group10.Group10@379542900;class negotiator.group12.Group12@951088710;class negotiator.group11.Group11@1227164349;0.64500;0.71002;0.62678
3;0.866;49;Yes;No;3;0.50352;0.83996;0.01861;0.70160;2.14625;class negotiator.group12.Group12@747068099;class negotiator.group10.Group10@1784139531;class negotiator.group11.Group11@718934456;0.83996;0.50352;0.80276
4;0.060;15;Yes;No;3;0.57903;0.80590;0.03853;0.34256;2.08863;class negotiator.group12.Group12@1911622318;class negotiator.group11.Group11@133455859;class negotiator.group10.Group10@1019694745;0.80590;0.57903;0.70370
5;1.084;49;Yes;No;3;0.53724;0.84898;0.04924;0.34518;2.03462;class negotiator.group11.Group11@726944528;class negotiator.group12.Group12@722214313;class negotiator.group10.Group10@678385747;0.53724;0.84898;0.64840
6;0.091;23;Yes;No;3;0.48950;0.82795;0.00000;0.39579;2.08882;class negotiator.group11.Group11@138852110;class negotiator.group10.Group10@1520172128;class negotiator.group12.Group12@920006937;0.48950;0.82795;0.77137
1;0.839;48;Yes;No;3;0.58257;0.77885;0.06177;0.16682;2.00084;class negotiator.group10.Group10@484303972;class negotiator.group11.Group11@733835274;class negotiator.group12.Group12@570865397;0.58257;0.77885;0.63942
2;0.174;21;Yes;No;3;0.64130;0.75400;0.00000;0.45305;2.11975;class negotiator.group10.Group10@963946554;class negotiator.group12.Group12@433100110;class negotiator.group11.Group11@1291469087;0.75400;0.72445;0.64130
3;0.803;47;Yes;No;3;0.58121;0.89585;0.00000;0.49289;2.15183;class negotiator.group12.Group12@274033097;class negotiator.group10.Group10@1469322111;class negotiator.group11.Group11@982262724;0.58121;0.67477;0.89585
4;0.244;30;Yes;No;3;0.65281;0.76828;0.03911;0.43325;2.11860;class negotiator.group12.Group12@1873412572;class negotiator.group11.Group11@39865290;class negotiator.group10.Group10@1031166;0.65281;0.69751;0.76828
5;1.047;49;Yes;No;3;0.49415;0.95090;0.00000;0.46995;1.99568;class negotiator.group11.Group11@1736720334;class negotiator.group12.Group12@460923514;class negotiator.group10.Group10@767985069;0.49415;0.95090;0.55063
6;0.117;23;Yes;No;3;0.48950;0.82795;0.00000;0.39579;2.08882;class negotiator.group11.Group11@914358580;class negotiator.group10.Group10@231676128;class negotiator.group12.Group12@392831285;0.48950;0.82795;0.77137
1;0.917;48;Yes;No;3;0.59723;0.76519;0.05668;0.07544;2.10060;class negotiator.group10.Group10@85616781;class negotiator.group11.Group11@147194777;class negotiator.group12.Group12@1455695;0.59723;0.73817;0.76519
2;0.226;23;Yes;No;3;0.59977;0.75938;0.00000;0.40033;2.07899;class negotiator.group10.Group10@2091695517;class negotiator.group12.Group12@819252829;class negotiator.group11.Group11@1664636086;0.71984;0.75938;0.59977
3;0.931;48;Yes;No;3;0.64545;0.74450;0.00000;0.44272;2.12032;class negotiator.group12.Group12@213694036;class negotiator.group10.Group10@963005268;class negotiator.group11.Group11@1792775484;0.74450;0.73037;0.64545
4;0.052;14;Yes;No;3;0.53037;0.86252;0.00000;0.50743;2.19583;class negotiator.group12.Group12@1210802028;class negotiator.group11.Group11@394645624;class negotiator.group10.Group10@1379500632;0.80294;0.53037;0.86252
5;0.880;49;Yes;No;3;0.58425;0.78001;0.00000;0.22113;2.07182;class negotiator.group11.Group11@1836703394;class negotiator.group12.Group12@1544000980;class negotiator.group10.Group10@1979564159;0.70756;0.78001;0.58425
6;0.112;24;Yes;No;3;0.59160;0.75244;0.05662;0.36528;2.09249;class negotiator.group11.Group11@691934088;class negotiator.group10.Group10@712268511;class negotiator.group12.Group12@1023015999;0.59160;0.75244;0.74845
1;0.834;49;Yes;No;3;0.53555;1.00000;0.00000;0.49580;2.08890;class negotiator.group10.Group10@1322163741;class negotiator.group11.Group11@1592699478;class negotiator.group12.Group12@116466891;1.00000;0.55334;0.53555
2;0.168;27;Yes;No;3;0.66678;0.78637;0.02746;0.46685;2.13455;class negotiator.group10.Group10@977673013;class negotiator.group12.Group12@1352946294;class negotiator.group11.Group11@1411508822;0.66678;0.68140;0.78637
3;0.905;50;Yes;No;3;0.43108;0.86125;0.07444;0.30814;1.99934;class negotiator.group12.Group12@1459956675;class negotiator.group10.Group10@343686103;class negotiator.group11.Group11@1748806338;0.43108;0.86125;0.70701
4;0.090;21;Yes;No;3;0.57948;0.77790;0.05754;0.35260;2.06632;class negotiator.group12.Group12@1611543359;class negotiator.group11.Group11@1145478749;class negotiator.group10.Group10@2017922735;0.77790;0.57948;0.70894
5;0.950;48;Yes;No;3;0.53889;0.84075;0.00000;0.13269;2.13795;class negotiator.group11.Group11@441755844;class negotiator.group12.Group12@739502429;class negotiator.group10.Group10@1329459014;0.84075;0.53889;0.75830
6;0.248;30;Yes;No;3;0.50622;0.91394;0.06576;0.53280;2.09528;class negotiator.group11.Group11@1969857259;class negotiator.group10.Group10@1783049861;class negotiator.group12.Group12@1732203589;0.91394;0.50622;0.67512
1;0.805;47;Yes;No;3;0.47306;0.79312;0.05647;0.46049;2.04934;class negotiator.group10.Group10@2091086247;class negotiator.group11.Group11@1316670174;class negotiator.group12.Group12@1604115730;0.79312;0.47306;0.78315
2;0.181;27;Yes;No;3;0.54432;0.83789;0.00000;0.53165;2.08044;class negotiator.group10.Group10@1683068606;class negotiator.group12.Group12@679462758;class negotiator.group11.Group11@1560022607;0.83789;0.69823;0.54432
3;0.846;50;Yes;No;3;0.43108;0.86125;0.07444;0.30814;1.99934;class negotiator.group12.Group12@1357038212;class negotiator.group10.Group10@1464897944;class negotiator.group11.Group11@1787215600;0.43108;0.86125;0.70701
4;0.103;24;Yes;No;3;0.50366;0.79011;0.07947;0.46390;2.03096;class negotiator.group12.Group12@594085836;class negotiator.group11.Group11@1149170749;class negotiator.group10.Group10@1792340972;0.73719;0.50366;0.79011
5;0.879;47;Yes;No;3;0.68607;0.80036;0.00000;0.38875;2.19251;class negotiator.group11.Group11@118654179;class negotiator.group12.Group12@1355962037;class negotiator.group10.Group10@557493895;0.80036;0.68607;0.70608
6;0.131;26;Yes;No;3;0.67174;0.74063;0.03924;0.37161;2.12614;class negotiator.group11.Group11@2071619104;class negotiator.group10.Group10@549912117;class negotiator.group12.Group12@1750817378;0.67174;0.71377;0.74063
1;0.893;49;Yes;No;3;0.55669;0.82173;0.06860;0.23602;2.06498;class negotiator.group10.Group10@1482359901;class negotiator.group11.Group11@1065067260;class negotiator.group12.Group12@1309241075;0.68656;0.55669;0.82173
