sep=;
Session;Time (s);Rounds;Agreement;Discounted;Approval;Min. utility;Max. utility;Distance to pareto;Distance to Nash;Social welfare;Agent name 1;Agent name 2;Agent name 3;Agent utility 1;Agent utility 2;Agent utility 3
1;0.251;22;Yes;No;3;0.60413;0.76750;0.05472;0.32614;2.11755;class negotiator.group1.Group1@2138131192;class negotiator.group3.Group3@1907796838;class negotiator.group12.Group12@1971921288;0.76750;0.60413;0.74592
2;0.262;34;Yes;No;3;0.66876;0.75145;0.06972;0.26542;2.16271;class negotiator.group1.Group1@1352949266;class negotiator.group12.Group12@1436565187;class negotiator.group3.Group3@1609620410;0.74250;0.66876;0.75145
3;0.227;28;Yes;No;3;0.72500;0.76571;0.07893;0.17728;2.24451;class negotiator.group12.Group12@642542610;class negotiator.group1.Group1@1424679431;class negotiator.group3.Group3@15243391;0.72500;0.76571;0.75380
4;0.133;22;Yes;No;3;0.66422;0.88716;0.00000;0.32267;2.26221;class negotiator.group12.Group12@1495056083;class negotiator.group3.Group3@485848350;class negotiator.group1.Group1@520902237;0.71083;0.66422;0.88716
5;0.103;20;Yes;No;3;0.69000;0.85225;0.00000;0.18084;2.39353;class negotiator.group3.Group3@1533222563;class negotiator.group12.Group12@1739970874;class negotiator.group1.Group1@1348406615;0.69000;0.85225;0.85128
6;0.137;15;Yes;No;3;0.72500;0.84506;0.00000;0.18156;2.38404;class negotiator.group3.Group3@765204415;class negotiator.group1.Group1@1850315433;class negotiator.group12.Group12@670890579;0.72500;0.81397;0.84506
1;0.231;26;Yes;No;3;0.75837;0.80821;0.00000;0.19343;2.36742;class negotiator.group1.Group1@266436174;class negotiator.group3.Group3@1116582370;class negotiator.group12.Group12@1626587072;0.80083;0.75837;0.80821
2;0.112;21;Yes;No;3;0.75837;0.80821;0.00000;0.19343;2.36742;class negotiator.group1.Group1@538832879;class negotiator.group12.Group12@604698284;class negotiator.group3.Group3@187126126;0.80083;0.75837;0.80821
3;0.188;22;Yes;No;3;0.72167;0.89253;0.00000;0.07479;2.34868;class negotiator.group12.Group12@1985471093;class negotiator.group1.Group1@972691911;class negotiator.group3.Group3@1245063106;0.72167;0.89253;0.73449
4;0.263;27;Yes;No;3;0.59339;0.89363;0.03027;0.38989;2.17869;class negotiator.group12.Group12@2074850251;class negotiator.group3.Group3@841392769;class negotiator.group1.Group1@1534832931;0.69167;0.59339;0.89363
5;0.149;18;Yes;No;3;0.69000;0.85225;0.00000;0.18084;2.39353;class negotiator.group3.Group3@537429433;class negotiator.group12.Group12@110845848;class negotiator.group1.Group1@28235616;0.69000;0.85225;0.85128
6;0.171;19;Yes;No;3;0.73750;0.83346;0.00000;0.15904;2.40141;class negotiator.group3.Group3@131767519;class negotiator.group1.Group1@1671165136;class negotiator.group12.Group12@1067450532;0.73750;0.83045;0.83346
