sep=;
Session;Time (s);Rounds;Agreement;Discounted;Approval;Min. utility;Max. utility;Distance to pareto;Distance to Nash;Social welfare;Agent name 1;Agent name 2;Agent name 3;Agent utility 1;Agent utility 2;Agent utility 3
1;2.073;46;Yes;No;3;0.60989;0.88179;0.03504;0.23439;2.37346;class negotiator.group7.Group7@417374606;class negotiator.group10.Group10@1133411940;class negotiator.group12.Group12@1074526690;0.88179;0.60989;0.88179
2;2.296;46;Yes;No;3;0.51265;0.87226;0.09167;0.32469;2.25717;class negotiator.group7.Group7@1421487647;class negotiator.group12.Group12@187310254;class negotiator.group10.Group10@2059896123;0.87226;0.51265;0.87226
3;1.782;47;Yes;No;3;0.58901;0.91724;0.00000;0.34661;2.09526;class negotiator.group12.Group12@254622088;class negotiator.group7.Group7@1646008192;class negotiator.group10.Group10@575342290;0.58901;0.91724;0.58901
4;0.625;37;Yes;No;3;0.38444;1.00000;0.00000;0.50944;2.38444;class negotiator.group12.Group12@5697078;class negotiator.group10.Group10@1261509478;class negotiator.group7.Group7@83749915;1.00000;0.38444;1.00000
5;0.558;46;Yes;No;3;0.47198;0.92255;0.04769;0.38373;2.31707;class negotiator.group10.Group10@842026498;class negotiator.group12.Group12@22118156;class negotiator.group7.Group7@225176961;0.92255;0.47198;0.92255
6;2.224;47;Yes;No;3;0.54967;0.95587;0.00000;0.41080;2.05521;class negotiator.group10.Group10@334808365;class negotiator.group7.Group7@717035415;class negotiator.group12.Group12@1683476588;0.54967;0.95587;0.54967
1;1.665;44;Yes;No;3;0.51503;0.93706;0.00000;0.35244;2.38915;class negotiator.group7.Group7@1512964253;class negotiator.group10.Group10@36336044;class negotiator.group12.Group12@814535760;0.93706;0.51503;0.93706
2;2.041;45;Yes;No;3;0.53896;0.93443;0.00000;0.32943;2.40783;class negotiator.group7.Group7@783536661;class negotiator.group12.Group12@530938023;class negotiator.group10.Group10@680799276;0.93443;0.53896;0.93443
3;1.709;48;Yes;No;3;0.62650;0.90803;0.00000;0.23468;2.44256;class negotiator.group12.Group12@2062902396;class negotiator.group7.Group7@77088757;class negotiator.group10.Group10@698099758;0.90803;0.62650;0.90803
4;1.323;48;Yes;No;3;0.67062;0.69469;0.23023;0.24560;2.06000;class negotiator.group12.Group12@1674672602;class negotiator.group10.Group10@1301744232;class negotiator.group7.Group7@1999395235;0.69469;0.67062;0.69469
5;0.626;46;Yes;No;3;0.56791;0.86875;0.07313;0.26962;2.30541;class negotiator.group10.Group10@1144400031;class negotiator.group12.Group12@1067778485;class negotiator.group7.Group7@1779643063;0.86875;0.56791;0.86875
6;2.295;46;Yes;No;3;0.63434;0.83042;0.10793;0.27154;2.09911;class negotiator.group10.Group10@771724674;class negotiator.group7.Group7@1722851685;class negotiator.group12.Group12@1446257294;0.63434;0.83042;0.63434
1;2.198;46;Yes;No;3;0.79862;0.83006;0.03923;0.03923;2.42730;class negotiator.group7.Group7@107445688;class negotiator.group10.Group10@1953414736;class negotiator.group12.Group12@311472616;0.79862;0.83006;0.79862
2;2.461;46;Yes;No;3;0.61168;0.85995;0.06130;0.22419;2.33158;class negotiator.group7.Group7@1623432115;class negotiator.group12.Group12@1243821670;class negotiator.group10.Group10@1304987792;0.85995;0.61168;0.85995
3;1.856;45;Yes;No;3;0.75048;0.91246;0.00000;0.13486;2.41342;class negotiator.group12.Group12@1570301235;class negotiator.group7.Group7@1626318662;class negotiator.group10.Group10@365893218;0.75048;0.91246;0.75048
4;0.890;39;Yes;No;3;0.38444;1.00000;0.00000;0.50944;2.38444;class negotiator.group12.Group12@430791485;class negotiator.group10.Group10@1145114358;class negotiator.group7.Group7@188570492;1.00000;0.38444;1.00000
5;0.533;47;Yes;No;3;0.51488;0.84013;0.13297;0.31650;2.19514;class negotiator.group10.Group10@913790426;class negotiator.group12.Group12@1420130085;class negotiator.group7.Group7@993085837;0.84013;0.51488;0.84013
6;3.035;47;Yes;No;3;0.56337;0.86977;0.05163;0.37395;1.99651;class negotiator.group10.Group10@149694054;class negotiator.group7.Group7@1204614941;class negotiator.group12.Group12@1634973118;0.56337;0.86977;0.56337
1;2.190;47;Yes;No;3;0.60055;0.83672;0.09598;0.23070;2.27399;class negotiator.group7.Group7@693994087;class negotiator.group10.Group10@974933352;class negotiator.group12.Group12@404620454;0.83672;0.60055;0.83672
2;2.995;47;Yes;No;3;0.51503;0.88601;0.07219;0.32683;2.28705;class negotiator.group7.Group7@1287912545;class negotiator.group12.Group12@1458465702;class negotiator.group10.Group10@1054706656;0.88601;0.51503;0.88601
3;2.015;45;Yes;No;3;0.78701;0.86941;0.00594;0.06773;2.44344;class negotiator.group12.Group12@1859203454;class negotiator.group7.Group7@1745387528;class negotiator.group10.Group10@101565076;0.78701;0.86941;0.78701
4;0.808;39;Yes;No;3;0.38444;1.00000;0.00000;0.50944;2.38444;class negotiator.group12.Group12@1521514407;class negotiator.group10.Group10@2004853620;class negotiator.group7.Group7@1556369910;1.00000;0.38444;1.00000
5;0.514;44;Yes;No;3;0.53896;0.93443;0.00000;0.32943;2.40783;class negotiator.group10.Group10@632479134;class negotiator.group12.Group12@32752488;class negotiator.group7.Group7@715252184;0.93443;0.53896;0.93443
6;2.034;46;Yes;No;3;0.65195;0.78665;0.15804;0.25056;2.09055;class negotiator.group10.Group10@410087111;class negotiator.group7.Group7@1059051354;class negotiator.group12.Group12@1131640342;0.65195;0.78665;0.65195
1;1.913;47;Yes;No;3;0.68008;0.71568;0.22053;0.23673;2.07584;class negotiator.group7.Group7@921006398;class negotiator.group10.Group10@292403610;class negotiator.group12.Group12@984888934;0.68008;0.71568;0.68008
2;2.212;47;Yes;No;3;0.47198;0.92255;0.04769;0.38373;2.31707;class negotiator.group7.Group7@480261125;class negotiator.group12.Group12@1505182449;class negotiator.group10.Group10@244058683;0.92255;0.47198;0.92255
3;1.435;47;Yes;No;3;0.77298;0.78259;0.08804;0.08955;2.32855;class negotiator.group12.Group12@2111158339;class negotiator.group7.Group7@1513387839;class negotiator.group10.Group10@713095005;0.77298;0.78259;0.77298
4;0.337;32;Yes;No;3;0.38444;1.00000;0.00000;0.50944;2.38444;class negotiator.group12.Group12@31865901;class negotiator.group10.Group10@846770004;class negotiator.group7.Group7@289328559;1.00000;0.38444;1.00000
5;0.530;46;Yes;No;3;0.62358;0.84536;0.07879;0.20893;2.31431;class negotiator.group10.Group10@177970151;class negotiator.group12.Group12@1847091233;class negotiator.group7.Group7@38751999;0.84536;0.62358;0.84536
6;2.048;46;Yes;No;3;0.65195;0.78665;0.15804;0.25056;2.09055;class negotiator.group10.Group10@489161998;class negotiator.group7.Group7@778299670;class negotiator.group12.Group12@559659813;0.65195;0.78665;0.65195
1;1.862;47;Yes;No;3;0.70818;0.83216;0.03468;0.12287;2.37249;class negotiator.group7.Group7@1211054196;class negotiator.group10.Group10@337865906;class negotiator.group12.Group12@565519474;0.83216;0.70818;0.83216
2;2.441;51;Yes;No;3;0.44848;0.56067;0.47001;0.53603;1.56981;class negotiator.group7.Group7@1010831945;class negotiator.group12.Group12@309368198;class negotiator.group10.Group10@493394399;0.56067;0.44848;0.56067
3;1.607;47;Yes;No;3;0.69111;0.71967;0.20797;0.22119;2.10189;class negotiator.group12.Group12@1998124048;class negotiator.group7.Group7@121602950;class negotiator.group10.Group10@1523832353;0.69111;0.71967;0.69111
4;0.623;37;Yes;No;3;0.38444;1.00000;0.00000;0.50944;2.38444;class negotiator.group12.Group12@1723436761;class negotiator.group10.Group10@542211391;class negotiator.group7.Group7@1173734316;1.00000;0.38444;1.00000
5;0.364;46;Yes;No;3;0.51707;0.88339;0.07544;0.32391;2.28385;class negotiator.group10.Group10@931991544;class negotiator.group12.Group12@236158790;class negotiator.group7.Group7@571003874;0.88339;0.51707;0.88339
6;2.064;46;Yes;No;3;0.65195;0.78665;0.15804;0.25056;2.09055;class negotiator.group10.Group10@1079381888;class negotiator.group7.Group7@1377025407;class negotiator.group12.Group12@234751730;0.65195;0.78665;0.65195
1;1.934;48;Yes;No;3;0.66788;0.70854;0.23501;0.25528;2.04430;class negotiator.group7.Group7@1459131211;class negotiator.group10.Group10@1502498184;class negotiator.group12.Group12@226773415;0.66788;0.70854;0.66788
2;2.108;46;Yes;No;3;0.60654;0.77696;0.15817;0.23487;2.16046;class negotiator.group7.Group7@1005720806;class negotiator.group12.Group12@305800905;class negotiator.group10.Group10@667443064;0.77696;0.60654;0.77696
3;1.439;45;Yes;No;3;0.78701;0.86941;0.00594;0.06773;2.44344;class negotiator.group12.Group12@864461884;class negotiator.group7.Group7@1284012433;class negotiator.group10.Group10@333792728;0.78701;0.86941;0.78701
4;1.368;49;Yes;No;3;0.65330;0.68098;0.25533;0.27160;2.01525;class negotiator.group12.Group12@183993983;class negotiator.group10.Group10@10420601;class negotiator.group7.Group7@1192865600;0.68098;0.65330;0.68098
5;0.518;46;Yes;No;3;0.55678;0.84552;0.10779;0.27534;2.24783;class negotiator.group10.Group10@789429193;class negotiator.group12.Group12@782475585;class negotiator.group7.Group7@2024786514;0.84552;0.55678;0.84552
6;2.196;47;Yes;No;3;0.66827;0.67662;0.26055;0.27156;2.01317;class negotiator.group10.Group10@336127067;class negotiator.group7.Group7@1405623459;class negotiator.group12.Group12@1993358413;0.66827;0.67662;0.66827
1;1.791;46;Yes;No;3;0.62064;0.80751;0.11966;0.21182;2.23566;class negotiator.group7.Group7@1831123902;class negotiator.group10.Group10@111275757;class negotiator.group12.Group12@1900875009;0.80751;0.62064;0.80751
2;1.999;45;Yes;No;3;0.51488;0.84013;0.13297;0.31650;2.19514;class negotiator.group7.Group7@1796305029;class negotiator.group12.Group12@1173512877;class negotiator.group10.Group10@741109691;0.84013;0.51488;0.84013
3;1.362;44;Yes;No;3;0.75048;0.91246;0.00000;0.13486;2.41342;class negotiator.group12.Group12@848371944;class negotiator.group7.Group7@1443330375;class negotiator.group10.Group10@78336113;0.75048;0.91246;0.75048
4;1.290;48;Yes;No;3;0.62100;0.69429;0.24813;0.28088;2.00957;class negotiator.group12.Group12@432127701;class negotiator.group10.Group10@2128060200;class negotiator.group7.Group7@2115124262;0.69429;0.62100;0.69429
5;0.253;46;Yes;No;3;0.55570;0.89510;0.04657;0.29175;2.34589;class negotiator.group10.Group10@1376429240;class negotiator.group12.Group12@952391196;class negotiator.group7.Group7@1643210081;0.89510;0.55570;0.89510
6;2.173;47;Yes;No;3;0.56337;0.86977;0.05163;0.37395;1.99651;class negotiator.group10.Group10@844460256;class negotiator.group7.Group7@124099569;class negotiator.group12.Group12@534834946;0.56337;0.86977;0.56337
1;1.984;48;Yes;No;3;0.65457;0.76272;0.18021;0.25229;2.07187;class negotiator.group7.Group7@1490170648;class negotiator.group10.Group10@1343789622;class negotiator.group12.Group12@2134145102;0.65457;0.76272;0.65457
