sep=;
Session;Time (s);Rounds;Agreement;Discounted;Approval;Min. utility;Max. utility;Distance to pareto;Distance to Nash;Social welfare;Agent name 1;Agent name 2;Agent name 3;Agent utility 1;Agent utility 2;Agent utility 3
1;0.639;45;Yes;No;3;0.66513;0.86869;0.03468;0.53674;2.40251;class negotiator.group7.Group7@1552778501;class negotiator.group11.Group11@1380610276;class negotiator.group12.Group12@1450569333;0.86869;0.66513;0.86869
2;0.871;43;Yes;No;3;0.51503;0.93706;0.00000;0.15804;2.38915;class negotiator.group7.Group7@326597343;class negotiator.group12.Group12@602038297;class negotiator.group11.Group11@581888465;0.93706;0.51503;0.93706
3;0.659;48;Yes;No;3;0.58944;0.87788;0.05382;0.17922;2.34521;class negotiator.group12.Group12@1540468151;class negotiator.group7.Group7@1935181200;class negotiator.group11.Group11@1124778314;0.87788;0.58944;0.87788
4;0.017;8;Yes;No;3;0.29797;0.96803;0.09757;1.13619;2.23404;class negotiator.group12.Group12@381638811;class negotiator.group11.Group11@1087759342;class negotiator.group7.Group7@1997970017;0.96803;0.29797;0.96803
5;0.413;48;Yes;No;3;0.52414;0.88635;0.06959;0.13396;2.29685;class negotiator.group11.Group11@1652757848;class negotiator.group12.Group12@244638227;class negotiator.group7.Group7@1639037628;0.88635;0.52414;0.88635
6;0.900;44;Yes;No;3;0.75048;0.91246;0.00000;0.63508;2.41342;class negotiator.group11.Group11@574091641;class negotiator.group7.Group7@1482955186;class negotiator.group12.Group12@1900674263;0.75048;0.91246;0.75048
1;0.891;45;Yes;No;3;0.66513;0.86869;0.03468;0.53674;2.40251;class negotiator.group7.Group7@490851352;class negotiator.group11.Group11@14699248;class negotiator.group12.Group12@2024893143;0.86869;0.66513;0.86869
2;1.248;43;Yes;No;3;0.51503;0.93706;0.00000;0.15804;2.38915;class negotiator.group7.Group7@1176542802;class negotiator.group12.Group12@1427286914;class negotiator.group11.Group11@1470614554;0.93706;0.51503;0.93706
3;0.708;49;Yes;No;3;0.42892;0.89971;0.10101;0.11301;2.22835;class negotiator.group12.Group12@607380459;class negotiator.group7.Group7@1713580849;class negotiator.group11.Group11@640537292;0.89971;0.42892;0.89971
4;0.014;6;Yes;No;3;0.40561;0.96346;0.03504;1.06766;2.33253;class negotiator.group12.Group12@1325600015;class negotiator.group11.Group11@1947501503;class negotiator.group7.Group7@185681071;0.96346;0.40561;0.96346
5;0.395;48;Yes;No;3;0.51503;0.93706;0.00000;0.06726;2.38915;class negotiator.group11.Group11@1138908339;class negotiator.group12.Group12@341727925;class negotiator.group7.Group7@1141320442;0.93706;0.51503;0.93706
6;0.913;42;Yes;No;3;0.53714;0.95659;0.00000;0.86939;2.03086;class negotiator.group11.Group11@1160915689;class negotiator.group7.Group7@350544184;class negotiator.group12.Group12@1921616611;0.53714;0.95659;0.53714
1;0.548;45;Yes;No;3;0.66513;0.86869;0.03468;0.53674;2.40251;class negotiator.group7.Group7@262418098;class negotiator.group11.Group11@1528113357;class negotiator.group12.Group12@1749811126;0.86869;0.66513;0.86869
2;0.927;43;Yes;No;3;0.51503;0.93706;0.00000;0.15804;2.38915;class negotiator.group7.Group7@1454096078;class negotiator.group12.Group12@2018827031;class negotiator.group11.Group11@175490960;0.93706;0.51503;0.93706
3;0.624;48;Yes;No;3;0.58944;0.87788;0.05382;0.17922;2.34521;class negotiator.group12.Group12@1039417127;class negotiator.group7.Group7@916630425;class negotiator.group11.Group11@1760576057;0.87788;0.58944;0.87788
4;0.009;6;Yes;No;3;0.42892;0.95076;0.04475;1.03980;2.33045;class negotiator.group12.Group12@1351373395;class negotiator.group11.Group11@1934742968;class negotiator.group7.Group7@433758305;0.95076;0.42892;0.95076
5;0.329;45;Yes;No;3;0.58201;0.89790;0.02965;0.24471;2.37781;class negotiator.group11.Group11@1072623739;class negotiator.group12.Group12@222438175;class negotiator.group7.Group7@1891883802;0.89790;0.58201;0.89790
6;0.845;44;Yes;No;3;0.75048;0.91246;0.00000;0.63508;2.41342;class negotiator.group11.Group11@1012315339;class negotiator.group7.Group7@1953752594;class negotiator.group12.Group12@1756723544;0.75048;0.91246;0.75048
1;0.551;45;Yes;No;3;0.66513;0.86869;0.03468;0.53674;2.40251;class negotiator.group7.Group7@104883295;class negotiator.group11.Group11@263809200;class negotiator.group12.Group12@1687243811;0.86869;0.66513;0.86869
2;0.752;43;Yes;No;3;0.51503;0.93706;0.00000;0.15804;2.38915;class negotiator.group7.Group7@657299024;class negotiator.group12.Group12@583691382;class negotiator.group11.Group11@1718774903;0.93706;0.51503;0.93706
3;0.496;49;Yes;No;3;0.52414;0.88635;0.06959;0.13396;2.29685;class negotiator.group12.Group12@149738702;class negotiator.group7.Group7@1127763093;class negotiator.group11.Group11@845160792;0.88635;0.52414;0.88635
4;0.008;6;Yes;No;3;0.42892;0.95076;0.04475;1.03980;2.33045;class negotiator.group12.Group12@1191502519;class negotiator.group11.Group11@698352701;class negotiator.group7.Group7@687712632;0.95076;0.42892;0.95076
5;0.372;47;Yes;No;3;0.67112;0.80893;0.08148;0.30641;2.28898;class negotiator.group11.Group11@463747038;class negotiator.group12.Group12@2077585223;class negotiator.group7.Group7@1392319980;0.80893;0.67112;0.80893
6;0.866;44;Yes;No;3;0.75048;0.91246;0.00000;0.63508;2.41342;class negotiator.group11.Group11@386844834;class negotiator.group7.Group7@766383962;class negotiator.group12.Group12@2102524671;0.75048;0.91246;0.75048
1;0.506;45;Yes;No;3;0.66513;0.86869;0.03468;0.53674;2.40251;class negotiator.group7.Group7@1207536324;class negotiator.group11.Group11@651366721;class negotiator.group12.Group12@2065352198;0.86869;0.66513;0.86869
2;0.772;43;Yes;No;3;0.51503;0.93706;0.00000;0.15804;2.38915;class negotiator.group7.Group7@166616472;class negotiator.group12.Group12@46811595;class negotiator.group11.Group11@1009584586;0.93706;0.51503;0.93706
3;0.504;49;Yes;No;3;0.54567;0.89549;0.05382;0.13279;2.33664;class negotiator.group12.Group12@288015039;class negotiator.group7.Group7@1792233375;class negotiator.group11.Group11@973592351;0.89549;0.54567;0.89549
4;0.013;7;Yes;No;3;0.38444;1.00000;0.00000;1.12243;2.38444;class negotiator.group12.Group12@1857088204;class negotiator.group11.Group11@692646559;class negotiator.group7.Group7@1494740894;1.00000;0.38444;1.00000
5;0.372;45;Yes;No;3;0.63249;0.90072;0.00000;0.28503;2.43393;class negotiator.group11.Group11@1571579020;class negotiator.group12.Group12@874713983;class negotiator.group7.Group7@1519506286;0.90072;0.63249;0.90072
6;0.861;44;Yes;No;3;0.75048;0.91246;0.00000;0.63508;2.41342;class negotiator.group11.Group11@1016904893;class negotiator.group7.Group7@44705702;class negotiator.group12.Group12@784233575;0.75048;0.91246;0.75048
