sep=;
Session;Time (s);Rounds;Agreement;Discounted;Approval;Min. utility;Max. utility;Distance to pareto;Distance to Nash;Social welfare;Agent name 1;Agent name 2;Agent name 3;Agent utility 1;Agent utility 2;Agent utility 3
1;0.067;7;Yes;No;3;0.80571;0.94048;0.02816;0.09512;2.62783;class negotiator.group8.Group8@391987637;class negotiator.group10.Group10@1803869710;class negotiator.group12.Group12@1611571271;0.94048;0.80571;0.88165
2;0.189;22;Yes;No;3;0.76190;0.92587;0.06812;0.19078;2.46430;class negotiator.group8.Group8@907121039;class negotiator.group12.Group12@996892420;class negotiator.group10.Group10@103489046;0.76190;0.77652;0.92587
3;0.152;26;Yes;No;3;0.73809;0.92251;0.02816;0.17795;2.51014;class negotiator.group12.Group12@2032564527;class negotiator.group8.Group8@1289632460;class negotiator.group10.Group10@300306049;0.73809;0.84953;0.92251
4;0.121;16;Yes;No;3;0.85609;0.89335;0.02961;0.04224;2.61848;class negotiator.group12.Group12@223109642;class negotiator.group10.Group10@297305432;class negotiator.group8.Group8@1765432702;0.86905;0.89335;0.85609
5;0.146;18;Yes;No;3;0.80952;0.98195;0.00000;0.15264;2.62567;class negotiator.group10.Group10@1582037334;class negotiator.group12.Group12@1306439031;class negotiator.group8.Group8@1447987089;0.80952;0.83419;0.98195
6;1.460;36;Yes;No;3;0.56864;0.83088;0.17573;0.35215;2.14952;class negotiator.group10.Group10@461749363;class negotiator.group8.Group8@1763127330;class negotiator.group12.Group12@1901674004;0.75000;0.83088;0.56864
1;0.088;15;Yes;No;3;0.80571;0.94048;0.02816;0.09512;2.62783;class negotiator.group8.Group8@520677403;class negotiator.group10.Group10@29250696;class negotiator.group12.Group12@1990176156;0.94048;0.80571;0.88165
2;0.184;25;Yes;No;3;0.82255;0.85714;0.06812;0.09348;2.51584;class negotiator.group8.Group8@1235896101;class negotiator.group12.Group12@1243935723;class negotiator.group10.Group10@1074392916;0.85714;0.83615;0.82255
3;0.136;20;Yes;No;3;0.83423;0.90939;0.00000;0.06695;2.60076;class negotiator.group12.Group12@1419528284;class negotiator.group8.Group8@1616034665;class negotiator.group10.Group10@1468931046;0.85714;0.90939;0.83423
4;0.524;29;Yes;No;3;0.64128;0.75000;0.27258;0.35269;2.07845;class negotiator.group12.Group12@633759306;class negotiator.group10.Group10@73766822;class negotiator.group8.Group8@700913035;0.75000;0.64128;0.68717
5;0.125;14;Yes;No;3;0.80952;0.92496;0.00000;0.12032;2.54651;class negotiator.group10.Group10@693914403;class negotiator.group12.Group12@1783168011;class negotiator.group8.Group8@1570466992;0.80952;0.92496;0.81203
6;1.936;39;Yes;No;3;0.41757;0.90476;0.37004;0.47913;2.14854;class negotiator.group10.Group10@1029786170;class negotiator.group8.Group8@1045448017;class negotiator.group12.Group12@133621965;0.90476;0.41757;0.82621
1;0.108;18;Yes;No;3;0.76188;0.95559;0.00000;0.17399;2.53890;class negotiator.group8.Group8@1347965546;class negotiator.group10.Group10@1451939419;class negotiator.group12.Group12@889134272;0.82143;0.76188;0.95559
2;0.154;24;Yes;No;3;0.76190;0.88882;0.01411;0.14616;2.51536;class negotiator.group8.Group8@1076242243;class negotiator.group12.Group12@148619420;class negotiator.group10.Group10@323110479;0.76190;0.86463;0.88882
3;0.111;17;Yes;No;3;0.77381;0.92449;0.04224;0.16137;2.48778;class negotiator.group12.Group12@1236777759;class negotiator.group8.Group8@1029576200;class negotiator.group10.Group10@1811449521;0.77381;0.92449;0.78947
4;0.162;21;Yes;No;3;0.73809;0.92391;0.07995;0.20982;2.43668;class negotiator.group12.Group12@2051370027;class negotiator.group10.Group10@1673574851;class negotiator.group8.Group8@31712351;0.73809;0.77467;0.92391
5;0.566;29;Yes;No;3;0.67230;0.84524;0.17894;0.28162;2.22916;class negotiator.group10.Group10@1089546715;class negotiator.group12.Group12@418581036;class negotiator.group8.Group8@2082528127;0.84524;0.71162;0.67230
6;0.213;22;Yes;No;3;0.77381;0.86359;0.07132;0.14712;2.45619;class negotiator.group10.Group10@1806659349;class negotiator.group8.Group8@1252393710;class negotiator.group12.Group12@1493859723;0.77381;0.86359;0.81879
1;0.165;22;Yes;No;3;0.81920;0.90916;0.02816;0.09418;2.56168;class negotiator.group8.Group8@937132733;class negotiator.group10.Group10@744776433;class negotiator.group12.Group12@1922814715;0.83333;0.90916;0.81920
2;0.110;22;Yes;No;3;0.71429;0.88020;0.07248;0.19400;2.43890;class negotiator.group8.Group8@1331939317;class negotiator.group12.Group12@534564491;class negotiator.group10.Group10@1501304836;0.71429;0.88020;0.84441
3;0.057;11;Yes;No;3;0.72350;0.85265;0.10766;0.18085;2.39757;class negotiator.group12.Group12@2124397717;class negotiator.group8.Group8@689314597;class negotiator.group10.Group10@1783639861;0.82143;0.85265;0.72350
4;0.098;16;Yes;No;3;0.82128;0.89286;0.02816;0.08437;2.55137;class negotiator.group12.Group12@343435215;class negotiator.group10.Group10@1827099016;class negotiator.group8.Group8@1184493459;0.89286;0.82128;0.83724
5;0.217;23;Yes;No;3;0.70846;0.85242;0.09512;0.20531;2.35850;class negotiator.group10.Group10@499961615;class negotiator.group12.Group12@1898836241;class negotiator.group8.Group8@2133708067;0.79762;0.85242;0.70846
6;0.260;23;Yes;No;3;0.74538;0.99248;0.01411;0.19304;2.59500;class negotiator.group10.Group10@270084829;class negotiator.group8.Group8@1682774892;class negotiator.group12.Group12@37978854;0.85714;0.74538;0.99248
1;0.216;22;Yes;No;3;0.70238;0.81178;0.12700;0.23587;2.30695;class negotiator.group8.Group8@2082014042;class negotiator.group10.Group10@1311459676;class negotiator.group12.Group12@2078105371;0.70238;0.79279;0.81178
2;0.122;19;Yes;No;3;0.74538;0.99248;0.01411;0.19304;2.59500;class negotiator.group8.Group8@63938931;class negotiator.group12.Group12@879789817;class negotiator.group10.Group10@1202544724;0.85714;0.74538;0.99248
3;0.131;21;Yes;No;3;0.83007;0.86905;0.05480;0.08278;2.53620;class negotiator.group12.Group12@658091880;class negotiator.group8.Group8@1009445110;class negotiator.group10.Group10@623152470;0.86905;0.83708;0.83007
4;1.368;37;Yes;No;3;0.47225;0.77381;0.26427;0.44819;2.00358;class negotiator.group12.Group12@1993873407;class negotiator.group10.Group10@1695523661;class negotiator.group8.Group8@1705658384;0.77381;0.75753;0.47225
5;0.823;30;Yes;No;3;0.60569;0.75000;0.22182;0.34823;2.09846;class negotiator.group10.Group10@77400966;class negotiator.group12.Group12@1650429127;class negotiator.group8.Group8@1863552837;0.75000;0.74276;0.60569
6;0.109;15;Yes;No;3;0.81307;0.83500;0.08519;0.12125;2.46950;class negotiator.group10.Group10@1613800214;class negotiator.group8.Group8@421735088;class negotiator.group12.Group12@1405588916;0.82143;0.83500;0.81307
1;0.089;15;Yes;No;3;0.80952;0.98195;0.00000;0.15264;2.62567;class negotiator.group8.Group8@1606205013;class negotiator.group10.Group10@1618210701;class negotiator.group12.Group12@1534346099;0.80952;0.83419;0.98195
2;0.111;21;Yes;No;3;0.81307;0.83500;0.08519;0.12125;2.46950;class negotiator.group8.Group8@233121327;class negotiator.group12.Group12@1059970761;class negotiator.group10.Group10@1551728262;0.82143;0.83500;0.81307
3;0.456;30;Yes;No;3;0.62084;0.71429;0.28847;0.39536;1.99749;class negotiator.group12.Group12@1395481685;class negotiator.group8.Group8@1191770908;class negotiator.group10.Group10@513675187;0.71429;0.66236;0.62084
4;0.101;19;Yes;No;3;0.77381;0.86359;0.07132;0.14712;2.45619;class negotiator.group12.Group12@236172027;class negotiator.group10.Group10@793478133;class negotiator.group8.Group8@113533461;0.77381;0.86359;0.81879
