sep=;
Session;Time (s);Rounds;Agreement;Discounted;Approval;Min. utility;Max. utility;Distance to pareto;Distance to Nash;Social welfare;Agent name 1;Agent name 2;Agent name 3;Agent utility 1;Agent utility 2;Agent utility 3
1;0.311;149;Yes;No;3;0.62871;0.74464;0.01480;0.21433;2.11221;class negotiator.group1.Group1@1779427938;class negotiator.group2.Group2@988085844;class negotiator.group12.Group12@267737857;0.73887;0.74464;0.62871
2;0.254;129;Yes;No;3;0.64656;0.81289;0.00000;0.06536;2.23565;class negotiator.group1.Group1@1046330198;class negotiator.group12.Group12@2075536150;class negotiator.group2.Group2@1959194829;0.77620;0.64656;0.81289
3;0.277;149;Yes;No;3;0.60883;0.76053;0.06566;0.14223;2.08520;class negotiator.group12.Group12@1684893480;class negotiator.group1.Group1@1285349018;class negotiator.group2.Group2@1322940353;0.60883;0.71584;0.76053
4;0.225;158;Yes;No;3;0.64617;0.76950;0.04253;0.10478;2.11954;class negotiator.group12.Group12@1446063932;class negotiator.group2.Group2@924072025;class negotiator.group1.Group1@276789071;0.64617;0.70387;0.76950
5;0.309;146;Yes;No;3;0.55263;0.81492;0.02928;0.17447;2.12705;class negotiator.group2.Group2@1995267797;class negotiator.group12.Group12@1508716274;class negotiator.group1.Group1@1654996989;0.81492;0.55263;0.75951
6;0.247;158;Yes;No;3;0.52973;0.75360;0.03211;0.31214;1.99992;class negotiator.group2.Group2@725336973;class negotiator.group1.Group1@1621324839;class negotiator.group12.Group12@186572290;0.71658;0.75360;0.52973
1;0.291;150;Yes;No;3;0.55638;0.77995;0.01276;0.28638;2.06692;class negotiator.group1.Group1@1118757559;class negotiator.group2.Group2@1738964628;class negotiator.group12.Group12@1673550773;0.77995;0.73059;0.55638
2;0.248;136;Yes;No;3;0.68338;0.83372;0.00000;0.00000;2.24347;class negotiator.group1.Group1@1754581180;class negotiator.group12.Group12@451656;class negotiator.group2.Group2@1148531451;0.72638;0.68338;0.83372
3;0.259;145;Yes;No;3;0.59229;0.76152;0.05957;0.16513;2.10104;class negotiator.group12.Group12@1405762231;class negotiator.group1.Group1@30732123;class negotiator.group2.Group2@1118715981;0.59229;0.74722;0.76152
4;0.218;148;Yes;No;3;0.56517;0.79740;0.02617;0.20485;2.14177;class negotiator.group12.Group12@1505713294;class negotiator.group2.Group2@576036010;class negotiator.group1.Group1@580939394;0.56517;0.79740;0.77920
5;0.312;147;Yes;No;3;0.59944;0.77725;0.03668;0.10604;2.13486;class negotiator.group2.Group2@97237448;class negotiator.group12.Group12@34733169;class negotiator.group1.Group1@1792303046;0.75817;0.59944;0.77725
6;0.239;146;Yes;No;3;0.59718;0.77421;0.02259;0.24223;2.07566;class negotiator.group2.Group2@682496459;class negotiator.group1.Group1@1007827786;class negotiator.group12.Group12@1358075413;0.77421;0.70427;0.59718
1;0.278;157;Yes;No;3;0.52973;0.75360;0.03211;0.31214;1.99992;class negotiator.group1.Group1@2056509792;class negotiator.group2.Group2@10775679;class negotiator.group12.Group12@718210605;0.71658;0.75360;0.52973
2;0.239;131;Yes;No;3;0.59330;0.80894;0.02207;0.09360;2.13447;class negotiator.group1.Group1@1277569680;class negotiator.group12.Group12@1572109054;class negotiator.group2.Group2@1945561537;0.73223;0.59330;0.80894
3;0.272;141;Yes;No;3;0.56517;0.79740;0.02617;0.20485;2.14177;class negotiator.group12.Group12@32532357;class negotiator.group1.Group1@1310477761;class negotiator.group2.Group2@607445495;0.56517;0.79740;0.77920
4;0.199;134;Yes;No;3;0.59924;0.80799;0.00000;0.19414;2.16352;class negotiator.group12.Group12@897766178;class negotiator.group2.Group2@536049824;class negotiator.group1.Group1@695492803;0.59924;0.80799;0.75628
5;0.275;129;Yes;No;3;0.65508;0.81401;0.00000;0.15530;2.17776;class negotiator.group2.Group2@1063308858;class negotiator.group12.Group12@1820549719;class negotiator.group1.Group1@632124777;0.81401;0.65508;0.70867
6;0.250;147;Yes;No;3;0.64079;0.75610;0.01655;0.19676;2.10493;class negotiator.group2.Group2@1701985006;class negotiator.group1.Group1@779817802;class negotiator.group12.Group12@305100573;0.75610;0.70804;0.64079
1;0.289;160;Yes;No;3;0.55345;0.78243;0.01956;0.28602;2.02996;class negotiator.group1.Group1@121053588;class negotiator.group2.Group2@880639807;class negotiator.group12.Group12@455941125;0.78243;0.69409;0.55345
2;0.237;126;Yes;No;3;0.62814;0.83565;0.00000;0.05691;2.17661;class negotiator.group1.Group1@1412165745;class negotiator.group12.Group12@280409571;class negotiator.group2.Group2@1264538279;0.71282;0.62814;0.83565
3;0.264;131;Yes;No;3;0.67866;0.79694;0.00000;0.06361;2.17938;class negotiator.group12.Group12@1571416476;class negotiator.group1.Group1@1042821326;class negotiator.group2.Group2@1083982915;0.67866;0.70378;0.79694
4;0.261;145;Yes;No;3;0.64696;0.79306;0.00000;0.13719;2.22761;class negotiator.group12.Group12@1594477222;class negotiator.group2.Group2@2077722888;class negotiator.group1.Group1@56994749;0.64696;0.78759;0.79306
