sep=;
Session;Time (s);Rounds;Agreement;Discounted;Approval;Min. utility;Max. utility;Distance to pareto;Distance to Nash;Social welfare;Agent name 1;Agent name 2;Agent name 3;Agent utility 1;Agent utility 2;Agent utility 3
1;0.608;76;Yes;No;3;0.62667;0.89988;0.00000;0.16333;2.27219;class negotiator.group3.Group3@162548417;class negotiator.group4.Group4@352045535;class negotiator.group12.Group12@511859260;0.62667;0.89988;0.74565
2;0.648;103;Yes;No;3;0.64417;0.88090;0.02437;0.34503;2.18426;class negotiator.group3.Group3@885233974;class negotiator.group12.Group12@360694602;class negotiator.group4.Group4@1995323980;0.64417;0.65919;0.88090
3;0.670;87;Yes;No;3;0.61790;0.91791;0.00000;0.38121;2.22748;class negotiator.group12.Group12@1223056706;class negotiator.group3.Group3@200588658;class negotiator.group4.Group4@1891732863;0.69167;0.61790;0.91791
4;0.691;74;Yes;No;3;0.72926;0.91209;0.00000;0.02371;2.41385;class negotiator.group12.Group12@767919322;class negotiator.group4.Group4@43326384;class negotiator.group3.Group3@189579555;0.77250;0.91209;0.72926
5;0.813;153;Yes;No;3;0.53259;0.72493;0.15414;0.40614;1.95252;class negotiator.group4.Group4@1842952432;class negotiator.group12.Group12@1344883943;class negotiator.group3.Group3@1199045326;0.69500;0.53259;0.72493
6;0.484;103;Yes;No;3;0.50369;0.89417;0.00000;0.43877;2.10681;class negotiator.group4.Group4@1941252522;class negotiator.group3.Group3@2059572030;class negotiator.group12.Group12@2085685864;0.89417;0.50369;0.70895
1;0.782;92;Yes;No;3;0.72926;0.91209;0.00000;0.02371;2.41385;class negotiator.group3.Group3@254619506;class negotiator.group4.Group4@1602612518;class negotiator.group12.Group12@1368689352;0.77250;0.91209;0.72926
2;0.604;98;Yes;No;3;0.58417;0.91032;0.00000;0.38363;2.15901;class negotiator.group3.Group3@1652127616;class negotiator.group12.Group12@345286402;class negotiator.group4.Group4@727744220;0.58417;0.66452;0.91032
3;0.719;94;Yes;No;3;0.56763;0.91048;0.00000;0.41648;2.18561;class negotiator.group12.Group12@346581145;class negotiator.group3.Group3@1013653351;class negotiator.group4.Group4@484098606;0.70750;0.56763;0.91048
4;0.633;80;Yes;No;3;0.62363;0.95971;0.00000;0.12474;2.29251;class negotiator.group12.Group12@148745672;class negotiator.group4.Group4@297544196;class negotiator.group3.Group3@1483371956;0.70917;0.95971;0.62363
5;0.988;151;Yes;No;3;0.53259;0.72493;0.15414;0.40614;1.95252;class negotiator.group4.Group4@1032264911;class negotiator.group12.Group12@1903458711;class negotiator.group3.Group3@366666418;0.69500;0.53259;0.72493
6;0.498;109;Yes;No;3;0.48721;0.90667;0.00000;0.45811;2.09510;class negotiator.group4.Group4@143565970;class negotiator.group3.Group3@1289122209;class negotiator.group12.Group12@314452080;0.90667;0.48721;0.70122
1;0.714;98;Yes;No;3;0.72926;0.91209;0.00000;0.02371;2.41385;class negotiator.group3.Group3@86872919;class negotiator.group4.Group4@1931753320;class negotiator.group12.Group12@1320273894;0.77250;0.91209;0.72926
2;0.631;120;Yes;No;3;0.58083;0.89773;0.04337;0.40913;2.10172;class negotiator.group3.Group3@95246179;class negotiator.group12.Group12@927213438;class negotiator.group4.Group4@1534909834;0.58083;0.62316;0.89773
3;0.726;113;Yes;No;3;0.48763;0.90518;0.08560;0.49106;2.07032;class negotiator.group12.Group12@1871719537;class negotiator.group3.Group3@1649797103;class negotiator.group4.Group4@1978543704;0.67750;0.48763;0.90518
4;0.419;57;Yes;No;3;0.72926;0.91209;0.00000;0.02371;2.41385;class negotiator.group12.Group12@1680647197;class negotiator.group4.Group4@785030988;class negotiator.group3.Group3@2023771795;0.77250;0.91209;0.72926
5;0.767;147;Yes;No;3;0.56809;0.89417;0.00000;0.37689;2.16610;class negotiator.group4.Group4@1562163556;class negotiator.group12.Group12@147817470;class negotiator.group3.Group3@1877122358;0.89417;0.56809;0.70384
6;0.585;101;Yes;No;3;0.56809;0.89417;0.00000;0.37689;2.16610;class negotiator.group4.Group4@1858143525;class negotiator.group3.Group3@1111030001;class negotiator.group12.Group12@710916142;0.89417;0.56809;0.70384
1;0.644;75;Yes;No;3;0.72926;0.91209;0.00000;0.02371;2.41385;class negotiator.group3.Group3@219471869;class negotiator.group4.Group4@1434280384;class negotiator.group12.Group12@446476313;0.77250;0.91209;0.72926
2;0.655;105;Yes;No;3;0.61417;0.87971;0.00000;0.26841;2.29362;class negotiator.group3.Group3@682697678;class negotiator.group12.Group12@94748225;class negotiator.group4.Group4@1148035148;0.61417;0.79974;0.87971
3;0.682;109;Yes;No;3;0.48763;0.90518;0.08560;0.49106;2.07032;class negotiator.group12.Group12@1867067371;class negotiator.group3.Group3@770254433;class negotiator.group4.Group4@634831315;0.67750;0.48763;0.90518
4;0.454;57;Yes;No;3;0.72926;0.91209;0.00000;0.02371;2.41385;class negotiator.group12.Group12@1145580961;class negotiator.group4.Group4@1588316172;class negotiator.group3.Group3@1608170594;0.77250;0.91209;0.72926
5;0.807;151;Yes;No;3;0.53259;0.72493;0.15414;0.40614;1.95252;class negotiator.group4.Group4@871276588;class negotiator.group12.Group12@2002109270;class negotiator.group3.Group3@529236047;0.69500;0.53259;0.72493
6;0.541;118;Yes;No;3;0.44245;0.85583;0.04701;0.49127;2.01190;class negotiator.group4.Group4@504742380;class negotiator.group3.Group3@644775010;class negotiator.group12.Group12@531110308;0.85583;0.44245;0.71362
1;0.632;76;Yes;No;3;0.62667;0.89988;0.00000;0.16333;2.27219;class negotiator.group3.Group3@1017016277;class negotiator.group4.Group4@1170221066;class negotiator.group12.Group12@1250217036;0.62667;0.89988;0.74565
2;0.610;108;Yes;No;3;0.53333;0.91555;0.05472;0.42770;2.09384;class negotiator.group3.Group3@1341849920;class negotiator.group12.Group12@1745828293;class negotiator.group4.Group4@1067051490;0.53333;0.64496;0.91555
3;0.644;94;Yes;No;3;0.66422;0.88716;0.00000;0.32267;2.26221;class negotiator.group12.Group12@1237170354;class negotiator.group3.Group3@1185469424;class negotiator.group4.Group4@1978815949;0.71083;0.66422;0.88716
4;0.553;82;Yes;No;3;0.62363;0.95971;0.00000;0.12474;2.29251;class negotiator.group12.Group12@975174354;class negotiator.group4.Group4@160173774;class negotiator.group3.Group3@1243609927;0.70917;0.95971;0.62363
5;0.815;144;Yes;No;3;0.63273;0.81799;0.04701;0.31320;2.21322;class negotiator.group4.Group4@2008291152;class negotiator.group12.Group12@1348911765;class negotiator.group3.Group3@175172976;0.76250;0.63273;0.81799
6;0.683;125;Yes;No;3;0.38685;0.90667;0.03941;0.55563;1.98962;class negotiator.group4.Group4@759505701;class negotiator.group3.Group3@369518939;class negotiator.group12.Group12@2129584296;0.90667;0.38685;0.69611
1;0.622;80;Yes;No;3;0.72926;0.91209;0.00000;0.02371;2.41385;class negotiator.group3.Group3@727361241;class negotiator.group4.Group4@1283458763;class negotiator.group12.Group12@1765679273;0.77250;0.91209;0.72926
2;0.803;118;Yes;No;3;0.61790;0.91791;0.00000;0.38121;2.22748;class negotiator.group3.Group3@2089734441;class negotiator.group12.Group12@71703202;class negotiator.group4.Group4@377390047;0.69167;0.61790;0.91791
3;0.931;111;Yes;No;3;0.48763;0.90518;0.08560;0.49106;2.07032;class negotiator.group12.Group12@298279479;class negotiator.group3.Group3@956371455;class negotiator.group4.Group4@1967430037;0.67750;0.48763;0.90518
4;0.595;79;Yes;No;3;0.62363;0.95971;0.00000;0.12474;2.29251;class negotiator.group12.Group12@409390510;class negotiator.group4.Group4@88696582;class negotiator.group3.Group3@369802656;0.70917;0.95971;0.62363
5;0.800;157;Yes;No;3;0.53259;0.72493;0.15414;0.40614;1.95252;class negotiator.group4.Group4@1826260582;class negotiator.group12.Group12@2125318750;class negotiator.group3.Group3@1136730699;0.69500;0.53259;0.72493
6;0.476;102;Yes;No;3;0.65877;0.87333;0.04831;0.28679;2.20904;class negotiator.group4.Group4@58126374;class negotiator.group3.Group3@1972392080;class negotiator.group12.Group12@1436113468;0.87333;0.65877;0.67694
1;0.591;76;Yes;No;3;0.62667;0.89988;0.00000;0.16333;2.27219;class negotiator.group3.Group3@1363744531;class negotiator.group4.Group4@361368086;class negotiator.group12.Group12@429667686;0.62667;0.89988;0.74565
2;0.662;116;Yes;No;3;0.63167;0.89984;0.01533;0.37122;2.18818;class negotiator.group3.Group3@1012445442;class negotiator.group12.Group12@1657608513;class negotiator.group4.Group4@120925460;0.65667;0.63167;0.89984
3;0.847;119;Yes;No;3;0.45160;0.92202;0.03393;0.54630;1.98778;class negotiator.group12.Group12@684428083;class negotiator.group3.Group3@1260377649;class negotiator.group4.Group4@388452735;0.61417;0.45160;0.92202
4;0.850;82;Yes;No;3;0.62363;0.95971;0.00000;0.12474;2.29251;class negotiator.group12.Group12@1725619927;class negotiator.group4.Group4@727460354;class negotiator.group3.Group3@801767307;0.70917;0.95971;0.62363
5;0.813;150;Yes;No;3;0.59957;0.76750;0.09178;0.33315;2.03526;class negotiator.group4.Group4@1780737911;class negotiator.group12.Group12@1529965585;class negotiator.group3.Group3@162397917;0.76750;0.59957;0.66819
6;0.632;108;Yes;No;3;0.48721;0.90667;0.00000;0.45811;2.09510;class negotiator.group4.Group4@781975107;class negotiator.group3.Group3@55703709;class negotiator.group12.Group12@2056850718;0.90667;0.48721;0.70122
1;0.700;76;Yes;No;3;0.62667;0.89988;0.00000;0.16333;2.27219;class negotiator.group3.Group3@1101607296;class negotiator.group4.Group4@1257303085;class negotiator.group12.Group12@253863115;0.62667;0.89988;0.74565
2;0.712;104;Yes;No;3;0.61417;0.87971;0.00000;0.26841;2.29362;class negotiator.group3.Group3@467887620;class negotiator.group12.Group12@1849597673;class negotiator.group4.Group4@1362299786;0.61417;0.79974;0.87971
3;0.698;87;Yes;No;3;0.61790;0.91791;0.00000;0.38121;2.22748;class negotiator.group12.Group12@1122826436;class negotiator.group3.Group3@1405103663;class negotiator.group4.Group4@1847081629;0.69167;0.61790;0.91791
4;0.830;80;Yes;No;3;0.62363;0.95971;0.00000;0.12474;2.29251;class negotiator.group12.Group12@1870117649;class negotiator.group4.Group4@496669251;class negotiator.group3.Group3@251165668;0.70917;0.95971;0.62363
5;0.901;146;Yes;No;3;0.57713;0.81333;0.03941;0.36217;2.19094;class negotiator.group4.Group4@1567431035;class negotiator.group12.Group12@631507496;class negotiator.group3.Group3@882301798;0.81333;0.57713;0.80048
