sep=;
Session;Time (s);Rounds;Agreement;Discounted;Approval;Min. utility;Max. utility;Distance to pareto;Distance to Nash;Social welfare;Agent name 1;Agent name 2;Agent name 3;Agent utility 1;Agent utility 2;Agent utility 3
1;0.336;40;Yes;No;3;0.80952;0.92496;0.00000;0.12032;2.54651;class negotiator.group3.Group3@1074140660;class negotiator.group4.Group4@1334535938;class negotiator.group12.Group12@1226300698;0.80952;0.92496;0.81203
2;0.401;44;Yes;No;3;0.80952;0.98195;0.00000;0.15264;2.62567;class negotiator.group3.Group3@1127199922;class negotiator.group12.Group12@1895838867;class negotiator.group4.Group4@1148967130;0.80952;0.83419;0.98195
3;0.373;39;Yes;No;3;0.80952;0.98195;0.00000;0.15264;2.62567;class negotiator.group12.Group12@1727606709;class negotiator.group3.Group3@1907050723;class negotiator.group4.Group4@608069986;0.80952;0.83419;0.98195
4;0.687;86;Yes;No;3;0.86360;0.89359;0.02816;0.02816;2.63814;class negotiator.group12.Group12@1382453328;class negotiator.group4.Group4@1267506803;class negotiator.group3.Group3@2096543428;0.88095;0.89359;0.86360
5;0.270;42;Yes;No;3;0.80501;0.95238;0.01411;0.10132;2.64655;class negotiator.group4.Group4@1775943929;class negotiator.group12.Group12@414405050;class negotiator.group3.Group3@616208129;0.95238;0.80501;0.88916
6;0.116;24;Yes;No;3;0.87864;0.90476;0.00000;0.00000;2.67722;class negotiator.group4.Group4@256594638;class negotiator.group3.Group3@438917690;class negotiator.group12.Group12@283288385;0.90476;0.89382;0.87864
1;0.376;44;Yes;No;3;0.78571;0.92473;0.02816;0.14763;2.50743;class negotiator.group3.Group3@1109002657;class negotiator.group4.Group4@997083886;class negotiator.group12.Group12@1173974461;0.78571;0.92473;0.79699
2;0.316;43;Yes;No;3;0.80952;0.98195;0.00000;0.15264;2.62567;class negotiator.group3.Group3@1638287019;class negotiator.group12.Group12@1802090146;class negotiator.group4.Group4@1767210181;0.80952;0.83419;0.98195
3;0.310;41;Yes;No;3;0.80952;0.98195;0.00000;0.15264;2.62567;class negotiator.group12.Group12@1425116318;class negotiator.group3.Group3@1044841635;class negotiator.group4.Group4@679577926;0.80952;0.83419;0.98195
4;0.404;62;Yes;No;3;0.70545;0.94053;0.00000;0.22931;2.40788;class negotiator.group12.Group12@1072325469;class negotiator.group4.Group4@891391859;class negotiator.group3.Group3@777052741;0.76190;0.94053;0.70545
