sep=;
Session;Time (s);Rounds;Agreement;Discounted;Approval;Min. utility;Max. utility;Distance to pareto;Distance to Nash;Social welfare;Agent name 1;Agent name 2;Agent name 3;Agent utility 1;Agent utility 2;Agent utility 3
1;0.197;47;Yes;No;3;0.78873;0.92352;0.00000;0.08999;2.61009;class negotiator.group3.Group3@305424956;class negotiator.group4.Group4@791319162;class negotiator.group12.Group12@334929863;0.89784;0.92352;0.78873
2;0.223;88;Yes;No;3;0.74705;0.91919;0.00000;0.16787;2.44938;class negotiator.group3.Group3@563154601;class negotiator.group12.Group12@978946678;class negotiator.group4.Group4@1284597479;0.78314;0.74705;0.91919
3;0.349;79;Yes;No;3;0.74838;0.93961;0.00000;0.15467;2.49732;class negotiator.group12.Group12@1067207578;class negotiator.group3.Group3@774343702;class negotiator.group4.Group4@643698694;0.74838;0.80932;0.93961
4;0.420;87;Yes;No;3;0.78873;0.92352;0.00000;0.08999;2.61009;class negotiator.group12.Group12@1725385781;class negotiator.group4.Group4@1087135826;class negotiator.group3.Group3@700958906;0.89784;0.92352;0.78873
5;0.346;87;Yes;No;3;0.78854;0.95798;0.00000;0.13096;2.59016;class negotiator.group4.Group4@959686933;class negotiator.group12.Group12@1856093961;class negotiator.group3.Group3@1023746205;0.95798;0.84364;0.78854
6;0.238;75;Yes;No;3;0.78873;0.92352;0.00000;0.08999;2.61009;class negotiator.group4.Group4@1011702175;class negotiator.group3.Group3@2050421926;class negotiator.group12.Group12@771226873;0.89784;0.92352;0.78873
1;0.167;47;Yes;No;3;0.78873;0.92352;0.00000;0.08999;2.61009;class negotiator.group3.Group3@892309100;class negotiator.group4.Group4@1160736699;class negotiator.group12.Group12@760250745;0.89784;0.92352;0.78873
2;0.189;88;Yes;No;3;0.74705;0.91919;0.00000;0.16787;2.44938;class negotiator.group3.Group3@1115624848;class negotiator.group12.Group12@627098379;class negotiator.group4.Group4@1940200024;0.78314;0.74705;0.91919
3;0.278;79;Yes;No;3;0.74838;0.93961;0.00000;0.15467;2.49732;class negotiator.group12.Group12@585701853;class negotiator.group3.Group3@1973489170;class negotiator.group4.Group4@547552275;0.74838;0.80932;0.93961
4;0.325;87;Yes;No;3;0.78873;0.92352;0.00000;0.08999;2.61009;class negotiator.group12.Group12@926090682;class negotiator.group4.Group4@1992102565;class negotiator.group3.Group3@1997753225;0.89784;0.92352;0.78873
5;0.208;87;Yes;No;3;0.78854;0.95798;0.00000;0.13096;2.59016;class negotiator.group4.Group4@862694802;class negotiator.group12.Group12@1649436317;class negotiator.group3.Group3@209780696;0.95798;0.84364;0.78854
6;0.211;65;Yes;No;3;0.78854;0.95798;0.00000;0.13096;2.59016;class negotiator.group4.Group4@961649367;class negotiator.group3.Group3@478983847;class negotiator.group12.Group12@1512807573;0.95798;0.84364;0.78854
1;0.162;47;Yes;No;3;0.78873;0.92352;0.00000;0.08999;2.61009;class negotiator.group3.Group3@405249717;class negotiator.group4.Group4@1361348982;class negotiator.group12.Group12@901565336;0.89784;0.92352;0.78873
2;0.201;88;Yes;No;3;0.74705;0.91919;0.00000;0.16787;2.44938;class negotiator.group3.Group3@1961445396;class negotiator.group12.Group12@2138789122;class negotiator.group4.Group4@2047489968;0.78314;0.74705;0.91919
3;0.342;79;Yes;No;3;0.74838;0.93961;0.00000;0.15467;2.49732;class negotiator.group12.Group12@1752992940;class negotiator.group3.Group3@1224189387;class negotiator.group4.Group4@2057689049;0.74838;0.80932;0.93961
4;0.367;87;Yes;No;3;0.78873;0.92352;0.00000;0.08999;2.61009;class negotiator.group12.Group12@264744905;class negotiator.group4.Group4@2128985398;class negotiator.group3.Group3@485057872;0.89784;0.92352;0.78873
5;0.299;87;Yes;No;3;0.78854;0.95798;0.00000;0.13096;2.59016;class negotiator.group4.Group4@351793642;class negotiator.group12.Group12@573260903;class negotiator.group3.Group3@1184356279;0.95798;0.84364;0.78854
6;0.208;64;Yes;No;3;0.78854;0.95798;0.00000;0.13096;2.59016;class negotiator.group4.Group4@1592674115;class negotiator.group3.Group3@1837674597;class negotiator.group12.Group12@687140625;0.95798;0.84364;0.78854
1;0.159;47;Yes;No;3;0.78873;0.92352;0.00000;0.08999;2.61009;class negotiator.group3.Group3@1727299415;class negotiator.group4.Group4@1037327759;class negotiator.group12.Group12@1095399167;0.89784;0.92352;0.78873
2;0.208;88;Yes;No;3;0.74705;0.91919;0.00000;0.16787;2.44938;class negotiator.group3.Group3@2078393022;class negotiator.group12.Group12@582518652;class negotiator.group4.Group4@13037491;0.78314;0.74705;0.91919
3;0.279;79;Yes;No;3;0.74838;0.93961;0.00000;0.15467;2.49732;class negotiator.group12.Group12@1461268400;class negotiator.group3.Group3@915011708;class negotiator.group4.Group4@471380189;0.74838;0.80932;0.93961
4;0.313;87;Yes;No;3;0.78873;0.92352;0.00000;0.08999;2.61009;class negotiator.group12.Group12@1583336163;class negotiator.group4.Group4@1661021564;class negotiator.group3.Group3@1649498795;0.89784;0.92352;0.78873
5;0.206;87;Yes;No;3;0.78854;0.95798;0.00000;0.13096;2.59016;class negotiator.group4.Group4@564333098;class negotiator.group12.Group12@1458592934;class negotiator.group3.Group3@1045611233;0.95798;0.84364;0.78854
6;0.201;66;Yes;No;3;0.78854;0.95798;0.00000;0.13096;2.59016;class negotiator.group4.Group4@1031986631;class negotiator.group3.Group3@1521374045;class negotiator.group12.Group12@1793273133;0.95798;0.84364;0.78854
1;0.170;47;Yes;No;3;0.78873;0.92352;0.00000;0.08999;2.61009;class negotiator.group3.Group3@1188878186;class negotiator.group4.Group4@1287820414;class negotiator.group12.Group12@2057503632;0.89784;0.92352;0.78873
2;0.203;88;Yes;No;3;0.74705;0.91919;0.00000;0.16787;2.44938;class negotiator.group3.Group3@532239075;class negotiator.group12.Group12@1072743770;class negotiator.group4.Group4@1479325825;0.78314;0.74705;0.91919
3;0.275;79;Yes;No;3;0.74838;0.93961;0.00000;0.15467;2.49732;class negotiator.group12.Group12@214553299;class negotiator.group3.Group3@372252980;class negotiator.group4.Group4@835971149;0.74838;0.80932;0.93961
4;0.321;87;Yes;No;3;0.78873;0.92352;0.00000;0.08999;2.61009;class negotiator.group12.Group12@1853678081;class negotiator.group4.Group4@1222240338;class negotiator.group3.Group3@1512277211;0.89784;0.92352;0.78873
5;0.223;87;Yes;No;3;0.78854;0.95798;0.00000;0.13096;2.59016;class negotiator.group4.Group4@1725865361;class negotiator.group12.Group12@557502298;class negotiator.group3.Group3@469970625;0.95798;0.84364;0.78854
6;0.222;65;Yes;No;3;0.78854;0.95798;0.00000;0.13096;2.59016;class negotiator.group4.Group4@2040203585;class negotiator.group3.Group3@830261446;class negotiator.group12.Group12@2002868363;0.95798;0.84364;0.78854
1;0.158;47;Yes;No;3;0.78873;0.92352;0.00000;0.08999;2.61009;class negotiator.group3.Group3@340454661;class negotiator.group4.Group4@1125051819;class negotiator.group12.Group12@152410098;0.89784;0.92352;0.78873
2;0.235;104;Yes;No;3;0.74838;0.93961;0.00000;0.15467;2.49732;class negotiator.group3.Group3@739258087;class negotiator.group12.Group12@1517770314;class negotiator.group4.Group4@1354908332;0.74838;0.80932;0.93961
3;0.289;79;Yes;No;3;0.74838;0.93961;0.00000;0.15467;2.49732;class negotiator.group12.Group12@1632315468;class negotiator.group3.Group3@222480251;class negotiator.group4.Group4@456549130;0.74838;0.80932;0.93961
4;0.315;87;Yes;No;3;0.78873;0.92352;0.00000;0.08999;2.61009;class negotiator.group12.Group12@404235526;class negotiator.group4.Group4@1495710021;class negotiator.group3.Group3@2102234812;0.89784;0.92352;0.78873
5;0.200;87;Yes;No;3;0.78854;0.95798;0.00000;0.13096;2.59016;class negotiator.group4.Group4@1228537601;class negotiator.group12.Group12@2123677749;class negotiator.group3.Group3@1473714303;0.95798;0.84364;0.78854
6;0.220;68;Yes;No;3;0.78854;0.95798;0.00000;0.13096;2.59016;class negotiator.group4.Group4@673398781;class negotiator.group3.Group3@574492577;class negotiator.group12.Group12@410264727;0.95798;0.84364;0.78854
1;0.209;47;Yes;No;3;0.78873;0.92352;0.00000;0.08999;2.61009;class negotiator.group3.Group3@746526370;class negotiator.group4.Group4@1269234816;class negotiator.group12.Group12@1074486861;0.89784;0.92352;0.78873
2;0.244;88;Yes;No;3;0.74705;0.91919;0.00000;0.16787;2.44938;class negotiator.group3.Group3@1245413341;class negotiator.group12.Group12@138914878;class negotiator.group4.Group4@427630257;0.78314;0.74705;0.91919
3;0.393;79;Yes;No;3;0.74838;0.93961;0.00000;0.15467;2.49732;class negotiator.group12.Group12@326123462;class negotiator.group3.Group3@778758690;class negotiator.group4.Group4@1831958012;0.74838;0.80932;0.93961
4;0.328;87;Yes;No;3;0.78873;0.92352;0.00000;0.08999;2.61009;class negotiator.group12.Group12@1194660262;class negotiator.group4.Group4@1830407631;class negotiator.group3.Group3@957810942;0.89784;0.92352;0.78873
5;0.260;100;Yes;No;3;0.75610;0.92894;0.06014;0.16195;2.46919;class negotiator.group4.Group4@1044607909;class negotiator.group12.Group12@1046312338;class negotiator.group3.Group3@1775363130;0.92894;0.78415;0.75610
6;0.258;79;Yes;No;3;0.71847;1.00000;0.00000;0.20125;2.59982;class negotiator.group4.Group4@341863018;class negotiator.group3.Group3@1172987801;class negotiator.group12.Group12@506091947;1.00000;0.88136;0.71847
1;0.159;47;Yes;No;3;0.78873;0.92352;0.00000;0.08999;2.61009;class negotiator.group3.Group3@1977695678;class negotiator.group4.Group4@379371880;class negotiator.group12.Group12@224239217;0.89784;0.92352;0.78873
2;0.205;88;Yes;No;3;0.74705;0.91919;0.00000;0.16787;2.44938;class negotiator.group3.Group3@594174048;class negotiator.group12.Group12@484266186;class negotiator.group4.Group4@98765972;0.78314;0.74705;0.91919
3;0.267;79;Yes;No;3;0.74838;0.93961;0.00000;0.15467;2.49732;class negotiator.group12.Group12@1325108198;class negotiator.group3.Group3@1688064396;class negotiator.group4.Group4@891843055;0.74838;0.80932;0.93961
4;0.418;87;Yes;No;3;0.78873;0.92352;0.00000;0.08999;2.61009;class negotiator.group12.Group12@2021968360;class negotiator.group4.Group4@1440996392;class negotiator.group3.Group3@1653273125;0.89784;0.92352;0.78873
5;0.300;87;Yes;No;3;0.78854;0.95798;0.00000;0.13096;2.59016;class negotiator.group4.Group4@542696428;class negotiator.group12.Group12@735816587;class negotiator.group3.Group3@1658538283;0.95798;0.84364;0.78854
6;0.234;78;Yes;No;3;0.71847;1.00000;0.00000;0.20125;2.59982;class negotiator.group4.Group4@872782169;class negotiator.group3.Group3@1536605373;class negotiator.group12.Group12@88165189;1.00000;0.88136;0.71847
1;0.154;47;Yes;No;3;0.78873;0.92352;0.00000;0.08999;2.61009;class negotiator.group3.Group3@2115928026;class negotiator.group4.Group4@73138662;class negotiator.group12.Group12@880846150;0.89784;0.92352;0.78873
2;0.206;88;Yes;No;3;0.74705;0.91919;0.00000;0.16787;2.44938;class negotiator.group3.Group3@430565162;class negotiator.group12.Group12@1636270991;class negotiator.group4.Group4@130962255;0.78314;0.74705;0.91919
3;0.291;79;Yes;No;3;0.74838;0.93961;0.00000;0.15467;2.49732;class negotiator.group12.Group12@624617072;class negotiator.group3.Group3@1039062568;class negotiator.group4.Group4@187562972;0.74838;0.80932;0.93961
4;0.321;87;Yes;No;3;0.78873;0.92352;0.00000;0.08999;2.61009;class negotiator.group12.Group12@1230098925;class negotiator.group4.Group4@447562806;class negotiator.group3.Group3@1700348648;0.89784;0.92352;0.78873
5;0.181;87;Yes;No;3;0.78873;0.92352;0.00000;0.08999;2.61009;class negotiator.group4.Group4@1847505291;class negotiator.group12.Group12@555373864;class negotiator.group3.Group3@1204602386;0.89784;0.92352;0.78873
