sep=;
Session;Time (s);Rounds;Agreement;Discounted;Approval;Min. utility;Max. utility;Distance to pareto;Distance to Nash;Social welfare;Agent name 1;Agent name 2;Agent name 3;Agent utility 1;Agent utility 2;Agent utility 3
1;0.247;112;Yes;No;3;0.65744;0.96466;0.00000;0.32504;2.31241;class negotiator.group7.Group7@1048801217;class negotiator.group8.Group8@656279543;class negotiator.group12.Group12@614268209;0.96466;0.69031;0.65744
2;0.157;91;Yes;No;3;0.65744;0.96466;0.00000;0.32504;2.31241;class negotiator.group7.Group7@1156471834;class negotiator.group12.Group12@2095108688;class negotiator.group8.Group8@202359357;0.96466;0.69031;0.65744
3;0.165;88;Yes;No;3;0.66937;0.95927;0.00000;0.17722;2.37100;class negotiator.group12.Group12@311738932;class negotiator.group7.Group7@1683615091;class negotiator.group8.Group8@1274301565;0.74236;0.95927;0.66937
4;0.247;125;Yes;No;3;0.53044;0.96323;0.00000;0.39489;2.09685;class negotiator.group12.Group12@1927383510;class negotiator.group8.Group8@891321222;class negotiator.group7.Group7@1737340329;0.60318;0.53044;0.96323
5;0.163;112;Yes;No;3;0.56863;0.96143;0.00000;0.30550;2.19578;class negotiator.group8.Group8@1745510760;class negotiator.group12.Group12@25241653;class negotiator.group7.Group7@1182183512;0.56863;0.66572;0.96143
6;0.139;83;Yes;No;3;0.68296;0.97533;0.00000;0.16178;2.37729;class negotiator.group8.Group8@1723261139;class negotiator.group7.Group7@1885499731;class negotiator.group12.Group12@1325283785;0.68296;0.97533;0.71900
1;0.194;102;Yes;No;3;0.65744;0.96466;0.00000;0.32504;2.31241;class negotiator.group7.Group7@344187811;class negotiator.group8.Group8@1591078106;class negotiator.group12.Group12@783355098;0.96466;0.69031;0.65744
2;0.148;94;Yes;No;3;0.65744;0.96466;0.00000;0.32504;2.31241;class negotiator.group7.Group7@466888347;class negotiator.group12.Group12@87201891;class negotiator.group8.Group8@1018334783;0.96466;0.69031;0.65744
3;0.167;90;Yes;No;3;0.66937;0.95927;0.00000;0.17722;2.37100;class negotiator.group12.Group12@213955567;class negotiator.group7.Group7@1063589491;class negotiator.group8.Group8@94697609;0.74236;0.95927;0.66937
4;0.247;123;Yes;No;3;0.53044;0.96323;0.00000;0.39489;2.09685;class negotiator.group12.Group12@65082483;class negotiator.group8.Group8@772115458;class negotiator.group7.Group7@1848307432;0.60318;0.53044;0.96323
5;0.162;113;Yes;No;3;0.56863;0.96143;0.00000;0.30550;2.19578;class negotiator.group8.Group8@1120754047;class negotiator.group12.Group12@934200092;class negotiator.group7.Group7@848003027;0.56863;0.66572;0.96143
6;0.143;88;Yes;No;3;0.68296;0.97533;0.00000;0.16178;2.37729;class negotiator.group8.Group8@440307866;class negotiator.group7.Group7@25656300;class negotiator.group12.Group12@1708704700;0.68296;0.97533;0.71900
1;0.192;102;Yes;No;3;0.65744;0.96466;0.00000;0.32504;2.31241;class negotiator.group7.Group7@157234108;class negotiator.group8.Group8@1228767346;class negotiator.group12.Group12@1690034670;0.96466;0.69031;0.65744
2;0.146;92;Yes;No;3;0.65744;0.96466;0.00000;0.32504;2.31241;class negotiator.group7.Group7@753129132;class negotiator.group12.Group12@572706106;class negotiator.group8.Group8@449817688;0.96466;0.69031;0.65744
3;0.163;93;Yes;No;3;0.65163;1.00000;0.00000;0.22001;2.35226;class negotiator.group12.Group12@943444776;class negotiator.group7.Group7@1604584431;class negotiator.group8.Group8@150892791;0.70063;1.00000;0.65163
