sep=;
Session;Time (s);Rounds;Agreement;Discounted;Approval;Min. utility;Max. utility;Distance to pareto;Distance to Nash;Social welfare;Agent name 1;Agent name 2;Agent name 3;Agent utility 1;Agent utility 2;Agent utility 3
1;0,069;28;Yes;No;3;0,68467;0,89908;0,07305;0,17552;2,42197;class negotiator.group1.Group1@861301963;class negotiator.group4.Group4@1032946897;class negotiator.group12.Group12@967706555;0,83822;0,89908;0,68467
2;0,149;38;Yes;No;3;0,64507;0,83661;0,09761;0,26238;2,23552;class negotiator.group1.Group1@1976381263;class negotiator.group12.Group12@934972414;class negotiator.group4.Group4@1033065091;0,75384;0,64507;0,83661
3;0,057;38;Yes;No;3;0,76136;0,83710;0,07373;0,13802;2,38600;class negotiator.group12.Group12@718985354;class negotiator.group1.Group1@515995047;class negotiator.group4.Group4@1864447039;0,76136;0,78754;0,83710
4;0,050;35;Yes;No;3;0,73606;0,94124;0,07305;0,16794;2,43223;class negotiator.group12.Group12@538506990;class negotiator.group4.Group4@1342009224;class negotiator.group1.Group1@1813452350;0,73606;0,94124;0,75493
5;0,027;40;Yes;No;3;0,58590;0,82721;0,14745;0,31040;2,19716;class negotiator.group4.Group4@1161289276;class negotiator.group12.Group12@492810360;class negotiator.group1.Group1@351574702;0,82721;0,58590;0,78405
6;0,059;30;Yes;No;3;0,71847;1,00000;0,00000;0,20125;2,59982;class negotiator.group4.Group4@1459648690;class negotiator.group1.Group1@1039370188;class negotiator.group12.Group12@478434635;1,00000;0,88136;0,71847
1;0,039;18;Yes;No;3;0,78873;0,92352;0,00000;0,08999;2,61009;class negotiator.group1.Group1@24825337;class negotiator.group4.Group4@592996049;class negotiator.group12.Group12@2103214339;0,89784;0,92352;0,78873
2;0,032;24;Yes;No;3;0,74705;0,91919;0,00000;0,16787;2,44938;class negotiator.group1.Group1@1884854907;class negotiator.group12.Group12@1154102894;class negotiator.group4.Group4@3483078;0,78314;0,74705;0,91919
3;0,049;22;Yes;No;3;0,74838;0,93961;0,00000;0,15467;2,49732;class negotiator.group12.Group12@870062245;class negotiator.group1.Group1@1579479511;class negotiator.group4.Group4@1469150433;0,74838;0,80932;0,93961
4;0,056;33;Yes;No;3;0,73606;0,94124;0,07305;0,16794;2,43223;class negotiator.group12.Group12@1076615725;class negotiator.group4.Group4@1590655784;class negotiator.group1.Group1@480809396;0,73606;0,94124;0,75493
5;0,020;27;Yes;No;3;0,70489;0,88529;0,00000;0,18356;2,43911;class negotiator.group4.Group4@405692245;class negotiator.group12.Group12@1358772525;class negotiator.group1.Group1@561966710;0,88529;0,70489;0,84893
6;0,059;28;Yes;No;3;0,71847;1,00000;0,00000;0,20125;2,59982;class negotiator.group4.Group4@1267535359;class negotiator.group1.Group1@868895591;class negotiator.group12.Group12@1816588140;1,00000;0,88136;0,71847
1;0,040;22;Yes;No;3;0,77799;0,96229;0,00000;0,12356;2,54238;class negotiator.group1.Group1@1570006922;class negotiator.group4.Group4@691191776;class negotiator.group12.Group12@2118954197;0,80210;0,96229;0,77799
2;0,089;36;Yes;No;3;0,71903;0,84194;0,08330;0,18856;2,33043;class negotiator.group1.Group1@2014130983;class negotiator.group12.Group12@1795431373;class negotiator.group4.Group4@2110520410;0,76946;0,71903;0,84194
