sep=;
Session;Time (s);Rounds;Agreement;Discounted;Approval;Min. utility;Max. utility;Distance to pareto;Distance to Nash;Social welfare;Agent name 1;Agent name 2;Agent name 3;Agent utility 1;Agent utility 2;Agent utility 3
1;0,186;19;Yes;No;3;0,70917;0,87605;0,00000;0,20904;2,33131;class negotiator.group3.Group3@2141033439;class negotiator.group11.Group11@1901752924;class negotiator.group12.Group12@1969617071;0,70917;0,87605;0,74609
2;0,108;16;Yes;No;3;0,73750;0,83346;0,00000;0,49867;2,40141;class negotiator.group3.Group3@595007199;class negotiator.group12.Group12@18696319;class negotiator.group11.Group11@1541896307;0,73750;0,83045;0,83346
3;0,175;18;Yes;No;3;0,66845;0,86917;0,00000;0,52460;2,26591;class negotiator.group12.Group12@1346930472;class negotiator.group3.Group3@1259516432;class negotiator.group11.Group11@539448765;0,86917;0,66845;0,72829
4;0,156;17;Yes;No;3;0,57342;0,83417;0,05323;0,48444;2,14085;class negotiator.group12.Group12@1088656682;class negotiator.group11.Group11@1409694681;class negotiator.group3.Group3@173703547;0,83417;0,57342;0,73326
5;0,070;12;Yes;No;3;0,72500;0,84506;0,00000;0,63606;2,38404;class negotiator.group11.Group11@281716528;class negotiator.group12.Group12@1281112774;class negotiator.group3.Group3@702617703;0,72500;0,81397;0,84506
6;0,064;11;Yes;No;3;0,67750;0,86288;0,00000;0,68201;2,37616;class negotiator.group11.Group11@2012091769;class negotiator.group3.Group3@853069715;class negotiator.group12.Group12@536828164;0,67750;0,83578;0,86288
1;0,159;19;Yes;No;3;0,70917;0,87605;0,00000;0,20904;2,33131;class negotiator.group3.Group3@1056725180;class negotiator.group11.Group11@968804295;class negotiator.group12.Group12@1299067700;0,70917;0,87605;0,74609
2;0,115;16;Yes;No;3;0,73750;0,83346;0,00000;0,49867;2,40141;class negotiator.group3.Group3@683439332;class negotiator.group12.Group12@1952047351;class negotiator.group11.Group11@991334724;0,73750;0,83045;0,83346
3;0,183;18;Yes;No;3;0,66845;0,86917;0,00000;0,52460;2,26591;class negotiator.group12.Group12@131981953;class negotiator.group3.Group3@1284357578;class negotiator.group11.Group11@2003346164;0,86917;0,66845;0,72829
4;0,169;17;Yes;No;3;0,57342;0,83417;0,05323;0,48444;2,14085;class negotiator.group12.Group12@2029748716;class negotiator.group11.Group11@274378136;class negotiator.group3.Group3@832053684;0,83417;0,57342;0,73326
