sep=;
Session;Time (s);Rounds;Agreement;Discounted;Approval;Min. utility;Max. utility;Distance to pareto;Distance to Nash;Social welfare;Agent name 1;Agent name 2;Agent name 3;Agent utility 1;Agent utility 2;Agent utility 3
1;0,120;20;Yes;No;3;0,75048;0,91246;0,00000;0,13486;2,41342;class negotiator.group3.Group3@810586007;class negotiator.group4.Group4@1050114029;class negotiator.group12.Group12@984147175;0,75048;0,91246;0,75048
2;0,178;41;Yes;No;3;0,55844;0,73625;0,23295;0,30068;2,03094;class negotiator.group3.Group3@1254131378;class negotiator.group12.Group12@1408193904;class negotiator.group4.Group4@2017044963;0,73625;0,55844;0,73625
3;0,084;26;Yes;No;3;0,53896;0,93443;0,00000;0,32943;2,40783;class negotiator.group12.Group12@761588309;class negotiator.group3.Group3@1125898572;class negotiator.group4.Group4@1061808897;0,93443;0,53896;0,93443
4;0,054;19;Yes;No;3;0,75048;0,91246;0,00000;0,13486;2,41342;class negotiator.group12.Group12@1926210629;class negotiator.group4.Group4@681349180;class negotiator.group3.Group3@1034496612;0,75048;0,91246;0,75048
5;0,194;38;Yes;No;3;0,55844;0,73625;0,23295;0,30068;2,03094;class negotiator.group4.Group4@677069905;class negotiator.group12.Group12@1206276326;class negotiator.group3.Group3@1050923034;0,73625;0,55844;0,73625
6;0,117;25;Yes;No;3;0,55570;0,89510;0,04657;0,29175;2,34589;class negotiator.group4.Group4@1451222764;class negotiator.group3.Group3@221011408;class negotiator.group12.Group12@675802445;0,89510;0,55570;0,89510
1;0,100;20;Yes;No;3;0,75048;0,91246;0,00000;0,13486;2,41342;class negotiator.group3.Group3@1126744323;class negotiator.group4.Group4@301643044;class negotiator.group12.Group12@572448659;0,75048;0,91246;0,75048
2;0,159;38;Yes;No;3;0,56013;0,84685;0,10504;0,27220;2,25383;class negotiator.group3.Group3@282072950;class negotiator.group12.Group12@1032449949;class negotiator.group4.Group4@1834184398;0,84685;0,56013;0,84685
3;0,080;26;Yes;No;3;0,53896;0,93443;0,00000;0,32943;2,40783;class negotiator.group12.Group12@1254412979;class negotiator.group3.Group3@1405533460;class negotiator.group4.Group4@1799302212;0,93443;0,53896;0,93443
4;0,068;19;Yes;No;3;0,75048;0,91246;0,00000;0,13486;2,41342;class negotiator.group12.Group12@1451978087;class negotiator.group4.Group4@1693100041;class negotiator.group3.Group3@1689594141;0,75048;0,91246;0,75048
5;0,197;39;Yes;No;3;0,55844;0,73625;0,23295;0,30068;2,03094;class negotiator.group4.Group4@684017798;class negotiator.group12.Group12@321609813;class negotiator.group3.Group3@1266190852;0,73625;0,55844;0,73625
6;0,102;24;Yes;No;3;0,58201;0,89790;0,02965;0,26856;2,37781;class negotiator.group4.Group4@1721961952;class negotiator.group3.Group3@1396332007;class negotiator.group12.Group12@809221600;0,89790;0,58201;0,89790
1;0,092;20;Yes;No;3;0,75048;0,91246;0,00000;0,13486;2,41342;class negotiator.group3.Group3@298339180;class negotiator.group4.Group4@976106329;class negotiator.group12.Group12@334342630;0,75048;0,91246;0,75048
2;0,160;39;Yes;No;3;0,55844;0,73625;0,23295;0,30068;2,03094;class negotiator.group3.Group3@365075216;class negotiator.group12.Group12@921870706;class negotiator.group4.Group4@603916796;0,73625;0,55844;0,73625
3;0,085;25;Yes;No;3;0,58201;0,89790;0,02965;0,26856;2,37781;class negotiator.group12.Group12@435670932;class negotiator.group3.Group3@378548481;class negotiator.group4.Group4@2076114807;0,89790;0,58201;0,89790
4;0,067;19;Yes;No;3;0,75048;0,91246;0,00000;0,13486;2,41342;class negotiator.group12.Group12@1545700943;class negotiator.group4.Group4@199608872;class negotiator.group3.Group3@756974094;0,75048;0,91246;0,75048
5;0,164;32;Yes;No;3;0,62650;0,85698;0,06214;0,20883;2,34046;class negotiator.group4.Group4@1303286263;class negotiator.group12.Group12@745825490;class negotiator.group3.Group3@618941313;0,85698;0,62650;0,85698
6;0,108;25;Yes;No;3;0,55570;0,89510;0,04657;0,29175;2,34589;class negotiator.group4.Group4@1732415740;class negotiator.group3.Group3@479210752;class negotiator.group12.Group12@1840618687;0,89510;0,55570;0,89510
1;0,091;20;Yes;No;3;0,75048;0,91246;0,00000;0,13486;2,41342;class negotiator.group3.Group3@1070827833;class negotiator.group4.Group4@204480404;class negotiator.group12.Group12@2087092426;0,75048;0,91246;0,75048
2;0,148;35;Yes;No;3;0,62650;0,85698;0,06214;0,20883;2,34046;class negotiator.group3.Group3@2009305355;class negotiator.group12.Group12@850591104;class negotiator.group4.Group4@497226671;0,85698;0,62650;0,85698
3;0,082;26;Yes;No;3;0,53896;0,93443;0,00000;0,32943;2,40783;class negotiator.group12.Group12@1876787858;class negotiator.group3.Group3@619241295;class negotiator.group4.Group4@675818296;0,93443;0,53896;0,93443
4;0,071;19;Yes;No;3;0,75048;0,91246;0,00000;0,13486;2,41342;class negotiator.group12.Group12@1352906372;class negotiator.group4.Group4@2120894377;class negotiator.group3.Group3@1075364772;0,75048;0,91246;0,75048
5;0,167;33;Yes;No;3;0,72136;0,85276;0,00424;0,11562;2,42687;class negotiator.group4.Group4@680588685;class negotiator.group12.Group12@1558915583;class negotiator.group3.Group3@1777322629;0,85276;0,72136;0,85276
6;0,114;25;Yes;No;3;0,55570;0,89510;0,04657;0,29175;2,34589;class negotiator.group4.Group4@1947429393;class negotiator.group3.Group3@1902594950;class negotiator.group12.Group12@82966765;0,89510;0,55570;0,89510
1;0,095;20;Yes;No;3;0,75048;0,91246;0,00000;0,13486;2,41342;class negotiator.group3.Group3@1808040817;class negotiator.group4.Group4@287556452;class negotiator.group12.Group12@852643377;0,75048;0,91246;0,75048
2;0,177;40;Yes;No;3;0,54567;0,89549;0,05382;0,30141;2,33664;class negotiator.group3.Group3@657214463;class negotiator.group12.Group12@1995954867;class negotiator.group4.Group4@1593538018;0,89549;0,54567;0,89549
3;0,087;26;Yes;No;3;0,53896;0,93443;0,00000;0,32943;2,40783;class negotiator.group12.Group12@249832786;class negotiator.group3.Group3@347260425;class negotiator.group4.Group4@958303099;0,93443;0,53896;0,93443
4;0,067;19;Yes;No;3;0,75048;0,91246;0,00000;0,13486;2,41342;class negotiator.group12.Group12@1780669816;class negotiator.group4.Group4@2063167831;class negotiator.group3.Group3@1256418682;0,75048;0,91246;0,75048
