sep=;
Session;Time (s);Rounds;Agreement;Discounted;Approval;Min. utility;Max. utility;Distance to pareto;Distance to Nash;Social welfare;Agent name 1;Agent name 2;Agent name 3;Agent utility 1;Agent utility 2;Agent utility 3
1;0,177;36;Yes;No;3;0,62196;0,88120;0,02835;0,25883;2,27492;class negotiator.group4.Group4@445907450;class negotiator.group5.Group5@341048536;class negotiator.group12.Group12@275540618;0,88120;0,77177;0,62196
2;0,176;32;Yes;No;3;0,52270;1,00000;0,00000;0,41159;2,26235;class negotiator.group4.Group4@1153711942;class negotiator.group12.Group12@1600237347;class negotiator.group5.Group5@733539800;1,00000;0,73965;0,52270
3;0,226;29;Yes;No;3;0,66060;0,94232;0,00000;0,17706;2,35257;class negotiator.group12.Group12@227978860;class negotiator.group4.Group4@5328061;class negotiator.group5.Group5@305726190;0,74966;0,94232;0,66060
4;0,206;37;Yes;No;3;0,69246;0,84610;0,07548;0,08223;2,30510;class negotiator.group12.Group12@98027537;class negotiator.group5.Group5@1830349412;class negotiator.group4.Group4@763926761;0,69246;0,84610;0,76655
5;0,223;35;Yes;No;3;0,72104;0,81102;0,03175;0,14880;2,28924;class negotiator.group5.Group5@868235489;class negotiator.group12.Group12@598653713;class negotiator.group4.Group4@1656886946;0,75719;0,72104;0,81102
6;0,230;32;Yes;No;3;0,65873;0,83551;0,05210;0,17650;2,30135;class negotiator.group5.Group5@713628493;class negotiator.group4.Group4@2071134369;class negotiator.group12.Group12@109719407;0,80712;0,83551;0,65873
1;0,196;39;Yes;No;3;0,63654;0,78379;0,08331;0,21723;2,18174;class negotiator.group4.Group4@633775117;class negotiator.group5.Group5@443178789;class negotiator.group12.Group12@971939697;0,78379;0,76140;0,63654
2;0,139;29;Yes;No;3;0,65744;0,96466;0,00000;0,32504;2,31241;class negotiator.group4.Group4@122579825;class negotiator.group12.Group12@127037790;class negotiator.group5.Group5@840930546;0,96466;0,69031;0,65744
3;0,136;28;Yes;No;3;0,74875;0,86920;0,00000;0,00000;2,43981;class negotiator.group12.Group12@484966107;class negotiator.group4.Group4@1262863177;class negotiator.group5.Group5@24256493;0,74875;0,86920;0,82186
4;0,199;36;Yes;No;3;0,67268;0,82089;0,03919;0,09117;2,30157;class negotiator.group12.Group12@1345788914;class negotiator.group5.Group5@802057647;class negotiator.group4.Group4@114079162;0,67268;0,82089;0,80800
5;0,172;35;Yes;No;3;0,71552;0,79119;0,00000;0,16070;2,29106;class negotiator.group5.Group5@500842890;class negotiator.group12.Group12@2055898316;class negotiator.group4.Group4@465480492;0,78435;0,71552;0,79119
6;0,178;31;Yes;No;3;0,63180;0,89544;0,05920;0,19300;2,25504;class negotiator.group5.Group5@516607534;class negotiator.group4.Group4@1246117013;class negotiator.group12.Group12@1637341839;0,72780;0,89544;0,63180
1;0,176;36;Yes;No;3;0,62196;0,88120;0,02835;0,25883;2,27492;class negotiator.group4.Group4@14642209;class negotiator.group5.Group5@147485121;class negotiator.group12.Group12@678597694;0,88120;0,77177;0,62196
2;0,173;33;Yes;No;3;0,63950;0,86661;0,06138;0,27124;2,21275;class negotiator.group4.Group4@584772430;class negotiator.group12.Group12@1156200715;class negotiator.group5.Group5@1681977983;0,86661;0,70664;0,63950
3;0,156;29;Yes;No;3;0,72797;0,91764;0,00000;0,10697;2,37760;class negotiator.group12.Group12@1062279108;class negotiator.group4.Group4@494230367;class negotiator.group5.Group5@346385160;0,73199;0,91764;0,72797
4;0,184;33;Yes;No;3;0,59860;0,88463;0,00000;0,15268;2,32800;class negotiator.group12.Group12@533380510;class negotiator.group5.Group5@1080555558;class negotiator.group4.Group4@1034015164;0,59860;0,88463;0,84478
5;0,218;39;Yes;No;3;0,71584;0,89797;0,00000;0,23406;2,33713;class negotiator.group5.Group5@937045598;class negotiator.group12.Group12@944905861;class negotiator.group4.Group4@876867675;0,89797;0,72332;0,71584
6;0,154;28;Yes;No;3;0,71713;0,86852;0,04468;0,10506;2,32607;class negotiator.group5.Group5@1905193361;class negotiator.group4.Group4@1134477642;class negotiator.group12.Group12@1397860231;0,74042;0,86852;0,71713
1;0,218;35;Yes;No;3;0,59136;0,86018;0,05210;0,24288;2,27632;class negotiator.group4.Group4@1889017261;class negotiator.group5.Group5@852700451;class negotiator.group12.Group12@30254253;0,82479;0,86018;0,59136
2;0,123;28;Yes;No;3;0,63950;0,86661;0,06138;0,27124;2,21275;class negotiator.group4.Group4@8008548;class negotiator.group12.Group12@1724421679;class negotiator.group5.Group5@6207531;0,86661;0,70664;0,63950
3;0,176;33;Yes;No;3;0,67268;0,82089;0,03919;0,09117;2,30157;class negotiator.group12.Group12@1306606625;class negotiator.group4.Group4@1904993457;class negotiator.group5.Group5@1520778727;0,67268;0,82089;0,80800
4;0,184;35;Yes;No;3;0,57903;0,84771;0,07548;0,23506;2,13539;class negotiator.group12.Group12@1131358542;class negotiator.group5.Group5@508187350;class negotiator.group4.Group4@1786370942;0,57903;0,70865;0,84771
5;0,171;36;Yes;No;3;0,65729;0,83127;0,00000;0,23234;2,26281;class negotiator.group5.Group5@443890941;class negotiator.group12.Group12@1211461971;class negotiator.group4.Group4@2008777097;0,83127;0,65729;0,77425
6;0,182;30;Yes;No;3;0,64079;0,85184;0,10113;0,18618;2,20169;class negotiator.group5.Group5@203101586;class negotiator.group4.Group4@111294292;class negotiator.group12.Group12@1984158606;0,70907;0,85184;0,64079
1;0,157;31;Yes;No;3;0,68524;0,84155;0,02044;0,17486;2,33853;class negotiator.group4.Group4@820696948;class negotiator.group5.Group5@1185077214;class negotiator.group12.Group12@48998597;0,84155;0,81173;0,68524
2;0,182;32;Yes;No;3;0,69422;0,89058;0,00000;0,22286;2,33884;class negotiator.group4.Group4@357797712;class negotiator.group12.Group12@540592001;class negotiator.group5.Group5@1070365961;0,89058;0,75405;0,69422
3;0,148;29;Yes;No;3;0,72797;0,91764;0,00000;0,10697;2,37760;class negotiator.group12.Group12@685469950;class negotiator.group4.Group4@1676790071;class negotiator.group5.Group5@212059415;0,73199;0,91764;0,72797
