sep=;
Session;Time (s);Rounds;Agreement;Discounted;Approval;Min. utility;Max. utility;Distance to pareto;Distance to Nash;Social welfare;Agent name 1;Agent name 2;Agent name 3;Agent utility 1;Agent utility 2;Agent utility 3
1;0,259;19;Yes;No;3;0,82151;0,91667;0,00000;0,07788;2,59045;class negotiator.group5.Group5@1244546692;class negotiator.group8.Group8@1156166065;class negotiator.group12.Group12@1087778292;0,91667;0,82151;0,85227
2;0,164;13;Yes;No;3;0,80501;0,95238;0,01411;0,10132;2,64655;class negotiator.group5.Group5@97827722;class negotiator.group12.Group12@1039587282;class negotiator.group8.Group8@874225124;0,95238;0,80501;0,88916
3;0,261;20;Yes;No;3;0,86360;0,89359;0,02816;0,02816;2,63814;class negotiator.group12.Group12@1171500830;class negotiator.group5.Group5@1710965957;class negotiator.group8.Group8@1857570799;0,88095;0,89359;0,86360
4;0,193;18;Yes;No;3;0,76165;0,94056;0,02816;0,18106;2,49983;class negotiator.group12.Group12@111412065;class negotiator.group8.Group8@1591207924;class negotiator.group5.Group5@1639275911;0,79762;0,76165;0,94056
5;0,157;15;Yes;No;3;0,80501;0,95238;0,01411;0,10132;2,64655;class negotiator.group8.Group8@1302264161;class negotiator.group12.Group12@1804027064;class negotiator.group5.Group5@177141371;0,95238;0,80501;0,88916
6;0,107;11;Yes;No;3;0,82671;0,90846;0,01411;0,08033;2,58041;class negotiator.group8.Group8@1100794824;class negotiator.group5.Group5@2071160683;class negotiator.group12.Group12@704667193;0,84524;0,90846;0,82671
1;0,267;22;Yes;No;3;0,82059;0,83430;0,07995;0,10961;2,48822;class negotiator.group5.Group5@1463830572;class negotiator.group8.Group8@1881475975;class negotiator.group12.Group12@269312727;0,83333;0,83430;0,82059
2;0,117;10;Yes;No;3;0,87864;0,90476;0,00000;0,00000;2,67722;class negotiator.group5.Group5@953423737;class negotiator.group12.Group12@1837115751;class negotiator.group8.Group8@891387491;0,90476;0,89382;0,87864
3;0,199;18;Yes;No;3;0,75000;0,88130;0,02816;0,15738;2,49663;class negotiator.group12.Group12@1321318858;class negotiator.group5.Group5@1454772404;class negotiator.group8.Group8@982634516;0,75000;0,86533;0,88130
4;0,468;20;Yes;No;3;0,80952;0,98195;0,00000;0,15264;2,62567;class negotiator.group12.Group12@75326275;class negotiator.group8.Group8@1202816495;class negotiator.group5.Group5@568598045;0,80952;0,83419;0,98195
5;0,162;14;Yes;No;3;0,80501;0,95238;0,01411;0,10132;2,64655;class negotiator.group8.Group8@356608837;class negotiator.group12.Group12@2060023253;class negotiator.group5.Group5@823921054;0,95238;0,80501;0,88916
6;0,361;26;Yes;No;3;0,72619;0,87916;0,09896;0,20730;2,37973;class negotiator.group8.Group8@814349654;class negotiator.group5.Group5@780968769;class negotiator.group12.Group12@525999256;0,72619;0,87916;0,77438
1;0,192;15;Yes;No;3;0,87864;0,90476;0,00000;0,00000;2,67722;class negotiator.group5.Group5@1314629140;class negotiator.group8.Group8@826773956;class negotiator.group12.Group12@2056960518;0,90476;0,89382;0,87864
2;0,157;13;Yes;No;3;0,80501;0,95238;0,01411;0,10132;2,64655;class negotiator.group5.Group5@896255761;class negotiator.group12.Group12@638827694;class negotiator.group8.Group8@727175193;0,95238;0,80501;0,88916
3;0,141;13;Yes;No;3;0,87112;0,89289;0,01411;0,01411;2,65686;class negotiator.group12.Group12@70391295;class negotiator.group5.Group5@1871317287;class negotiator.group8.Group8@1413951156;0,89286;0,89289;0,87112
4;0,179;19;Yes;No;3;0,80952;0,98195;0,00000;0,15264;2,62567;class negotiator.group12.Group12@1090911037;class negotiator.group8.Group8@1426883343;class negotiator.group5.Group5@1785752504;0,80952;0,83419;0,98195
5;0,203;15;Yes;No;3;0,80501;0,95238;0,01411;0,10132;2,64655;class negotiator.group8.Group8@128965324;class negotiator.group12.Group12@1763509527;class negotiator.group5.Group5@1488517056;0,95238;0,80501;0,88916
6;0,144;14;Yes;No;3;0,83423;0,90939;0,00000;0,06695;2,60076;class negotiator.group8.Group8@830241476;class negotiator.group5.Group5@1224519581;class negotiator.group12.Group12@1237855784;0,85714;0,90939;0,83423
1;0,277;23;Yes;No;3;0,80752;0,83661;0,08110;0,11590;2,47747;class negotiator.group5.Group5@1448203814;class negotiator.group8.Group8@78199922;class negotiator.group12.Group12@696576829;0,83333;0,83661;0,80752
2;0,162;13;Yes;No;3;0,80501;0,95238;0,01411;0,10132;2,64655;class negotiator.group5.Group5@557136203;class negotiator.group12.Group12@2039298989;class negotiator.group8.Group8@873124418;0,95238;0,80501;0,88916
3;0,144;13;Yes;No;3;0,85609;0,89335;0,02961;0,04224;2,61848;class negotiator.group12.Group12@987306749;class negotiator.group5.Group5@850301836;class negotiator.group8.Group8@586061351;0,86905;0,89335;0,85609
4;0,189;17;Yes;No;3;0,80952;0,98195;0,00000;0,15264;2,62567;class negotiator.group12.Group12@1083492602;class negotiator.group8.Group8@854076647;class negotiator.group5.Group5@1956445125;0,80952;0,83419;0,98195
5;0,131;13;Yes;No;3;0,80501;0,95238;0,01411;0,10132;2,64655;class negotiator.group8.Group8@580195551;class negotiator.group12.Group12@1142999919;class negotiator.group5.Group5@928794648;0,95238;0,80501;0,88916
6;0,257;26;Yes;No;3;0,64286;0,85730;0,10961;0,27712;2,30597;class negotiator.group8.Group8@604889061;class negotiator.group5.Group5@775160919;class negotiator.group12.Group12@1821231437;0,64286;0,80581;0,85730
1;0,092;8;Yes;No;3;0,87864;0,90476;0,00000;0,00000;2,67722;class negotiator.group5.Group5@960774220;class negotiator.group8.Group8@1945911926;class negotiator.group12.Group12@2103764706;0,90476;0,89382;0,87864
2;0,125;10;Yes;No;3;0,87864;0,90476;0,00000;0,00000;2,67722;class negotiator.group5.Group5@2132909986;class negotiator.group12.Group12@1685911082;class negotiator.group8.Group8@1963124513;0,90476;0,89382;0,87864
3;0,142;13;Yes;No;3;0,87864;0,90476;0,00000;0,00000;2,67722;class negotiator.group12.Group12@797662357;class negotiator.group5.Group5@1545865801;class negotiator.group8.Group8@1600809537;0,90476;0,89382;0,87864
4;0,183;18;Yes;No;3;0,77381;0,95940;0,02961;0,16518;2,56694;class negotiator.group12.Group12@1035183458;class negotiator.group8.Group8@1219049909;class negotiator.group5.Group5@883098795;0,77381;0,83372;0,95940
