sep=;
Session;Time (s);Rounds;Agreement;Discounted;Approval;Min. utility;Max. utility;Distance to pareto;Distance to Nash;Social welfare;Agent name 1;Agent name 2;Agent name 3;Agent utility 1;Agent utility 2;Agent utility 3
1;7,534;47;Yes;No;3;0,48970;0,76917;0,10372;0,53788;1,97344;class negotiator.group7.Group7@1483802339;class negotiator.group11.Group11@2035783838;class negotiator.group12.Group12@970143659;0,76917;0,48970;0,71457
2;5,449;45;Yes;No;3;0,55161;0,88167;0,02371;0,50055;2,14873;class negotiator.group7.Group7@1932598302;class negotiator.group12.Group12@1047321980;class negotiator.group11.Group11@32719250;0,88167;0,55161;0,71545
3;3,617;47;Yes;No;3;0,67750;0,86288;0,00000;0,21180;2,37616;class negotiator.group12.Group12@1853890578;class negotiator.group7.Group7@355078192;class negotiator.group11.Group11@1299556564;0,67750;0,83578;0,86288
4;3,823;41;Yes;No;3;0,39638;0,95792;0,00000;0,71057;1,96846;class negotiator.group12.Group12@1452384057;class negotiator.group11.Group11@964605257;class negotiator.group7.Group7@2089851334;0,61417;0,39638;0,95792
5;3,833;46;Yes;No;3;0,67750;0,86288;0,00000;0,41722;2,37616;class negotiator.group11.Group11@482590088;class negotiator.group12.Group12@1190236542;class negotiator.group7.Group7@174694420;0,67750;0,83578;0,86288
6;3,374;33;Yes;No;3;0,62363;0,95971;0,00000;0,72428;2,29251;class negotiator.group11.Group11@1917797942;class negotiator.group7.Group7@1944160778;class negotiator.group12.Group12@970039145;0,70917;0,95971;0,62363
1;4,757;48;Yes;No;3;0,61583;0,66674;0,22554;0,32938;1,93378;class negotiator.group7.Group7@2122314055;class negotiator.group11.Group11@1988716104;class negotiator.group12.Group12@155648841;0,61583;0,66674;0,65121
2;4,689;44;Yes;No;3;0,59964;0,92917;0,00000;0,63449;2,17854;class negotiator.group7.Group7@1020854239;class negotiator.group12.Group12@1026348234;class negotiator.group11.Group11@11165185;0,92917;0,64973;0,59964
3;4,464;48;Yes;No;3;0,59833;0,80175;0,05998;0,21889;2,19596;class negotiator.group12.Group12@835082262;class negotiator.group7.Group7@1251700726;class negotiator.group11.Group11@298481899;0,59833;0,80175;0,79588
4;3,647;42;Yes;No;3;0,48493;0,97156;0,00000;0,65060;2,01983;class negotiator.group12.Group12@1128429189;class negotiator.group11.Group11@1086816275;class negotiator.group7.Group7@1362277154;0,56333;0,48493;0,97156
5;3,111;46;Yes;No;3;0,67750;0,86288;0,00000;0,41722;2,37616;class negotiator.group11.Group11@326997199;class negotiator.group12.Group12@1130053243;class negotiator.group7.Group7@1071708443;0,67750;0,83578;0,86288
6;3,083;33;Yes;No;3;0,59500;0,96396;0,05472;0,78038;2,16142;class negotiator.group11.Group11@2073028198;class negotiator.group7.Group7@78372404;class negotiator.group12.Group12@504987708;0,59500;0,96396;0,60245
1;4,770;46;Yes;No;3;0,64394;0,80250;0,00000;0,42910;2,22330;class negotiator.group7.Group7@646552261;class negotiator.group11.Group11@573699236;class negotiator.group12.Group12@2024920232;0,80250;0,64394;0,77686
2;0,939;45;Yes;No;3;0,55161;0,88167;0,02371;0,50055;2,14873;class negotiator.group7.Group7@721138658;class negotiator.group12.Group12@1087261642;class negotiator.group11.Group11@1844908963;0,88167;0,55161;0,71545
3;0,877;48;Yes;No;3;0,59626;0,74250;0,12790;0,36735;2,07865;class negotiator.group12.Group12@462790177;class negotiator.group7.Group7@1820744210;class negotiator.group11.Group11@1587862611;0,74250;0,73989;0,59626
4;0,759;43;Yes;No;3;0,45692;0,95144;0,03393;0,66302;1,96253;class negotiator.group12.Group12@1019762171;class negotiator.group11.Group11@1656807098;class negotiator.group7.Group7@444514549;0,55417;0,45692;0,95144
5;0,585;46;Yes;No;3;0,63000;0,82487;0,04378;0,41875;2,27321;class negotiator.group11.Group11@1283602251;class negotiator.group12.Group12@840680621;class negotiator.group7.Group7@1456142682;0,63000;0,82487;0,81834
6;0,592;34;Yes;No;3;0,59500;0,96396;0,05472;0,78038;2,16142;class negotiator.group11.Group11@979366430;class negotiator.group7.Group7@1740284529;class negotiator.group12.Group12@191376519;0,59500;0,96396;0,60245
1;0,645;47;Yes;No;3;0,65547;0,79466;0,09715;0,40336;2,12596;class negotiator.group7.Group7@183043225;class negotiator.group11.Group11@1340332248;class negotiator.group12.Group12@2105037439;0,67583;0,65547;0,79466
2;0,708;45;Yes;No;3;0,55161;0,88167;0,02371;0,50055;2,14873;class negotiator.group7.Group7@926827843;class negotiator.group12.Group12@1966162673;class negotiator.group11.Group11@608526743;0,88167;0,55161;0,71545
3;0,667;48;Yes;No;3;0,59626;0,74250;0,12790;0,36735;2,07865;class negotiator.group12.Group12@454112458;class negotiator.group7.Group7@1589673654;class negotiator.group11.Group11@563710293;0,74250;0,73989;0,59626
4;0,629;42;Yes;No;3;0,46845;0,98317;0,00000;0,67241;2,00245;class negotiator.group12.Group12@777981224;class negotiator.group11.Group11@1014684493;class negotiator.group7.Group7@1636972474;0,55083;0,46845;0,98317
5;0,644;46;Yes;No;3;0,74083;0,83763;0,00000;0,33487;2,34217;class negotiator.group11.Group11@204261884;class negotiator.group12.Group12@1523364636;class negotiator.group7.Group7@805747643;0,74083;0,76370;0,83763
6;0,511;33;Yes;No;3;0,59500;0,96396;0,05472;0,78038;2,16142;class negotiator.group11.Group11@1087989222;class negotiator.group7.Group7@718284584;class negotiator.group12.Group12@356197693;0,59500;0,96396;0,60245
1;0,556;48;Yes;No;3;0,61583;0,79353;0,10953;0,34322;2,11416;class negotiator.group7.Group7@275091266;class negotiator.group11.Group11@454569725;class negotiator.group12.Group12@811250641;0,61583;0,70480;0,79353
2;0,671;44;Yes;No;3;0,59964;0,92917;0,00000;0,63449;2,17854;class negotiator.group7.Group7@2080664106;class negotiator.group12.Group12@1076356471;class negotiator.group11.Group11@437404744;0,92917;0,64973;0,59964
3;0,619;48;Yes;No;3;0,59626;0,74250;0,12790;0,36735;2,07865;class negotiator.group12.Group12@2134096096;class negotiator.group7.Group7@540657686;class negotiator.group11.Group11@1598721339;0,74250;0,73989;0,59626
4;0,675;43;Yes;No;3;0,48493;0,97156;0,00000;0,65060;2,01983;class negotiator.group12.Group12@1475519134;class negotiator.group11.Group11@895804472;class negotiator.group7.Group7@1534321658;0,56333;0,48493;0,97156
5;0,576;46;Yes;No;3;0,67917;0,77670;0,08966;0,33177;2,19670;class negotiator.group11.Group11@1356570362;class negotiator.group12.Group12@318713901;class negotiator.group7.Group7@11031406;0,67917;0,74083;0,77670
6;0,551;33;Yes;No;3;0,59500;0,96396;0,05472;0,78038;2,16142;class negotiator.group11.Group11@1140853938;class negotiator.group7.Group7@1210087046;class negotiator.group12.Group12@599083511;0,59500;0,96396;0,60245
1;0,572;47;Yes;No;3;0,48970;0,76917;0,10372;0,53788;1,97344;class negotiator.group7.Group7@1640259020;class negotiator.group11.Group11@627419354;class negotiator.group12.Group12@1849323190;0,76917;0,48970;0,71457
2;0,685;45;Yes;No;3;0,55161;0,88167;0,02371;0,50055;2,14873;class negotiator.group7.Group7@1732864119;class negotiator.group12.Group12@606102383;class negotiator.group11.Group11@747318345;0,88167;0,55161;0,71545
3;0,605;48;Yes;No;3;0,59626;0,74250;0,12790;0,36735;2,07865;class negotiator.group12.Group12@293189808;class negotiator.group7.Group7@1038053432;class negotiator.group11.Group11@440621047;0,74250;0,73989;0,59626
4;0,687;42;Yes;No;3;0,38610;0,95790;0,07809;0,72847;1,87900;class negotiator.group12.Group12@1876937106;class negotiator.group11.Group11@859787489;class negotiator.group7.Group7@1973921806;0,53500;0,38610;0,95790
5;0,597;47;Yes;No;3;0,60466;0,75018;0,15042;0,35522;1,98651;class negotiator.group11.Group11@1977333154;class negotiator.group12.Group12@1683579346;class negotiator.group7.Group7@766025184;0,63167;0,60466;0,75018
6;0,552;36;Yes;No;3;0,59723;0,98352;0,00000;0,77256;2,22658;class negotiator.group11.Group11@1695004547;class negotiator.group7.Group7@1297709092;class negotiator.group12.Group12@1646380972;0,64583;0,98352;0,59723
1;0,571;46;Yes;No;3;0,64394;0,80250;0,00000;0,42910;2,22330;class negotiator.group7.Group7@193921429;class negotiator.group11.Group11@1407980744;class negotiator.group12.Group12@1433587401;0,80250;0,64394;0,77686
2;0,807;45;Yes;No;3;0,55161;0,88167;0,02371;0,50055;2,14873;class negotiator.group7.Group7@964849516;class negotiator.group12.Group12@1249002080;class negotiator.group11.Group11@2039174578;0,88167;0,55161;0,71545
3;0,707;48;Yes;No;3;0,59626;0,74250;0,12790;0,36735;2,07865;class negotiator.group12.Group12@986499276;class negotiator.group7.Group7@270477814;class negotiator.group11.Group11@1218844887;0,74250;0,73989;0,59626
4;0,665;41;Yes;No;3;0,44665;0,96535;0,00000;0,67379;2,01033;class negotiator.group12.Group12@1797518004;class negotiator.group11.Group11@930467252;class negotiator.group7.Group7@1582039605;0,59833;0,44665;0,96535
5;0,605;47;Yes;No;3;0,63459;0,72333;0,09929;0,25402;2,07190;class negotiator.group11.Group11@643090827;class negotiator.group12.Group12@1377184167;class negotiator.group7.Group7@1268205116;0,72333;0,63459;0,71397
6;0,503;33;Yes;No;3;0,59500;0,96396;0,05472;0,78038;2,16142;class negotiator.group11.Group11@1978972369;class negotiator.group7.Group7@1970028405;class negotiator.group12.Group12@374631278;0,59500;0,96396;0,60245
1;0,601;48;Yes;No;3;0,67583;0,81894;0,07391;0,36421;2,17475;class negotiator.group7.Group7@1728280894;class negotiator.group11.Group11@937523007;class negotiator.group12.Group12@602038561;0,67583;0,67998;0,81894
2;0,680;45;Yes;No;3;0,55161;0,88167;0,02371;0,50055;2,14873;class negotiator.group7.Group7@383283496;class negotiator.group12.Group12@1785606212;class negotiator.group11.Group11@1451944633;0,88167;0,55161;0,71545
