sep=;
Session;Time (s);Rounds;Agreement;Discounted;Approval;Min. utility;Max. utility;Distance to pareto;Distance to Nash;Social welfare;Agent name 1;Agent name 2;Agent name 3;Agent utility 1;Agent utility 2;Agent utility 3
1;0,184;28;Yes;No;3;0,65558;0,73297;0,01363;0,18493;2,11741;class negotiator.group8.Group8@1269623374;class negotiator.group10.Group10@1335064547;class negotiator.group12.Group12@177332341;0,72886;0,73297;0,65558
2;0,103;25;Yes;No;3;0,65608;0,80017;0,03676;0,07835;2,13119;class negotiator.group8.Group8@995200004;class negotiator.group12.Group12@1865009378;class negotiator.group10.Group10@1790844730;0,65608;0,67495;0,80017
3;0,082;26;Yes;No;3;0,66266;0,74228;0,05081;0,09758;2,10427;class negotiator.group12.Group12@1432501203;class negotiator.group8.Group8@1949140805;class negotiator.group10.Group10@1861222709;0,69933;0,66266;0,74228
4;0,085;25;Yes;No;3;0,69468;0,76718;0,00000;0,14516;2,18138;class negotiator.group12.Group12@1845145886;class negotiator.group10.Group10@1978991691;class negotiator.group8.Group8@459430505;0,69468;0,76718;0,71951
5;0,170;27;Yes;No;3;0,64660;0,74495;0,03671;0,20004;2,08308;class negotiator.group10.Group10@533523759;class negotiator.group12.Group12@1120302529;class negotiator.group8.Group8@1266605794;0,69152;0,74495;0,64660
6;0,248;29;Yes;No;3;0,59728;0,77237;0,10139;0,14738;1,99334;class negotiator.group10.Group10@585131178;class negotiator.group8.Group8@1408853322;class negotiator.group12.Group12@1858943001;0,62370;0,59728;0,77237
1;0,247;30;Yes;No;3;0,61181;0,76312;0,06996;0,20202;2,02334;class negotiator.group8.Group8@2136932281;class negotiator.group10.Group10@1737823789;class negotiator.group12.Group12@1621092150;0,76312;0,61181;0,64841
2;0,244;30;Yes;No;3;0,62566;0,84751;0,04022;0,10186;2,15010;class negotiator.group8.Group8@1714418334;class negotiator.group12.Group12@700757000;class negotiator.group10.Group10@922566737;0,62566;0,67693;0,84751
3;0,115;25;Yes;No;3;0,65292;0,81411;0,03449;0,05921;2,14657;class negotiator.group12.Group12@1657291092;class negotiator.group8.Group8@1856036337;class negotiator.group10.Group10@839116732;0,67954;0,65292;0,81411
4;0,124;27;Yes;No;3;0,65162;0,71063;0,05840;0,19049;2,03981;class negotiator.group12.Group12@1050298748;class negotiator.group10.Group10@1455244299;class negotiator.group8.Group8@2075027303;0,67755;0,71063;0,65162
5;0,107;26;Yes;No;3;0,67711;0,70053;0,06379;0,14151;2,07237;class negotiator.group10.Group10@1258220864;class negotiator.group12.Group12@1985967368;class negotiator.group8.Group8@2118296059;0,70053;0,67711;0,69473
6;0,221;29;Yes;No;3;0,57835;0,83077;0,07659;0,15880;2,03509;class negotiator.group10.Group10@2031677244;class negotiator.group8.Group8@1960981026;class negotiator.group12.Group12@532944956;0,57835;0,62598;0,83077
1;0,141;28;Yes;No;3;0,66111;0,74003;0,00000;0,18170;2,13963;class negotiator.group8.Group8@1762789551;class negotiator.group10.Group10@209994893;class negotiator.group12.Group12@859748569;0,74003;0,73848;0,66111
2;0,234;30;Yes;No;3;0,57306;0,73925;0,01688;0,26420;2,03685;class negotiator.group8.Group8@1979904549;class negotiator.group12.Group12@1485598788;class negotiator.group10.Group10@506655740;0,73925;0,72454;0,57306
